allow_long,allow_short,atr_stop_mult,atr_tp_mult,deploy_score,ema_fast,ema_slow,family,max_holding_bars,min_holding_bars,slope_bars,slope_min,sma_period,trial,use_take_profit,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_win_rate,volatility_max,volatility_min,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_return_pct,wf_min_exp_r,wf_min_pf,wf_min_return_pct,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,True,6.0,12.0,54.26634479855198,20,400,sma_state,72,3,24,0.0025,300,135,False,1.3975760982558247,27,-332.40830632189,-0.33433079936423765,0.003961567373908181,905.9465675712094,0.9221837056631611,0.0073140840781892105,0.9949289570213296,0.003961567373908181,0.6801932367149759,5,2.498553573879879,2.524913700460838,2.7254029166585547,1.0040958114005203,0.06302620713313194,0.02884954151321604,308.9211442443078,0.02586815288256912,626.1529659465662,26,0.05029013539651837,0.2692307692307692,0.12,0.003,1.0709337138749715,0.06451934563267185,1.6163008207552785,0.364422078884261,-0.5905023800407181,0.0,-1.0122167850795667,8,7,1,86.06887011205069,41,11
True,True,4.0,8.0,124.90906249013837,30,80,ema_state,72,6,36,0.0,150,114,False,1.458574399234272,49,-699.9384288948646,-0.6889664847917567,0.4306187330848893,2377.1597406972764,2.3898928643690196,1.1575354303954408,419.0063600477322,0.4306187330848893,0.523671497584541,5,2.7943981585985083,2.822765393542297,3.396241215746052,1.9407092661406011,1.6578620961314328,0.8967673119446429,214.51953391555648,4.60906996052507,445.5365639590072,11,0.02127659574468085,0.36363636363636365,1.0,0.003,2.5263664988763352,0.35415893226320183,3.7399894935324443,0.6454416729433089,-0.6432662237514524,0.0,-1.9184001426958857,7,7,2,75.85948096872882,31,11
True,False,2.5,24.0,113.48790144172466,100,150,sma_state,48,3,6,0.02,200,123,False,1.3723280587861493,23,-535.5397718252774,-0.5200282972788056,0.3603582084910922,2588.7909538728454,2.561324472915837,1.2994282540869877,357.1261498027576,0.3603582084910922,0.3169082125603865,6,2.6987700801976793,2.7274460233706894,4.833984495772336,1.9335937983089344,2.095230770587165,1.3225244068231927,453.27977662813316,4.9997660972386075,917.4911271520101,14,0.027079303675048357,0.2857142857142857,0.2,0.001,1.4065769813603202,0.6072878997260764,4.621316306008861,1.8204602780644015,-1.0,0.0,-1.40251121154672,5,5,3,70.53137697894229,26,11
True,True,5.0,6.0,60.113288262558996,100,150,sma_state,72,2,48,0.02,50,105,False,1.2753248546612206,14,-207.9475662635654,-0.20270449595355103,0.061982713829972946,1325.2597488142605,1.319246960301712,0.607250867657224,58.69718418475216,0.061982713829972946,0.6376811594202898,10,3.12897490081156,3.173705187745112,6.373047651514929,1.3416942424241958,1.1132719902539887,1.7117813490035931,689.6387868753459,2.7000704724985987,1394.759282825748,46,0.08897485493230174,0.17391304347826086,1.0,0.0,2.4642181933123926,0.07564074799734978,1.5441052450505053,0.37941873059287107,-0.1537087249724123,0.12681375644820236,-1.7608949333334167,5,5,4,69.83252590448116,98,11
True,True,2.5,24.0,65.23026335489806,10,200,sma_slope_state,168,2,18,0.001,50,235,False,2.360592047012328,18,-478.2513905135451,-0.4695970168885194,0.14427908303422213,2336.573290556944,2.36957994525416,0.6652864977063416,130.35935133953365,0.14427908303422213,0.6463768115942029,8,5.086421938106915,5.183405355309997,4.885659167760992,1.3477680462788941,1.1245186673243048,1.112993577322998,1045.8605105414995,4.82329599956279,2114.620953505526,37,0.07156673114119923,0.21621621621621623,1.0,0.0005,3.1966367655869474,0.10217755031587669,2.0526210733087025,0.39848244207479266,-0.18240599122360782,0.11105181425406585,-1.452527396177815,5,5,5,69.63693452706998,74,11
True,False,6.0,16.0,91.8279588942752,100,150,sma_state,48,1,18,0.0,80,120,False,0.6343539163377072,19,-175.7241981578783,-0.17132264109564566,0.15671239807374387,1312.3774708416086,1.3048350351666071,1.6120146302871206,154.9650616197854,0.15671239807374387,0.34396135265700484,6,1.2175214451872054,1.222909664025631,7.468393565594826,2.1338267330270932,1.8087780945581564,1.8210598260222914,237.2377496307996,2.7893711091561415,480.54274558559075,18,0.03481624758220503,0.2222222222222222,0.2,0.0,1.266976738495516,0.25484614964198476,3.2456757962562843,0.5802615659335001,-0.3544149642150058,0.0,-1.261349328738783,5,5,6,62.07845794969823,45,11
False,True,6.0,6.0,15.092034235119671,100,150,sma_state,72,1,48,0.0,80,153,False,1.3715722921991127,18,-229.30791916299353,-0.23051788801013143,-0.10163817373153229,257.898248314659,0.2592250262485453,-0.48563330684781797,-101.0957698267692,-0.10163817373153229,0.33043478260869563,10,2.802273873702518,2.837694023048557,1.1246809497727956,0.40167176777599845,-3.6080077391987864,-1.130974928528028,225.15690073163952,-1.9208196267086168,453.7001590649664,19,0.0367504835589942,0.2631578947368421,0.12,0.003,1.3874408019882079,0.06440915310506429,2.7588378998191896,0.07209223242266377,-0.27748816039764157,0.0,-1.3809982441550237,5,5,7,60.919469319295246,43,11
True,True,2.5,4.0,109.30651085039356,50,150,sma_state,72,1,18,0.005,80,267,False,1.6475310181646536,9,-520.2834938085622,-0.4939094703997016,0.3658690397954716,1789.048200831199,1.7271850142711624,2.395566869075254,373.65135572940983,0.3658690397954716,0.2898550724637681,5,3.3606646258276833,3.400859661803241,3.438602650518599,2.171749042432799,3.097545207021238,2.7338460315399495,1017.670198889082,11.583192027611716,2051.1566050176216,31,0.059961315280464215,0.3870967741935484,0.08,0.001,2.3971706925883822,0.1578929465393146,2.4751319424986526,0.4241492079098892,-0.2185541227127317,0.0,-1.718345144890045,4,4,8,52.19436399224391,49,11
True,True,6.0,24.0,39.30354165794773,50,100,sma_state,168,4,36,0.005,100,100,True,1.8654645571487736,23,-241.61688251425,-0.24002669839400442,0.024205907960576145,842.9912998886294,0.8499328028186404,0.13330529007054884,21.318434431902602,0.024205907960576145,0.7352657004830918,6,3.72455398701615,3.784599235068526,3.48895859890466,1.116466751649491,0.43257549545163254,0.3813033377556078,395.59837761407164,0.7035083362527949,799.2909522829578,33,0.06382978723404255,0.24242424242424243,0.12,0.001,2.177777462324017,-0.03349267917396297,2.2136951636067446,-0.02079631917890875,-0.5905023800407181,0.0,-2.1590800989353154,6,6,9,49.31418432216867,51,11
True,True,6.0,8.0,42.97125456433837,100,150,sma_state,168,3,6,0.0025,80,93,False,1.6438552492906107,20,-236.56829462600362,-0.23270684957059729,0.045416480494929586,786.8044834982113,0.7870786940030011,0.25975643491357847,42.533372135145896,0.045416480494929586,0.6608695652173913,6,3.809666565101871,3.872798778220442,3.3259084220989505,1.2472156582871063,0.7828093482064047,0.9190293784569055,400.1316028982937,1.4036012804597995,808.8178152461174,33,0.06382978723404255,0.2727272727272727,0.12,0.001,1.8359390816191674,0.0439059454080611,2.4860807561486657,0.4225313103197774,-0.5905023800407181,0.0,-1.8231219396893577,5,5,10,45.49378710377428,66,11
