candidate,family,source_rank,source_run,symbol,timeframe,train_expectancy_r,train_max_drawdown_r,train_profit_factor,train_score,train_total_trades,train_win_rate,window
partial_highwin_BTCUSDT_1h_20260608_232410#r24,trend_state_tp,24,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.037178852416914064,3.3956100541333,1.3089828267434453,-33.0049961165774,319,0.6018808777429467,1
partial_highwin_BTCUSDT_1h_20260608_232410#r76,trend_bb_reversion,76,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.02755322137749888,6.120080992641757,0.8167273786055285,-117.72234162815235,99,0.6868686868686869,1
partial_highwin_BTCUSDT_1h_20260608_232410#r10,trend_reclaim,10,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.07642368743279468,5.712960899888989,1.2077437776989117,-72.3346119916903,155,0.41935483870967744,1
partial_highwin_BTCUSDT_1h_20260608_232410#r63,range_bb_reversion,63,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.09164266277333517,5.940923176345263,0.42157738205731604,-205.74385018242577,56,0.6785714285714286,1
partial_highwin_BTCUSDT_1h_20260608_232410#r61,trend_state_tp,61,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.012681492551509263,5.712727273706382,0.8628209488822697,-111.78851080784395,173,0.7052023121387283,1
partial_highwin_BTCUSDT_1h_20260608_232410#r12,trend_state_tp,12,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.036785340682347435,2.8722259650062916,1.3247060018031567,-22.803338014850958,162,0.654320987654321,1
partial_highwin_BTCUSDT_1h_20260608_232410#r47,range_bb_reversion,47,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.15530180928849116,6.680494439620285,1.4192257880394377,6.7137548230250275,67,0.582089552238806,1
partial_highwin_BTCUSDT_1h_20260608_232410#r130,trend_bb_reversion,130,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.07029764071171947,4.732187190748448,0.3863893117141077,-190.35892149788395,59,0.6101694915254238,1
partial_highwin_BTCUSDT_1h_20260608_232410#r170,trend_bb_reversion,170,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.037013993401524704,5.57759410978232,0.7134011958112927,-107.06212907748807,84,0.8690476190476191,1
partial_highwin_BTCUSDT_1h_20260608_232410#r119,range_bb_reversion,119,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.06453000988715443,7.664457808203853,0.8147948294944598,-149.57319163551503,56,0.625,1
partial_highwin_BTCUSDT_1h_20260608_232410#r27,range_bb_reversion,27,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.08018214502710128,11.01458840286437,0.611783901424276,-247.51829142972178,106,0.3867924528301887,1
partial_highwin_BTCUSDT_1h_20260608_232410#r153,channel_reclaim,153,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.0192271959288543,5.722132291674393,0.838899421395277,-89.25819045908185,111,0.8648648648648649,1
partial_highwin_BTCUSDT_1h_20260608_232410#r68,trend_bb_reversion,68,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.012905972100686437,2.0286588284555047,1.1619326435135051,-37.917727850260114,120,0.7416666666666667,1
partial_highwin_BTCUSDT_1h_20260608_232410#r121,trend_reclaim,121,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.057433964500286865,7.680996313575971,0.7233163609239318,-138.2365559804913,81,0.7777777777777778,1
partial_highwin_BTCUSDT_1h_20260608_232410#r33,trend_state_tp,33,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,0.049151133175010554,2.660986526209467,1.4114304976558043,-15.326105393345735,264,0.6553030303030303,1
partial_highwin_BTCUSDT_1h_20260608_232410#r52,channel_reclaim,52,partial_highwin_BTCUSDT_1h_20260608_232410,BTCUSDT,1h,-0.07052482833026448,10.764268214231485,0.6903490062966074,-177.18164156531756,106,0.6320754716981132,1
