trial,train_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,train_total_trades,train_win_rate,train_profit_factor,train_sharpe_ratio,train_sortino_ratio,train_calmar_ratio,train_total_return_pct,train_max_drawdown_pct,train_max_drawdown_r,train_avg_drawdown_r,train_expectancy,train_expectancy_r,train_avg_win,train_avg_loss,train_avg_win_r,train_avg_loss_r,train_avg_r_multiple,train_payoff_ratio,train_trades_per_day,train_avg_holding_bars,train_max_consecutive_losses,train_exposure_pct,train_total_fees,train_total_slippage,train_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage,stress_total_trades,stress_win_rate,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_calmar_ratio,stress_total_return_pct,stress_max_drawdown_pct,stress_max_drawdown_r,stress_avg_drawdown_r,stress_expectancy,stress_expectancy_r,stress_avg_win,stress_avg_loss,stress_avg_win_r,stress_avg_loss_r,stress_avg_r_multiple,stress_payoff_ratio,stress_trades_per_day,stress_avg_holding_bars,stress_max_consecutive_losses,stress_exposure_pct,stress_total_fees,stress_total_slippage,deploy_score
28,30.910175710944408,8,150,1.3783293800136436,1.1928253837167553,6.817788704874343,3,24,400,0.0,0.08,True,208,0.40384615384615385,1.3669641298916209,1.3273916061992108,0.6851800335602994,1.0488356659087703,0.7313089264864393,0.17407697161044877,8.78349869966558,3.1976508026247314,3.5159083004155782,0.16459384610094294,32.43060810589163,-16.071468987164973,1.4642312054629016,-0.7158056554023196,0.16459384610094294,2.0178994298400115,0.14253083599817268,3,8,0.09205116491548652,417.63319769331423,417.8264352257891,35,96,0.4583333333333333,1.204418523885166,0.8852190518222274,0.43889310485746036,0.5336840437839591,0.17656095827002719,0.23366715806340177,9.271975753333233,4.1849174166350345,1.8391766486458145,0.1564808089206128,23.64281473900905,-16.610055581661534,1.2006233300034106,-0.7270244012263698,0.1564808089206128,1.4234037100461054,0.18568665377176016,3,6,0.11859490815339993,192.45856890336987,192.94298920263216,96,0.3958333333333333,0.9830384311862903,-0.08088980590251063,-0.03681824617590751,-0.035861489676368145,-0.01650962644854735,0.3252513633987564,11.498392832922814,5.923567621200298,-0.1719752755055204,0.0488973042992033,25.18013929279501,-16.781981371978276,1.1560436450089049,-0.6764744361657735,0.0488973042992033,1.5004270791790748,0.18568665377176016,3,6,0.11859490815339993,192.27491704511306,385.4217110553971,16.070555829568228
635,8.663067274693391,16,20,0.8980879754520185,1.807001162525415,7.145396436116049,2,24,300,0.003,0.05,True,144,0.4236111111111111,1.172078668822461,0.5861330207790179,0.18309835051782578,0.25547352082225105,0.21029916434604093,0.20591336383214048,8.388403839846152,3.1806007378302583,1.4604108635149178,0.06541852171803811,23.482127202845792,-14.724224036475242,0.9365005091193578,-0.5747742642034136,0.06541852171803811,1.5947955657748236,0.0986751941525811,2,8,0.048766560073092734,288.4596046929298,288.7998437177861,92,82,0.4634146341463415,1.2928448751884338,1.2457883787518098,0.5265140376429354,0.478275884729564,0.1942091175180249,0.28679205454320034,10.57825925078307,4.298893765167721,2.3684038721710063,0.11400168101875943,22.562894265983182,-15.072292377030418,0.9684246753681439,-0.6239090868284362,0.11400168101875943,1.496978276533976,0.15860735009671179,2,6,0.0779890428617467,164.27017403279814,164.82053176084062,82,0.45121951219512196,1.0384949707228963,0.18828915888892858,0.07764721087802787,0.05585867123470718,0.028973350965592545,0.36642858319152066,12.871188873426695,6.613790894961631,0.35333354836071607,0.02721862308100455,21.125033539978972,-16.725619778080958,0.8363690907183287,-0.6380828725319063,0.02721862308100455,1.2630344238521718,0.15860735009671179,2,6,0.0779890428617467,164.1361838478177,329.2842716947097,14.410429859583164
938,10.134354486040646,10,30,1.6465625702248108,1.1780039251664753,7.610168176633981,4,18,200,0.001,0.12,True,220,0.40454545454545454,1.075000883639805,0.33069983671923703,0.15402044110273394,0.12690230577150366,0.1859368015442451,0.36654586026973945,11.304866250050267,4.990587072195172,0.8451672797465832,0.10005185953397641,29.94454996310939,-18.924642329560974,1.3993776835535328,-0.7826962193800735,0.10005185953397641,1.582304671424882,0.15075376884422112,4,7,0.12197350388305161,440.7496582500791,441.0222012853114,86,97,0.4845360824742268,1.022188126309132,0.12362854947362108,0.0503195249819372,0.04873071656945877,0.02069158605618577,0.29996976181655993,11.135256304724786,4.006806600227849,0.2133153201663145,0.11852585556197699,20.281782732555293,-18.651044047479328,1.1066520791193297,-0.8103127945819345,0.11852585556197699,1.087434176924608,0.18762088974854932,4,6,0.15049951659684177,194.306259572281,194.92403825524133,97,0.4536082474226804,0.8315206941953172,-1.0246137097714139,-0.39190984096255477,-0.28903693791715446,-0.17435524210295988,0.426277629022127,12.392522704035198,4.2562732727127,-1.7974767227105772,0.01038361845354567,19.557296970737394,-19.525968090856058,0.962737857912654,-0.7802500897766576,0.01038361845354567,1.001604472553451,0.18762088974854932,4,8,0.15049951659684177,194.11868657602173,389.396114155137,1.838056965582875
310,9.736998165624232,8,150,1.448818329266334,3.6599780118920706,3.981796753689945,6,36,300,0.0005,0.08,True,185,0.4864864864864865,1.2486594033325304,0.9550351402455893,0.2572926444889499,0.5056829234328162,0.579156414557263,0.2860960645287747,7.204271767840873,2.3031187113070515,3.1305752138227394,0.028821679117908238,32.31412988321037,-24.517002894018177,0.517611717756787,-0.4342425680136613,0.028821679117908238,1.318029370184338,0.1267702147099132,6,5,0.14401553220648697,371.54883442183717,371.85868007478786,87,83,0.4819277108433735,1.0842176713848035,0.4106310650467582,0.10211594588351813,0.19531390614184677,0.09662518673454178,0.34945824957478505,5.545415706914194,2.1220218097276664,1.1641588763197586,0.040229523157558685,31.098798279451227,-26.682017312639747,0.5796927860200507,-0.4615967678773176,0.040229523157558685,1.1655339967386638,0.16054158607350097,6,4,0.1811150499516597,166.2947165984973,166.7886428324592,83,0.46987951807228917,0.9429681197950295,-0.2952273339594569,-0.07306176068072005,-0.12694653844876436,-0.07035230522998609,0.391563320508623,5.806350017044265,2.3840484389736494,-0.8476181353002907,0.001786239013334872,29.825864891204645,-28.03547809061149,0.5329289481513224,-0.468999344086245,0.001786239013334872,1.0638614684867,0.16054158607350097,6,4,0.1811150499516597,166.15774849547554,333.2424872068755,1.331072606445336
760,55.87325315657665,30,20,1.7505414674807713,0.9281000409576446,7.425597511360088,2,72,50,0.001,0.08,True,169,0.44970414201183434,1.6948080301064858,1.852113553328936,1.088663114574022,2.1733327667311837,0.8615288772899367,0.09891925890341088,6.378109911352553,2.2677535061627516,5.097804007632855,0.24833493276415852,27.651069302057476,-13.332821394262536,1.4848177170620265,-0.7621241167695827,0.24833493276415852,2.0739098263145155,0.1158063042485153,2,6,0.05424851530379168,339.61198305164737,339.4740369747172,7,93,0.45161290322580644,1.046314233315156,0.24849989905304345,0.1120952431331077,0.08312724756244023,0.03444657060364261,0.29273882111582694,12.240592477077715,5.834612882008375,0.37039323229716636,0.1183261290461984,18.528674629194807,-14.583485565147951,1.2442286081844895,-0.8088876773029826,0.1183261290461984,1.2705244261684043,0.17988394584139264,2,6,0.08217853689977442,186.23260822479395,186.78019466602598,93,0.41935483870967744,0.8203557820378239,-1.0909624395174298,-0.4587781538229463,-0.2501865419939726,-0.15249488930002553,0.4307132925096117,16.96650872088745,8.348437105624225,-1.6397299924729722,-0.012521603365144747,17.855815174150848,-15.719845946145734,1.0598807437822912,-0.7870344096382925,-0.012521603365144747,1.1358772366677563,0.17988394584139264,2,6,0.08217853689977442,186.05996682043812,373.1309059688353,-1.0332429365586306
16,7.894857490960387,40,30,1.4533797484283817,1.1084510788911979,7.318216775806892,2,72,50,0.001,0.08,True,196,0.413265306122449,1.1814348457245452,0.7176458902124146,0.3347450530540627,0.426633457813583,0.30547326692880594,0.1790426773862549,9.693930199467292,3.5858901963209777,1.5585370761675996,0.07284419842673968,24.55711063822621,-14.640458215369334,1.1807850074833193,-0.7075315018652858,0.07284419842673968,1.6773457686212665,0.13430790315212426,2,11,0.06521242576518958,392.7606957378582,392.96721823280564,99,93,0.45161290322580644,1.0486594051228952,0.22682717766175325,0.10904217211803356,0.13916762130562307,0.03938152658747276,0.19990742603967948,6.792018205938624,2.865307421477318,0.4234572751339485,0.08478907740932154,20.207422309912843,-15.869219812331025,1.0686865373643732,-0.7254794190242504,0.08478907740932154,1.2733721347920872,0.17988394584139264,2,4,0.08572349339349017,186.13028884862507,186.4384487610605,93,0.43010752688172044,0.8391023566182029,-0.8379139599410709,-0.38864328699883927,-0.3520988537389589,-0.147092455797203,0.29520198334054215,9.83360695845948,4.187902188486779,-1.5816393096480734,-0.021596571661165243,19.177662224574938,-17.249036693967327,0.9103190053793192,-0.7249290826351157,-0.021596571661165243,1.1118106225191189,0.17988394584139264,2,5,0.08572349339349017,185.95839586238836,372.44910032810003,-3.5947510536818843
333,8.262224136195846,16,150,1.301503057963074,1.4339767725186903,5.015484681569964,2,24,150,0.001,0.08,True,237,0.4388185654008439,1.1719226301629135,0.7356638566992587,0.31519739498607313,0.3788383712634697,0.36709597023561946,0.24225004955540666,9.193054408554625,3.0619156008854724,1.5489281444539227,0.05917638018657447,24.06091682910723,-16.054431428508064,0.9228932478504854,-0.6162112456558824,0.05917638018657447,1.4987087481891104,0.1624029237094564,2,8,0.07891731384193695,475.305824087144,475.22593396069857,96,108,0.4722222222222222,1.0648534127586873,0.3515074932177853,0.14713960258756184,0.1659627964759029,0.06245652803860139,0.2658440695007769,8.097733681181388,3.2169062404189175,0.5783011855430278,0.07256646831226607,20.107804512283455,-16.89546494890893,0.885582016449051,-0.6548684958101204,0.07256646831226607,1.190130284847945,0.20889748549323017,2,8,0.10119239445697711,216.3376686833581,217.00705004484269,108,0.4444444444444444,0.8569297144583728,-0.8646017003852839,-0.34947137163909514,-0.2542643544755992,-0.15474775007303104,0.4300681007100777,12.878069598443275,5.966802571432676,-1.4328495377130679,-0.014630547118390699,19.30984841662519,-18.027007901183673,0.7795587793213806,-0.6499820082702078,-0.014630547118390699,1.0711621430729659,0.20889748549323017,2,8,0.10119239445697711,216.10477842870233,433.4834217837771,-5.4233648881695204
894,27.3634749790208,20,30,1.6568415176014444,3.7206399703733815,7.438441907535916,2,18,400,0.002,0.08,True,152,0.4934210526315789,1.5791375716886542,1.5326276132599836,0.42189008448913645,0.9982751757306482,0.7766088449898961,0.1941899060825516,3.6135235581124716,1.16019203384493,5.109268717038258,0.07970815037439587,28.23444757816423,-17.41525614769483,0.4710413672370038,-0.3014605673489236,0.07970815037439587,1.6212479069336847,0.10415714938328004,3,7,0.05287802649611695,305.1436919670952,305.1029056395653,40,82,0.4634146341463415,1.022943922088618,0.11401399396767352,0.03045450392617995,0.04815038637344932,0.017421878679815563,0.2556134998673495,3.3982510916452093,1.453796262158672,0.21246193511983158,0.03558386889437326,20.440690175008807,-17.257371544784284,0.4301554042549184,-0.3051824570988248,0.03558386889437326,1.1844613834710316,0.15860735009671179,3,6,0.07960038672252659,164.1756781634166,164.7177176613514,82,0.43902439024390244,0.8265624567796869,-0.9491397731798983,-0.25167878814635086,-0.2833648175891482,-0.14750267852163235,0.36783048892923387,5.057738971032595,2.422147311273999,-1.7988131527025715,-0.00398547200390049,19.526750103403582,-18.488384396611735,0.39563616111174393,-0.3167328370509267,-0.00398547200390049,1.0561631392184891,0.15860735009671179,3,7,0.07960038672252659,164.0418736369035,329.063305435703,-5.745579076680002
784,24.226855112831817,16,20,1.678775282725808,3.6282791555156213,7.3880778338811135,1,12,300,0.003,0.08,True,178,0.46629213483146065,1.629146815745197,1.6767959779889792,0.578508611603486,1.439055223028767,0.7547090086229291,0.13092183986302988,2.831912556019091,0.9806369126796265,4.23993825068996,0.053773908881523225,23.545594623294747,-12.62710889590159,0.391335140452669,-0.2411480092280041,0.053773908881523225,1.8646861144071543,0.12197350388305163,2,9,0.042370945637277294,357.63524988137965,357.44673203776983,47,91,0.45054945054945056,1.032096772877429,0.15905476883670894,0.048409783095470116,0.06020746580555493,0.024026393902429846,0.2819178757100621,3.5288679224986415,1.6946129285953908,0.2640263066200994,0.03541716114986201,18.843596113476366,-14.971220935002039,0.4076322813912022,-0.26979923744803697,0.03541716114986201,1.2586546010700361,0.1760154738878143,2,6,0.061553335481791815,182.1801147590455,182.85270271749707,91,0.4175824175824176,0.8133094193124228,-1.0406682216513536,-0.31308090825700596,-0.27558277358505695,-0.15915236223609827,0.40809587105193335,5.63395993674102,2.939579804774339,-1.7489270575389542,-0.00540318377815322,18.24579907280311,-16.084768434010623,0.3798106914029185,-0.28159426409665744,-0.00540318377815322,1.1343526111462736,0.1760154738878143,2,6,0.061553335481791815,182.01485693620714,365.29025159287403,-5.851078150950729
218,18.071313687292754,16,20,2.0705392496630903,3.6250418113090497,6.323822159109069,2,18,100,0.002,0.12,True,170,0.49411764705882355,1.443701584530889,1.3145114825623694,0.3296492766816879,0.7697069624264538,0.6611364528343256,0.21449994687181853,5.552459176582029,1.4706188090575492,3.8890379578495082,0.04873208761904066,25.60933320268682,-17.32613414175903,0.39979851487222445,-0.2941700041166273,0.04873208761904066,1.4780754317816243,0.11649154865235267,3,7,0.0583599817268159,341.4637278587613,341.27404519025026,62,87,0.4942528735632184,0.9956342223335883,-0.02079214345563295,-0.005255241517714409,-0.006724453214248601,-0.003701505098899361,0.38888699190963144,5.089633095376909,2.006643783721289,-0.042546035618892475,0.02980861245763127,19.631256496408195,-19.269216691918093,0.404561067257637,-0.33642674109691967,0.02980861245763127,1.018788506573905,0.16827852998065765,3,5,0.08507895584917821,174.2970001367806,174.80964913048345,87,0.4827586206896552,0.8094362710985773,-1.0764720778941028,-0.27145412781583517,-0.28965166485139726,-0.17852872902728267,0.43555763145644777,6.135978573273781,2.323980037527487,-2.05205435663615,-0.009855662096995663,18.055155858948932,-20.818783891182232,0.3581339672333621,-0.35331264947199625,-0.009855662096995663,0.8672531476056183,0.16827852998065765,3,5,0.08507895584917821,174.14620747116695,349.2413455028405,-8.06795640920262
