alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,selected,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.0,-0.006989538868221892,1.0451356130652842,27,-724.9586869102926,-0.7118022797319509,606.2234517371777,0.6277063375948727,0.051089702265382606,4599.769867679589,4.646232189575343,0.04646232189575339,4599.769867679589,4.646232189575343,0.0,0.10212049404850343,10.212049404850344,9.004915527529933,-3.961793764741841e-05,606.2234517371778,0.6277063375948727,0.2033271719038817,2174.876060730878,4599.769867679589,3,2,1,-0.011340527708038955,277,1.1340527708038954,1.1354068391958525,-569.4391810270411,-0.5677034195979263,-0.036800306783403576,6.344871715770985,2.1149572385903284,1,2.138254823212302,v3_wf_edge_BTCUSDT_4h_20260608_192533__trend_aligned_sma200_roc14_min0,1.7283074325194507,0.7243983756405382,2021-04-01,2021-01-01,119.81125107624132,3,0.02424893806948705,2.4248938069487047,244.72306998104423,4,0.044444444444444446,2021-01-01,2020-01-01,0.008362026610601543,0.0,0.25,1,1,-0.010000000000000009,-1035.9976986767958,-1.0
0.0,-0.008122646104759818,0.6508797628091373,60,-999.9999999999999,-1.0,-154.37096518104585,-0.15087976280913729,0.0034925722722919106,691.2580696379082,0.6982404743817254,0.006982404743817172,691.2580696379082,0.6982404743817254,0.0,-0.012334554082154003,-1.2334554082154003,-1.2334554082154003,-1.8348623853211025e-05,-154.37096518104585,-0.15087976280913729,0.21937842778793418,999.9999999999999,691.2580696379082,1,1,1,-0.01,445,1.0,1.0,-154.37096518104585,-0.15087976280913729,0.0034925722722919106,0.6912580696379083,0.6912580696379083,1,0.30874193036209907,v3_wf_edge_BTCUSDT_4h_20260608_192533__trend_aligned_sma100_roc14_min0,-0.8227398691948421,0.0,2021-07-01,2021-04-01,65.82404909800336,3,-0.003087419303620991,-0.30874193036209907,128.29756051868955,2,0.02197802197802198,2021-04-01,2020-04-01,0.009010407567368126,0.0,0.5,2,1,0.0,-999.9999999999999,-1.0
0.0,-0.007798312839059682,2.0,22,-990.0333333333333,-1.0,-990.0333333333333,-1.0,-0.0537599863882476,0.0,0.0,0.0,-980.0999999999999,-0.9999999999999999,0.0,-0.1128159112149949,-11.28159112149949,-3.798387637284761,-5.434782608695657e-05,-990.0333333333333,-1.0,0.12115732368896925,2970.1,0.0,3,3,0,-0.029701000000000057,225,2.9701000000000057,3.0,-990.0,-1.0,-0.054883194688288624,0.0,0.0,0,1.0,v3_wf_edge_BTCUSDT_4h_20260608_192533__long_bull_sma100_roc30_min0,-5.7436320063507145,0.0,2021-10-01,2021-07-01,110.99055284258577,3,-0.029701000000000057,-2.9701000000000057,216.25231536232715,3,0.03260869565217391,2021-07-01,2020-07-01,0.013251275817453787,0.0,0.0,3,0,-0.01990000000000003,-1000.0000000000001,-1.0
0.0,-0.0055696202531645405,1.0000000000000002,67,-1006.5724639542344,-1.0000000000000002,-174.6630342654011,-0.171376802288284,0.0013980744601702483,657.2463954234322,0.6572463954234322,0.0,657.2463954234322,0.6572463954234322,0.0,-0.01379684351583288,-1.379684351583288,-1.379684351583292,-1.814882032667878e-05,-174.6630342654011,-0.171376802288284,0.244122965641953,1006.5724639542344,657.2463954234322,1,1,1,-0.00999999999999997,308,0.9999999999999971,1.0000000000000002,-174.6630342654011,-0.171376802288284,0.0013980744601702483,0.6529548730565264,0.6529548730565264,0,0.34932606853080606,v3_wf_edge_BTCUSDT_4h_20260608_192533__long_bull_sma100_roc30_min0,-0.9473043496821334,0.0,2022-01-01,2021-10-01,78.56831188738417,3,-0.0034932606853080505,-0.34932606853080506,156.5946516090615,2,0.021739130434782608,2021-10-01,2020-10-01,0.007462988847080319,0.0,0.5,4,1,-0.003493260685308086,-1006.5724639542344,-1.0000000000000002
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,family_edge_BTCUSDT_1h_20260608_194104__trend_aligned_sma200_roc14_min0,0.0,0.0,2022-04-01,2022-01-01,0.0,0,0.0,0.0,0.0,0,0.0,2022-01-01,2021-01-01,0.0,0.0,0.0,5,0,0.0,0.0,0.0
0.0,-0.001582837528604115,1.5,33,-1019.8235097375828,-1.0,946.4324772118474,0.9525714196305006,0.017831060101136824,2912.688464161278,2.9051428392610013,0.024948250992545606,3330.5518290679906,3.315460579267438,0.0,0.16083968564261353,16.083968564261355,8.08239626344794,-9.165902841429889e-06,946.4324772118475,0.9525714196305006,0.06086956521739131,2039.6470194751655,5825.376928322556,2,2,1,-0.019899999999999942,232,1.9899999999999942,2.0,740.0631653859723,0.7474125496272823,0.00294206611592911,2.8560711106873384,2.8560711106873384,2,1.9023768386167872,family_edge_BTCUSDT_1h_20260608_194104__trend_aligned_sma200_roc30_min0,1.4463600831866412,0.0,2022-07-01,2022-04-01,287.1282441214414,3,0.037857299088473954,3.7857299088473955,566.1293278868668,4,0.04395604395604396,2022-04-01,2021-04-01,0.00511833201877937,0.0,0.5,6,2,0.0,-1024.9482509925456,-1.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,v3_edge_BTCUSDT_4h_20260608_191403__short_bear_sma200_roc30_min0,0.0,0.0,2022-10-01,2022-07-01,0.0,0,0.0,0.0,0.0,0,0.0,2022-07-01,2021-07-01,0.0,0.0,0.0,7,0,0.0,0.0,0.0
0.0,-0.004249547920433996,0.9999999999999999,12,-999.9999999999999,-0.9999999999999999,-999.9999999999999,-0.9999999999999999,-0.014615433016166891,0.0,0.0,0.0,-999.9999999999999,-0.9999999999999999,0.0,-0.03911536665459214,-3.9115366654592143,-3.9115366654592143,-1.8115942028985524e-05,-999.9999999999999,-0.9999999999999999,0.0216998191681736,999.9999999999999,0.0,1,1,0,-0.01,235,1.0,0.9999999999999999,-999.9999999999999,-0.9999999999999999,-0.014615433016166891,0.0,0.0,0,1.0,v3_edge_BTCUSDT_4h_20260608_191403__short_bear_sma200_roc14_min0,-3.3100637062042226,0.0,2023-01-01,2022-10-01,136.84165209389934,3,-0.01,-1.0,275.4072698792915,1,0.010869565217391304,2022-10-01,2021-10-01,0.006518855666782321,0.0,0.0,8,0,-0.010000000000000009,-999.9999999999999,-0.9999999999999999
0.0,-0.008822920517560074,1.5,8,-995.0,-1.0,-995.0,-1.0,-0.024001509123234656,0.0,0.0,0.0,-990.0,-0.9999999999999999,0.0,-0.07833662581305423,-7.833662581305423,-3.9365138599524734,-3.703703703703707e-05,-995.0,-1.0,0.031423290203327174,1990.0,0.0,2,2,0,-0.0199,410,1.9900000000000002,2.0,-995.0,-1.0,-0.024001509123234656,0.0,0.0,0,1.0,v3_edge_BTCUSDT_4h_20260608_191403__trend_aligned_sma200_roc14_min0,-4.73726035676026,0.0,2023-04-01,2023-01-01,169.29725122454062,3,-0.0199,-1.9900000000000002,334.9471539291469,2,0.022222222222222223,2023-01-01,2022-01-01,0.010629770213293921,0.0,0.0,9,0,-0.010000000000000009,-999.9999999999999,-1.0
0.0,-0.02629977306756949,3.4402079959472007,19,-1008.298921598237,-1.0,291.40126827977434,0.30819870332930555,0.002856275508147723,3540.651742974803,3.5786954616525692,0.05439295908898911,4806.8812834735245,4.842096082248973,0.0,0.1740897427493,17.40897427493,3.0832621184949414,-0.00018450184501844975,291.4012682797743,0.30819870332930555,0.4936014625228519,10082.98921598237,14162.606971899211,10,5,1,-0.056462842294537026,414,5.646284229453703,5.746672139856212,-999.915151630353,-1.0,-0.017469984934942576,3.51150999681977,1.404603998727908,1,0.7225314189171734,v3_edge_BTCUSDT_4h_20260608_191650__low_vol_q70,1.7857315852159923,114594393709515.97,2023-07-01,2023-04-01,1609.8345154016986,3,0.04079617755916843,4.079617755916843,3228.4861807198768,14,0.15384615384615385,2023-04-01,2022-04-01,0.032826070951683765,0.0,0.2857142857142857,10,4,-0.02758102635840809,-1035.7128822834184,-1.0000000000000002
