alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gate_pass,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,trades_per_week,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.0,-0.0044493640269380455,1.0689609821692327,8,-907.9695572153581,-0.8924090007097771,130.8379738534659,0.13761698611273918,0.0025521977969024815,938.7993869069958,0.9387483091969185,0.02499192438530229,3509.965241773613,3.5097696930496958,0.0,0.08771636832873564,8.771636832873565,4.407857704961595,-2.9068697091523682e-05,130.83797385346594,0.13761698611273918,0.059286706808707734,False,6355.786900507507,8449.194482162962,7,2,5,-0.019899999999999977,1114,1.9899999999999978,2.0,101.21124028499142,0.10126831668095249,0.0019999999999999927,1.0339546953382328,1.3293703225777278,2,1.0519636088720814,0.7178679537370857,0.2787542610020091,2021-04-01,2021-01-01,1956.3091970666069,3,0.020934075816554397,2.09340758165544,3905.857011770745,16,0.17777777777777778,1.2444444444444445,2021-01-01,2020-01-01,0.006854844174554646,0.0,0.5625,1,9,0.0,-1036.4039623021577,-1.0000000000000002
0.0,-0.01254416586926035,1.3101576466999325,8,-995.3664419137787,-1.0,-191.06037409550225,-0.18965401419614208,-0.0029957518282985153,345.143671116682,0.35057664300642993,0.0,1537.826935603566,1.5651334686077347,0.0,-0.07450694469263319,-7.450694469263319,-3.511924040054532,-1.8407731247123758e-05,-191.06037409550228,-0.18965401419614208,0.03669724770642202,False,3981.4657676551146,2070.862026700092,4,1,2,-0.02121542033451164,2020,2.121542033451164,2.1119360862170566,91.4217488811208,0.09287660195488742,0.0019879999999999577,0.34675035904674323,0.5201255385701148,0,0.9005731259762072,-1.2383581935284418,-12193558500827.318,2021-07-01,2021-04-01,1171.7170130159552,3,-0.019106037409550337,-1.9106037409550338,2340.1847471462343,10,0.10989010989010989,0.7692307692307692,2021-04-01,2020-04-01,0.013443019295270376,0.0,0.6,2,6,-0.00816018996572676,-1001.1992819698852,-1.0000000000000002
0.0,-0.010525777114744835,1.4784447539298804,8,-1005.3325473370905,-1.0,18.560772850334022,0.02128214033632416,0.0004298349677914906,402.52076792061825,0.40426294296244575,0.0,1505.5463637302933,1.5257316388129856,0.0,0.01630999322432758,1.630999322432758,0.5858116901130234,-2.744739249771269e-05,18.560772850334047,0.02128214033632416,0.07989105764866092,False,6031.995284022543,6440.332286729893,6,1,4,-0.027841699815141646,1914,2.7841699815141645,2.7826321300388654,111.39480010680522,0.11094834168890352,0.0019880000000000236,0.4003856922635292,1.0676951793694114,0,0.14666381917000143,0.22256471475274445,3647955635487.1885,2021-10-01,2021-07-01,2628.582562728478,3,0.004083370027073397,0.4083370027073397,5262.33937478167,22,0.2391304347826087,1.673913043478261,2021-07-01,2020-07-01,0.012038563279156944,0.0,0.7272727272727273,3,16,-0.0006287248093354014,-1015.0302693239076,-1.0000000000000002
0.0,-0.009413691775895586,1.4973184388863554,8,-949.7979058832589,-0.9284228195296227,206.54441891409746,0.20338624019842702,0.002973247887899792,823.2603254726876,0.8070177387200537,0.09816806375538212,3267.5524701931527,3.2769749604683764,0.0,0.43382043135579496,43.382043135579494,14.109304032948012,-6.820369656783278e-05,206.54441891409755,0.20338624019842702,0.16659121774558625,False,15196.766494132142,24697.809764180627,16,3,5,-0.030747117670916903,666,3.0747117670916904,3.1023328454390398,128.83197070306784,0.1249556406563492,0.0019879999999999924,0.8667742057265346,1.6252016357372523,1,3.090059813650539,2.061544095460382,1.8488559707043712,2022-01-01,2021-10-01,5901.53950072744,3,0.09501043270048468,9.501043270048468,11791.223287013903,46,0.5,3.5,2021-10-01,2020-10-01,0.01388244496914965,0.0,0.6521739130434783,4,30,-0.009143079887272254,-1094.3687804003114,-1.0000000000000002
0.0,-0.013944858198464418,1.5381301506264415,8,-795.051025190294,-0.7900213049177288,71.2741527628859,0.07508800130677215,0.000481926961378557,607.5706914958066,0.610631857540987,0.01896727371485607,2876.977000638129,2.888987954888728,0.0,0.10205182153573578,10.205182153573578,3.545003339841413,-4.8014385058113356e-05,71.27415276288582,0.07508800130677215,0.12586765386395188,False,10335.66332747382,12758.98452141194,13,3,5,-0.028787510688297716,1432,2.8787510688297715,2.907633227585287,113.54169608219294,0.11369670684807415,0.0019880000000000162,0.7641908157408962,1.2344620869660634,1,0.8417960205650005,0.755155330111459,0.2560535000406484,2022-04-01,2022-01-01,4339.909149877823,3,0.024233211939381435,2.4233211939381434,8677.4807501378,34,0.37777777777777777,2.6444444444444444,2022-01-01,2021-01-01,0.01626842157176201,0.0,0.6176470588235294,5,21,-0.01670730103317275,-1022.24690367959,-1.0000000000000002
0.0,-0.012462942015135401,1.644199097816754,8,-847.8891669726913,-0.7948871884304615,252.76609571875326,0.24376759236855677,0.003312444854002018,619.6511832825681,0.5899858526348963,0.02051382518924938,3046.3058614618235,2.900524326683787,0.0,0.5269497375931702,52.69497375931702,14.491764277082519,-4.0649739994119336e-05,252.76609571875326,0.24376759236855677,0.16109839816933638,False,9326.780836699607,20448.48904832475,11,3,7,-0.03636201414250824,759,3.636201414250824,3.6835742545606998,156.0037361996316,0.14440206868683364,0.002011999999999909,0.7308162521936381,2.192448756580914,2,3.058606205926185,2.9623889798872125,1.0537095588469556,2022-07-01,2022-04-01,6414.7765607603815,3,0.1112170821162514,11.12170821162514,12819.653179326688,44,0.4835164835164835,3.3846153846153846,2022-04-01,2021-04-01,0.01894060873613289,0.0,0.75,6,33,0.0,-1130.6692679772812,-1.0000000000000002
0.0,-0.014598481320730617,1.615235776137908,8,-886.9060412754889,-0.8810314547445923,120.01141946313896,0.12357610197123974,0.0021634638266217056,749.3348324247814,0.7514558249186349,0.026791831006683253,2977.2132976933804,3.020977934161492,0.0,0.12973802063704643,12.973802063704643,3.8762819165162044,-4.019304081864029e-05,120.01141946313908,0.12357610197123974,0.09416025350837483,False,8869.060412754889,11989.357318796501,10,2,3,-0.03346970716558409,915,3.346970716558409,3.386257531165754,110.98062049248551,0.11292617621248036,0.001988000000000015,0.8448863775323238,1.351818204051718,2,0.9322749346460034,0.9993113892966323,0.5113682321122295,2022-10-01,2022-07-01,3118.2639411883983,3,0.03120296906041578,3.120296906041578,6232.203364720259,26,0.2826086956521739,1.9782608695652173,2022-07-01,2021-07-01,0.01761594102493874,0.0,0.6153846153846154,7,16,0.0,-1030.7256281637754,-1.0000000000000002
0.0,-0.013257963142900911,1.5207680397420638,8,-805.9447767556333,-0.801553712684756,-1.3375825602780609,0.0066411056179572605,-8.375922966756293e-05,368.34680396191214,0.377973859973258,0.0,1612.463389185636,1.623469617005358,0.0,-0.00286451355291506,-0.286451355291506,-0.06816418835432508,-6.268584485250551e-05,-1.3375825602780367,0.0066411056179572605,0.1955636034404708,False,13701.061204845768,13628.831746590748,17,4,5,-0.042023731552776625,1315,4.202373155277662,4.123230597191344,141.56700302220338,0.1420208314001704,0.0019880000000000913,0.45703727424688906,0.9947281851255818,0,0.0171877783305057,0.016715765113050937,0.00585449192797774,2023-01-01,2022-10-01,8625.761617292103,3,-0.0007222945825498027,-0.07222945825498027,17257.034024094057,54,0.5869565217391305,4.108695652173913,2022-10-01,2021-10-01,0.016764586343430875,0.0,0.6851851851851852,8,37,-0.006200897179778342,-1021.2064630329438,-1.0000000000000002
0.0,-0.011465840932175318,1.3753168634101895,8,-1018.1879166978783,-1.0,115.734519567857,0.11815544802953205,0.0012968010100436367,392.91555954392567,0.3914823353256398,0.04978816426115196,1860.8928766469269,1.7856747266627049,0.0,0.29027285666468106,29.027285666468106,9.773167794507982,-5.194133516526105e-05,115.73451956785706,0.11815544802953205,0.2074074074074074,False,11200.067083676662,17681.20017947665,11,3,23,-0.029700999999999946,637,2.9700999999999946,3.0,157.57169209620955,0.14996950864274244,0.001988000000000112,0.3858968988928922,1.5786691318345585,2,2.1821262232921406,2.1038962445368137,39.064609626527556,2023-04-01,2023-01-01,8892.169193922866,3,0.06481133095799975,6.481133095799975,17810.14045336315,56,0.6222222222222222,4.355555555555556,2023-01-01,2022-01-01,0.014707216849289023,0.0,0.8035714285714286,9,45,0.0,-1076.619881428071,-1.0000000000000002
0.0,-0.04282957770504051,4.0607053379983205,8,-827.5237374572455,-0.8587386302157508,-136.65369717019544,-0.13976747907262219,-0.0015911261529068864,449.5390642854834,0.4702686491700324,0.0,2395.0817873797064,2.431100904807774,0.0,-0.2948551482338754,-29.485514823387536,-2.722443099462877,-0.0001113275525526052,-136.65369717019536,-0.13976747907262219,0.22334096109839818,False,23170.66464880288,14834.789121420949,28,4,6,-0.10830534834393735,1203,10.830534834393735,11.39221420142773,131.79004586682487,0.1339511970929934,0.001987999999999947,0.5432340414388525,0.6402401202672188,0,0.7696642552600699,-2.2710490627552224,-1.2573650405730588,2023-07-01,2023-04-01,9864.686923778547,3,-0.08335875527381897,-8.335875527381898,19722.64216678741,61,0.6703296703296703,4.692307692307692,2023-04-01,2022-04-01,0.056096101109110987,0.0,0.5409836065573771,10,33,-0.030714627129837746,-1009.1348481389189,-1.0000000000000002
