window,train_start,train_end,test_start,test_end,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,calmar_ratio,total_return_pct,max_drawdown_pct,max_drawdown_r,avg_drawdown_r,expectancy,expectancy_r,avg_win,avg_loss,avg_win_r,avg_loss_r,avg_r_multiple,payoff_ratio,trades_per_day,avg_holding_bars,max_consecutive_losses,exposure_pct,total_fees,total_slippage
1,2020-01-01,2021-01-01,2021-01-01,2021-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
2,2020-04-01,2021-04-01,2021-04-01,2021-07-01,3,0.0,0.0,-5.7752200106009575,0.0,-3.8376539299902834,-2.9701000000000057,2.9701000000000057,3.0,2.0,-990.0333333333334,-1.0,0.0,-990.0333333333334,0.0,-1.0,-1.0,0.0,0.03296703296703297,4,3,0.025594149908592323,339.443324595614,673.6175076837513
3,2020-07-01,2021-07-01,2021-07-01,2021-10-01,3,0.3333333333333333,2.9507424798018316,2.144982091544454,0.0,8.20262441929039,3.8819775348056424,1.9900000000000002,2.0,1.5,1293.9925116018812,1.33040082127866,5871.977534805645,-995.0,5.99120246383598,-1.0,1.33040082127866,5.901484959603663,0.03260869565217391,9,2,0.05244122965641953,364.6465945349044,717.3897510596337
4,2020-10-01,2021-10-01,2021-10-01,2022-01-01,3,0.6666666666666666,5.378398514752411,3.602291240881212,0.0,18.5458133310739,4.378398514752408,1.0,1.0,1.0,1459.4661715841366,1.454761694530111,2689.1992573762054,-1000.0,2.6821425417951663,-1.0,1.454761694530111,2.6891992573762056,0.03260869565217391,20,1,0.11211573236889692,351.2606986952428,698.2844139242392
5,2021-01-01,2022-01-01,2022-01-01,2022-04-01,5,0.0,0.0,-7.5112376868785775,-145025260723860.0,-3.764278911374469,-4.900995009999998,4.900995009999998,5.0,3.0,-980.199002,-1.0,0.0,-980.199002,0.0,-1.0,-1.0,0.0,0.05555555555555555,4,5,0.04066543438077634,612.5212943175815,1219.925295873451
6,2021-04-01,2022-04-01,2022-04-01,2022-07-01,6,0.3333333333333333,0.9972409345089978,0.04884864327997594,1352170199537.0205,-0.014998425942848712,-0.01110044954760815,2.9700999999999955,3.0000000000000004,1.5603873955873726,-1.8500749246030637,0.008783085197644369,2006.0818991859842,-1005.8160619798966,2.026349255592933,-1.0000000000000002,0.008783085197644369,1.9944818690179955,0.06593406593406594,11,3,0.12797074954296161,739.5752510817975,1474.2357178950024
7,2021-07-01,2022-07-01,2022-07-01,2022-10-01,5,0.4,1.6566128330490346,1.5447201375889386,46050230955229.75,4.145453096105329,2.016689150671693,1.9899999999999929,2.0,1.3333333333333333,403.33783013433606,0.41905507333934455,2544.02058497688,-1023.78400642736,2.5476376833483614,-1.0,0.41905507333934455,2.4849192495735517,0.05434782608695652,10,2,0.09584086799276673,619.4609275510538,1230.0348641177752
8,2021-10-01,2022-10-01,2022-10-01,2023-01-01,24,0.16666666666666666,0.26459583967535993,-8.806727358247086,-11.404953425097373,-3.063693493959069,-13.065221641596347,13.91858945833214,14.920315337331017,7.901197341538639,-544.3842350665175,-0.5803735676618421,1175.2052399583977,-888.3021300715005,1.2526544823597145,-0.9469791776661534,-0.5803735676618421,1.3229791983768,0.2608695652173913,8,8,0.35804701627486435,3478.929093399586,6967.032325500647
9,2022-01-01,2023-01-01,2023-01-01,2023-04-01,13,0.3076923076923077,2.3034406446846405,3.4663145346345723,332330540142592.7,16.053915144716523,12.837696938543813,3.940399000000014,4.0,2.0,987.5151491187573,0.9853601711249519,5671.695338213877,-1094.342712701296,5.452420556156094,-1.0,0.9853601711249519,5.182741450540442,0.14444444444444443,12,4,0.29390018484288355,2091.0318599337556,4231.533742185543
10,2022-04-01,2023-04-01,2023-04-01,2023-07-01,23,0.21739130434782608,0.9307880643214238,-0.27712852607728833,-0.4852477883844814,-0.4347013666946914,-1.1137673870628786,10.112463377159758,10.57808864466252,5.437044688651572,-48.42466900273416,-0.03206214264777816,2995.6722930651586,-894.0071584660376,3.185443234935434,-0.9258136364208926,-0.03206214264777816,3.350837031557126,0.25274725274725274,9,11,0.40036563071297987,3145.8543695970743,6310.904955842949
11,2022-07-01,2023-07-01,2023-07-01,2023-10-01,25,0.08,0.3044655275325753,-6.579737538490287,-56.23908916950927,-3.1930455330253587,-14.514646700344006,14.514646700344006,15.69351476569194,9.639420024121113,-580.5858680137608,-0.6277405906276777,3176.8443833502206,-907.318933349759,3.653242617154029,-1.0,-0.6277405906276777,3.5013535666246156,0.2717391304347826,4,14,0.21880650994575046,3937.3246313076174,7851.106739021624
