slippage_bps_per_side,fee_bps_per_side,trades,win_rate,sharpe,profit_factor,expectancy_r,avg_win_r,avg_loss_r,payoff_ratio,max_drawdown_r,max_drawdown_pct,max_consecutive_losses,trades_per_week,total_return_pct,total_fees,total_slippage
0,5,184,0.5489,4.09,4.91,0.235,0.539,-0.134,4.03,1.33,1.32,7,2.49,53.7,5851,0
2,5,184,0.8152,4.04,4.74,0.227,0.353,-0.330,1.07,1.35,1.34,3,2.49,51.5,5742,2297
5,5,184,0.8100,3.96,4.51,0.216,0.343,-0.325,1.06,1.37,1.36,3,2.49,48.3,5588,5588
10,5,184,0.7880,3.72,3.88,0.193,0.331,-0.320,1.04,1.39,1.38,3,2.49,42.4,5320,10639
15,5,184,0.7830,3.52,3.49,0.175,0.314,-0.327,0.97,1.40,1.39,3,2.49,37.6,5087,15260
20,5,184,0.7660,3.31,3.10,0.157,0.304,-0.326,0.94,1.39,1.39,3,2.49,33.3,4871,19486
30,5,184,0.7390,2.79,2.39,0.123,0.286,-0.339,0.84,1.38,1.38,3,2.49,25.1,4515,27092
50,5,184,0.6790,1.59,1.54,0.062,0.256,-0.350,0.73,1.96,1.95,5,2.49,11.9,3933,39335
