alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,selected,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.0,-0.006989538868221892,1.0451356130652842,27,-362.47934345514636,-0.35590113986597544,303.11172586858885,0.3138531687974363,0.051089702265382606,2299.8849338397945,2.3231160947876717,0.04646232189575339,2299.8849338397945,2.3231160947876717,0.0,0.10212049404850343,10.212049404850344,9.004915527529933,-3.961793764741841e-05,303.11172586858885,0.3138531687974363,0.4066543438077634,2174.876060730878,4599.769867679589,6,3,1,-0.011340527708038955,277,1.1340527708038954,1.1354068391958525,-284.71959051352053,-0.2838517097989631,-0.036800306783403576,6.344871715770984,2.1149572385903284,1,2.138254823212302,v3_wf_edge_BTCUSDT_4h_20260608_192533__trend_aligned_sma200_roc14_min0|v3_wf_edge_BTCUSDT_4h_20260608_192533__long_bull_sma200_roc14_min0,1.7283074325194507,0.7243983756405382,2021-04-01,2021-01-01,119.81125107624132,3,0.02424893806948705,2.4248938069487047,244.72306998104423,8,0.08888888888888889,2021-01-01,2020-01-01,0.008362026610601543,0.0,0.25,1,2,-0.010000000000000009,-517.9988493383979,-0.5
0.0,-0.008128964734281187,0.8254398814045687,55,-499.99999999999994,-0.5,-218.1236550603486,-0.21695992093637909,-0.013923353825049972,345.6290348189541,0.3491202371908627,0.003491202371908697,345.6290348189541,0.3491202371908627,0.0,-0.026006876894436703,-2.6006876894436703,-2.6006876894436703,-1.8348623853211025e-05,-218.12365506034863,-0.21695992093637909,0.30347349177330896,999.9999999999999,345.6290348189541,2,1,1,-0.01,445,1.0,1.0,-499.99999999999994,-0.5,-0.04875520601973374,0.6912580696379083,0.34562903481895413,1,0.6543709651810495,v3_wf_edge_BTCUSDT_4h_20260608_192533__trend_aligned_sma100_roc14_min0|v3_wf_edge_BTCUSDT_4h_20260608_192533__long_bull_sma100_roc14_min0,-2.044035066893146,0.0,2021-07-01,2021-04-01,53.422654728581854,3,-0.006543709651810495,-0.6543709651810495,104.20930416348139,3,0.03296703296703297,2021-04-01,2020-04-01,0.0090137838927848,0.0,0.3333333333333333,2,1,0.0,-499.99999999999994,-0.5
0.0,-0.007798312839059682,2.0,22,-495.0166666666667,-0.5,-495.0166666666667,-0.5,-0.0537599863882476,0.0,0.0,0.0,-490.04999999999995,-0.49999999999999994,0.0,-0.1128159112149949,-11.28159112149949,-3.798387637284761,-5.434782608695657e-05,-495.0166666666667,-0.5,0.2423146473779385,2970.1,0.0,6,6,0,-0.029701000000000057,225,2.9701000000000057,3.0,-495.0,-0.5,-0.054883194688288624,0.0,0.0,0,1.0,v3_wf_edge_BTCUSDT_4h_20260608_192533__long_bull_sma100_roc30_min0|v3_wf_edge_BTCUSDT_4h_20260608_192533__long_bull_sma200_roc30_min0,-5.7436320063507145,0.0,2021-10-01,2021-07-01,110.99055284258577,3,-0.029701000000000057,-2.9701000000000057,216.25231536232715,6,0.06521739130434782,2021-07-01,2020-07-01,0.013251275817453787,0.0,0.0,3,0,-0.01990000000000003,-500.00000000000006,-0.5
0.0,-0.0055696202531645405,1.0000000000000002,67,-503.2862319771172,-0.5000000000000001,-87.33151713270055,-0.085688401144142,0.0013980744601702483,328.6231977117161,0.3286231977117161,0.0,328.6231977117161,0.3286231977117161,0.0,-0.01379684351583288,-1.379684351583288,-1.379684351583292,-1.814882032667878e-05,-87.33151713270055,-0.085688401144142,0.488245931283906,1006.5724639542344,657.2463954234322,2,1,1,-0.00999999999999997,308,0.9999999999999971,1.0000000000000002,-87.33151713270055,-0.085688401144142,0.0013980744601702483,0.6529548730565264,0.6529548730565264,0,0.34932606853080606,v3_wf_edge_BTCUSDT_4h_20260608_192533__long_bull_sma100_roc30_min0|v3_wf_edge_BTCUSDT_4h_20260608_192533__long_bull_sma200_roc30_min0,-0.9473043496821334,0.0,2022-01-01,2021-10-01,78.56831188738417,3,-0.0034932606853080505,-0.34932606853080506,156.5946516090615,4,0.043478260869565216,2021-10-01,2020-10-01,0.007462988847080319,0.0,0.5,4,2,-0.003493260685308086,-503.2862319771172,-0.5000000000000001
0.0,-5.7948666828367516e-05,0.02946519270966677,95,-29.465192709666766,-0.02946519270966677,-29.465192709666766,-0.02946519270966677,-0.002342202295882597,0.0,0.0,0.0,-29.465192709666766,-0.02946519270966677,0.0,-0.001195257054419474,-0.1195257054419474,-4.056505131993131,-1.3641292921141498e-07,-29.465192709666766,-0.02946519270966677,0.04396112910689495,29.465192709666766,0.0,1,1,0,-0.00029465192709671103,425,0.029465192709671104,0.02946519270966677,-29.465192709666766,-0.02946519270966677,-0.002342202295882597,0.0,0.0,0,1.0,family_edge_BTCUSDT_1h_20260608_194104__trend_aligned_sma200_roc14_min0|family_edge_BTCUSDT_1h_20260608_194104__trend_aligned_sma200_roc30_min0,-1.6733200530681511,0.0,2022-04-01,2022-01-01,25.160245775067512,3,-0.00029465192709671103,-0.029465192709671104,50.329285541359226,1,0.011111111111111112,2022-01-01,2021-01-01,0.0001306701433138563,0.0,0.0,5,0,-0.00029465192709665633,-29.465192709666766,-0.02946519270966677
0.0,-0.0031701144164759756,1.125,28,-502.3920886052313,-0.5,275.3061896254358,0.28102856785220026,0.010313748107281561,1441.8536069714364,1.4525714196305004,0.024948250992545606,1665.2759145339953,1.657730289633719,0.0,0.11517006901139903,11.517006901139904,5.787440653839142,-1.3737339308826447e-05,275.30618962543576,0.28102856785220026,0.12906178489702516,3014.352531631388,5767.414427885746,6,2,1,-0.01990000000000002,361,1.9900000000000018,2.0,-496.12656574745404,-0.5,-0.01975549986813948,2.8699767366448588,1.9133178244299056,2,1.3834481890725374,family_edge_BTCUSDT_1h_20260608_194104__trend_aligned_sma200_roc30_min0|family_edge_BTCUSDT_1h_20260608_194104__trend_aligned_sma100_roc30_min0,1.0540763394430284,0.3460906850648937,2022-07-01,2022-04-01,385.2093263782953,3,0.02753061896254352,2.753061896254352,760.581457755188,10,0.10989010989010989,2022-04-01,2021-04-01,0.006458138037449744,0.0,0.4,6,4,0.0,-512.4741254962728,-0.5000000000000001
0.0,0.0,0.0,47,0.0,0.0,986.520339049129,0.9865203390491292,0.042688222691399436,986.520339049129,0.9865203390491292,0.009865203390491128,986.520339049129,0.9865203390491292,0.0,0.039743451090011206,3.9743451090011206,0.0,0.0,986.520339049129,0.9865203390491292,0.08499095840867993,0.0,986.520339049129,0,0,1,0.0,0,0.0,0.0,986.520339049129,0.9865203390491292,0.042688222691399436,0.0,inf,1,0.0,v3_edge_BTCUSDT_4h_20260608_191403__short_bear_sma200_roc30_min0|v3_edge_BTCUSDT_4h_20260608_191403__short_bear_sma200_roc14_min0,3.310063706204223,0.0,2022-10-01,2022-07-01,46.219789761726815,3,0.009865203390491224,0.9865203390491224,90.3785917407169,1,0.010869565217391304,2022-07-01,2021-07-01,0.0,0.0,1.0,7,1,0.0,986.520339049129,0.9865203390491292
0.0,-0.004249547920433996,0.9999999999999999,12,-499.99999999999994,-0.49999999999999994,-499.99999999999994,-0.49999999999999994,-0.014615433016166891,0.0,0.0,0.0,-499.99999999999994,-0.49999999999999994,0.0,-0.03911536665459214,-3.9115366654592143,-3.9115366654592143,-1.8115942028985524e-05,-499.99999999999994,-0.49999999999999994,0.0433996383363472,999.9999999999999,0.0,2,2,0,-0.01,235,1.0,0.9999999999999999,-499.99999999999994,-0.49999999999999994,-0.014615433016166891,0.0,0.0,0,1.0,v3_edge_BTCUSDT_4h_20260608_191403__short_bear_sma200_roc14_min0|v3_edge_BTCUSDT_4h_20260608_191403__trend_aligned_sma200_roc14_min0,-3.3100637062042226,0.0,2023-01-01,2022-10-01,136.84165209389934,3,-0.01,-1.0,275.4072698792915,2,0.021739130434782608,2022-10-01,2021-10-01,0.006518855666782321,0.0,0.0,8,0,-0.010000000000000009,-499.99999999999994,-0.49999999999999994
0.0,-0.004411460258780037,0.75,8,-497.5,-0.5,-497.5,-0.5,-0.024001509123234656,0.0,0.0,0.0,-495.0,-0.49999999999999994,0.0,-0.03977020353879035,-3.977020353879035,-3.9970053807829493,-1.84719895775172e-05,-497.5,-0.5,0.031423290203327174,995.0,0.0,2,2,0,-0.00995,410,0.9950000000000001,1.0,-497.5,-0.5,-0.024001509123234656,0.0,0.0,0,1.0,v3_edge_BTCUSDT_4h_20260608_191403__trend_aligned_sma200_roc14_min0|v3_edge_BTCUSDT_4h_20260608_191403__short_bear_sma200_roc14_min0,-4.737245272443121,-80.85700226205391,2023-04-01,2023-01-01,84.64862561227031,3,-0.00995,-0.9950000000000001,167.47357696457345,2,0.022222222222222223,2023-01-01,2022-01-01,0.0053148851066469605,0.0,0.0,9,0,-0.004974874371859284,-499.99999999999994,-0.5
0.0,-0.029968983728061692,3.864890787653173,15,-501.97325929612873,-0.5,42.907326176441046,0.050682795016555884,-0.001461230695261628,1768.3625135062455,1.7945116459023158,0.0353385244334663,2403.4406417367622,2.4210480411244863,0.0,0.04375562964576862,4.375562964576862,0.6544456432258494,-0.0001754722427475656,42.907326176441074,0.050682795016555884,0.7148080438756855,9537.491926626446,10610.175081037472,19,8,2,-0.06685907393330838,460,6.685907393330838,6.873336069928106,-497.4508311135256,-0.49999999999999994,-0.01739305846313141,3.5228221439242775,1.1124701507129298,1,0.16043942748609238,v3_edge_BTCUSDT_4h_20260608_191650__low_vol_q70|v3_edge_BTCUSDT_4h_20260608_191650__low_vol_q50,0.6560081199823723,0.7062667635581101,2023-07-01,2023-04-01,1445.0285597140705,3,0.010726831544110318,1.0726831544110318,2899.052393117776,25,0.27472527472527475,2023-04-01,2022-04-01,0.035576038762343484,0.0,0.24,10,6,-0.03829548822920403,-517.8564411417092,-0.5000000000000001
