trial,wf_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,allow_long,allow_short,wf_windows,wf_positive_exp,wf_profitable,wf_mean_exp_r,wf_min_exp_r,wf_mean_pf,wf_min_pf,wf_mean_return_pct,wf_min_return_pct,wf_max_dd_r,wf_total_trades,wf_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage
180,67.2723491492641,16,75,1.3625926473256318,3.1060655410617706,10.04859056553774,5,36,400,0.001,0.2,True,True,True,11,6,6,0.16179275848975208,-0.30638020078110206,1.8443403318841192,0.45261010526321455,1.020758468727195,-2.7689912745052423,4.142582328555351,88,1,57,0.42105263157894735,1.1003563846690942,0.48751448524213853,0.24759527321544397,0.3269642115619691,2.885779603281087,6.209290989147346,6.360707729639939,3.1681744163406074,50.62771233826453,0.05760112265143787,1318.3790040233496,-871.3732270690699,1.2947873051623258,-0.8421706464473898,0.05760112265143787,1.5129900289200042,0.1102514506769826,23,6,0.43345149854979054,2439.748664580378,4909.650290350684
233,66.85299991451028,10,75,1.5802719461503325,2.5823702094873893,12.349278973076009,6,360,50,0.001,0.2,False,True,True,11,7,6,0.29126936265961945,-0.48006254602339143,2.9538478293347197,0.3303913583917104,1.9830420560983806,-7.04516579290574,8.261548779668257,121,2,63,0.38095238095238093,1.2208756588939471,0.9084827122300836,0.5681936202020927,0.740822027502159,7.128344186162562,6.728878863388266,6.8302490225222705,3.180727278648482,113.14832041527825,0.11980148586521505,1641.7272106631008,-827.5156120449201,1.5699903612500261,-0.7726224374485147,0.11980148586521505,1.983922945702664,0.1218568665377176,40,5,0.8291975507573316,3040.626877330499,6119.266411026795
621,58.644317255616414,16,75,0.5587806841995598,1.607342537338006,11.629077003010572,5,96,600,0.0005,0.2,True,True,True,11,7,7,0.24801755853674584,-0.521759956685337,1.607606497744308,0.2675795261761393,1.4502385821015127,-5.708545624150997,11.0,98,3,55,0.2545454545454545,1.2723414044298547,1.0416593556708076,4.094060990622976,0.6476668950034895,11.695986502519677,12.549428933681469,13.148473574808325,6.369033204847584,212.65430004581117,0.22560462330349915,3903.0023268987725,-1047.4645383917853,3.7661057361463834,-0.9833469762038275,0.22560462330349915,3.7261426844017174,0.10638297872340426,35,6,0.6297131807927812,4233.017619035949,8510.823336447269
385,53.44510925295586,10,75,1.5067666129643127,0.6376569098229676,5.502112879407692,2,120,100,0.002,0.08,True,True,True,11,8,8,0.49198231152661004,-1.0,1.9054118956524915,0.0,4.4097046154852935,-15.161430308409734,16.604786582673754,125,4,87,0.21839080459770116,1.0696319193851331,0.48413682112686307,2.4174100979447495,0.21770605295947046,5.094222192475863,16.41034724139965,17.291304105525935,7.406879321345462,58.55427807443539,0.07937225307607759,4118.6062139527985,-1075.871998126872,3.9113071939302286,-0.9913154509861117,0.07937225307607759,3.828156343062581,0.16827852998065765,10,14,0.3013213019658395,12443.475531598104,24942.106433614874
391,46.75746702165692,24,75,0.9111647790168552,0.6120730650156101,9.304696137376162,1,120,300,0.0,0.2,True,True,True,11,8,8,0.27837679635817697,-0.7732537838849706,1.3758494612945726,0.15893028774209778,2.8202854878020527,-11.039392148704035,14.0,124,5,88,0.09090909090909091,0.7248809755313984,-1.2031993526175067,-97286725825385.88,-0.46870063320164546,-20.42443260979552,31.801158366117594,36.64252030710044,20.284579633924615,-232.0958251113135,-0.22640429790117278,6726.762472833641,-927.981654905809,7.509552723087099,-1.0,-0.22640429790117278,7.248809755313982,0.1702127659574468,9,21,0.26651627457299387,11186.537111689446,22418.961109505282
700,42.673534723273725,16,5,1.3453849757577585,1.965567728387117,8.561516483660514,6,36,200,0.002,0.12,True,True,True,11,8,8,0.05857591378264257,-0.7501162598765163,1.361915584381031,0.08586928009227883,0.4497204277567496,-7.964181576958246,8.981409148422271,121,6,69,0.3333333333333333,0.9976494308158623,0.06921314037390018,0.05027041837786415,-0.005142857276029635,-0.0968173539712443,13.30179188234151,14.009570275778849,6.257482292166583,-1.4031500575541713,0.008407741786750597,1786.6121946736628,-895.4108224231624,1.7576623343912796,-0.866219554515514,0.008407741786750597,1.9952988616317253,0.13346228239845262,22,13,0.5072510473735095,4478.574481733242,8977.765953905266
584,39.64219675705203,16,50,1.4718059719047139,0.6421785081633147,12.596603687183086,3,96,600,0.0005,0.2,False,True,True,11,6,5,0.3558265099958522,-0.5868687492880269,1.5013557285756207,0.3436105944712673,3.379140627168942,-12.235323614248802,12.911112484336591,155,7,92,0.17391304347826086,0.9822138015100411,0.09279763932641043,0.7672296931488999,-0.04101880675391482,-1.5171932436627102,26.18966038516366,28.831018298846075,15.832506382622817,-16.49123090937735,0.019017659161491625,5236.532641884495,-1122.3909936028242,4.828200654731283,-0.9934419188532012,0.019017659161491625,4.665515557172695,0.17794970986460348,17,15,0.5046728971962616,13578.968940413986,27218.33380568923
119,38.200201859039765,80,10,0.8707186411026019,2.8602154902322003,3.4298761546742274,1,240,100,0.003,0.2,True,True,True,11,6,6,0.0008986817025206956,-0.4518664205088738,1.1116526380804668,0.3184608439795329,0.16870807803825297,-4.02140404610736,6.0,99,8,62,0.43548387096774194,0.6970260706107569,-1.9414232262969908,-46269354302566.3,-0.4886633759923639,-10.248439154395397,15.04988667681035,16.095167505124433,7.995654065227374,-165.2974057160543,-0.16976388397942538,873.2482531224503,-966.4611996771865,0.9064681182694677,-1.0,-0.16976388397942538,0.9035523137546847,0.11992263056092843,18,9,0.3635191749919433,2628.1170745532936,5263.083404262027
652,37.3418267624848,120,14,0.7073780560005065,0.6710821558565936,4.620337672787709,2,360,150,0.001,0.12,False,True,True,11,7,7,0.17265351006194793,-1.0,1.2971413804854235,0.0,1.6850689338051756,-2.9701000000000057,5.0,80,9,61,0.18032786885245902,0.7559132122851142,-1.1963214537395592,-75.7791786249652,-0.3488906438272596,-11.891831189077115,24.523546422346218,27.682488308945242,13.762885413632517,-194.9480522799529,-0.1922008962924859,3347.986627753273,-974.3936818872625,3.4796132114689415,-1.0,-0.1922008962924859,3.435969146750518,0.11798839458413926,7,13,0.1382533032549146,7583.366202063421,15203.757015470157
580,36.345102232309955,10,200,1.0770929251551171,1.6733802886676425,8.882375175120929,4,240,600,0.0,0.12,True,True,True,11,7,7,0.12953101452185248,-0.6449711770180035,1.255751250450629,0.2567195002572499,0.8092565030437889,-9.93471827789888,12.198377708608312,107,10,56,0.21428571428571427,1.0375094723773204,0.254210193926083,0.7021231997346947,0.08006638292418083,1.6358725304519321,14.399994421470561,15.259801973717458,6.88635427622838,29.212009472355817,0.04825866200519421,3770.6769747667445,-991.1875265170228,3.790354557923265,-0.9723129459724613,0.04825866200519421,3.8042013987168417,0.10831721470019343,39,10,0.706413148565904,3606.0040053453313,7241.272831896982
291,32.840544986173484,8,20,0.699783851282328,3.032107938332648,7.467834122553282,6,24,600,0.001,0.08,True,True,True,11,6,6,-0.010553682669477397,-0.4561202308486478,1.069654773877071,0.321992959769338,-0.6811880627021337,-5.8151261363963425,6.360773576550633,141,11,94,0.4148936170212766,0.9457600375658525,-0.27334937524409875,-0.2070702620724818,-0.1489541381836728,-2.5860784542049076,12.312679134773559,12.713989679581983,6.095397569175137,-27.51147291707298,-0.021980220288691725,1156.2151831986785,-866.881283617333,1.1163810266931924,-0.8291818317849368,-0.021980220288691725,1.3337641555415862,0.18181818181818182,16,7,0.5127296165001611,4319.882553265691,8649.564182174121
510,31.0354110616383,16,150,0.8833747291092886,0.7394062542495092,6.9266026069438436,4,24,150,0.0005,0.12,True,False,True,11,8,8,0.06042952761281932,-1.0,1.1619797587110228,0.0,0.46682946111024665,-7.787416866478742,9.0,89,12,47,0.1276595744680851,0.48534239910531546,-2.3963709369693245,-62880342203934.72,-0.7270261955807863,-19.15249196261933,19.182990215851355,20.597040915349215,10.318239884145997,-407.4998289919014,-0.43743198929385885,3010.259112668162,-907.6596741128861,3.4067827505314394,-1.0,-0.43743198929385885,3.3165063938863217,0.09090909090909091,7,14,0.11698356429262005,4956.477911181049,9941.330831732084
422,26.15679599661965,20,75,0.7146621884781293,1.0643288410219045,5.433355830121085,3,120,300,0.0,0.08,False,True,False,11,7,7,0.09177312670385511,-0.7467267210111664,1.2393582627391193,0.1619527063626673,0.5489381442852675,-7.245613256933502,9.0,88,13,59,0.2542372881355932,1.0614011440230593,0.3814303550571632,21235391821672.85,0.1486546970599499,2.910203933781653,13.772367649463115,14.267133866659547,6.781430473290122,49.32549040307765,0.0651420664971773,3353.7852687740647,-1077.1948885870315,3.1895587948888973,-1.0,0.0651420664971773,3.1134433558009746,0.11411992263056092,13,8,0.2616822429906542,6472.964185666012,12964.78409937979
555,26.078986901738894,8,150,1.3229217634769994,2.623331473171495,13.47870015122297,3,120,50,0.0,0.08,True,True,True,11,6,6,0.06560750406118122,-0.6479602477801809,1.29531052677697,0.25358739775651107,-0.440954560090535,-7.55975464234913,9.211740875522107,103,14,57,0.3508771929824561,1.905762660453502,2.5848029184351144,2.1235988309305958,2.4983295430316588,31.450659005359284,8.530468697675637,8.867434807326909,3.237103528113602,551.7659474624437,0.5001146317590835,3308.675340461683,-938.4553460506585,2.860663059649945,-0.7758574914251659,0.5001146317590835,3.525660921838979,0.1102514506769826,43,8,0.8018047051240734,3178.8226305602825,6400.288706998648
242,23.912629472452156,12,50,0.6559181605818669,0.7398259334628164,5.331560206591152,1,72,600,0.0005,0.08,False,True,False,11,8,8,0.18484318155735927,-1.0,1.309558461593571,0.0,1.1406979294276656,-14.735937470208052,16.0,122,15,84,0.2261904761904762,1.0064043301550245,0.1573232462191976,9.704136100173312,0.016129890793120095,0.4563279193446069,19.973534257060688,21.408670309744103,11.75133418894493,5.432475230292994,0.023281964573435506,3774.1766559938224,-1096.2004391467387,3.5239834223246618,-1.0,0.023281964573435506,3.4429621821092944,0.16247582205029013,9,12,0.26103770544634225,11947.293837907897,23919.54021197826
581,22.351875704956925,24,50,0.8463032150133171,1.0780208605374344,11.678086245774278,2,168,400,0.003,0.08,True,True,True,11,6,6,0.28666425440007237,-1.0,1.4263854104327047,0.0,1.5052760693966898,-8.648275251635917,9.0,84,16,69,0.13043478260869565,0.8693479447379683,-0.3999045665603446,-27736139056633.203,-0.25387794768481575,-7.631733843978145,21.48328455839275,23.162148285222074,12.896170370538771,-110.60483831852457,-0.08546648656945907,5642.324925750664,-973.5443029289029,6.01142360296748,-1.0,-0.08546648656945907,5.795652964919788,0.13346228239845262,17,16,0.3799548823718982,6615.5359503758955,13240.078295880789
80,20.223932197476884,20,150,0.8525074268499967,1.023327880466209,5.491963601532414,1,360,150,0.003,0.12,True,True,True,11,6,5,0.0793462250699079,-0.5763675531725038,1.1329639324192302,0.2656805679563909,0.7563717885396961,-7.8132043464959136,10.0,159,17,96,0.22916666666666666,0.9344669127519669,-0.2861404295419482,-1.150639823081966,-0.18794269626269408,-4.995137355566229,18.91750639782927,20.187282829491377,10.817519054532394,-52.032680787148365,-0.03753183386364373,3237.6362560745006,-1030.0423647189898,3.1691645861804005,-0.9908740127956569,-0.03753183386364373,3.1432068883475233,0.18568665377176016,11,13,0.3615855623590074,9875.639172756133,19778.085982504068
71,19.537721903019218,20,75,1.607914812615344,1.5991930808579116,13.54004789402905,4,48,200,0.0,0.12,True,True,True,11,5,5,0.18094378644039058,-0.7631895805700167,2.157671060423731,0.08166424671453772,1.2673117426686777,-4.500758944356639,8.664453442743707,87,18,56,0.30357142857142855,1.069041617452096,0.3513863353453604,0.5132107394175415,0.16059532340082308,2.660347040726847,11.658035316703366,12.283561549251113,6.140075128869647,47.506197155837754,0.06519818778521627,2423.109430103902,-988.0131607958826,2.415355654904786,-0.9592294260874166,0.06519818778521627,2.452507240037161,0.10831721470019343,22,6,0.40799226554946827,4214.116483208055,8470.053097689004
