trial,wf_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,allow_long,allow_short,wf_windows,wf_positive_exp,wf_profitable,wf_mean_exp_r,wf_min_exp_r,wf_mean_pf,wf_min_pf,wf_mean_return_pct,wf_min_return_pct,wf_max_dd_r,wf_total_trades,wf_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage
555,26.078986901738894,8,150,1.3229217634769994,2.623331473171495,13.47870015122297,3,120,50,0.0,0.08,True,True,True,11,6,6,0.06560750406118122,-0.6479602477801809,1.29531052677697,0.25358739775651107,-0.440954560090535,-7.55975464234913,9.211740875522107,103,14,57,0.3508771929824561,1.905762660453502,2.5848029184351144,2.1235988309305958,2.4983295430316588,31.450659005359284,8.530468697675637,8.867434807326909,3.237103528113602,551.7659474624437,0.5001146317590835,3308.675340461683,-938.4553460506585,2.860663059649945,-0.7758574914251659,0.5001146317590835,3.525660921838979,0.1102514506769826,43,8,0.8018047051240734,3178.8226305602825,6400.288706998648
233,66.85299991451028,10,75,1.5802719461503325,2.5823702094873893,12.349278973076009,6,360,50,0.001,0.2,False,True,True,11,7,6,0.29126936265961945,-0.48006254602339143,2.9538478293347197,0.3303913583917104,1.9830420560983806,-7.04516579290574,8.261548779668257,121,2,63,0.38095238095238093,1.2208756588939471,0.9084827122300836,0.5681936202020927,0.740822027502159,7.128344186162562,6.728878863388266,6.8302490225222705,3.180727278648482,113.14832041527825,0.11980148586521505,1641.7272106631008,-827.5156120449201,1.5699903612500261,-0.7726224374485147,0.11980148586521505,1.983922945702664,0.1218568665377176,40,5,0.8291975507573316,3040.626877330499,6119.266411026795
621,58.644317255616414,16,75,0.5587806841995598,1.607342537338006,11.629077003010572,5,96,600,0.0005,0.2,True,True,True,11,7,7,0.24801755853674584,-0.521759956685337,1.607606497744308,0.2675795261761393,1.4502385821015127,-5.708545624150997,11.0,98,3,55,0.2545454545454545,1.2723414044298547,1.0416593556708076,4.094060990622976,0.6476668950034895,11.695986502519677,12.549428933681469,13.148473574808325,6.369033204847584,212.65430004581117,0.22560462330349915,3903.0023268987725,-1047.4645383917853,3.7661057361463834,-0.9833469762038275,0.22560462330349915,3.7261426844017174,0.10638297872340426,35,6,0.6297131807927812,4233.017619035949,8510.823336447269
374,-21.977978464136598,8,200,1.5807458480125098,1.7246815932082264,5.968154010572311,4,36,400,0.0005,0.2,False,True,False,11,5,5,-0.09385893047529952,-1.0,1.1904507391900727,0.0,-0.5174815821844692,-7.684709039635375,7.9424012563470106,80,47,50,0.48,1.4562349591080381,1.7159393086787067,2.017307474614818,1.3364280540437492,12.790528938233154,6.641096303548938,6.824773244205563,3.0010242738609603,255.81057876466207,0.2510536598557579,1701.0620490511485,-1078.2677014997869,1.5625200567805646,-0.9595307065363712,0.2510536598557579,1.5775878723670411,0.09671179883945841,19,5,0.31002255881405094,3610.770548539808,7254.438319004406
180,67.2723491492641,16,75,1.3625926473256318,3.1060655410617706,10.04859056553774,5,36,400,0.001,0.2,True,True,True,11,6,6,0.16179275848975208,-0.30638020078110206,1.8443403318841192,0.45261010526321455,1.020758468727195,-2.7689912745052423,4.142582328555351,88,1,57,0.42105263157894735,1.1003563846690942,0.48751448524213853,0.24759527321544397,0.3269642115619691,2.885779603281087,6.209290989147346,6.360707729639939,3.1681744163406074,50.62771233826453,0.05760112265143787,1318.3790040233496,-871.3732270690699,1.2947873051623258,-0.8421706464473898,0.05760112265143787,1.5129900289200042,0.1102514506769826,23,6,0.43345149854979054,2439.748664580378,4909.650290350684
428,-9.086464969407228,12,20,0.8191094918294481,1.2264174196905335,7.167668935640031,2,24,100,0.0005,0.05,True,True,True,11,7,6,0.015150366194431185,-1.0,1.0525076804346527,0.0,-0.4899188021483278,-14.046232735350102,15.087298637808049,97,37,78,0.358974358974359,1.2929123809320482,1.456459993585599,95496658821553.61,1.370773958513985,17.101867597644755,8.60773920149572,8.778186587959421,4.264954703306413,219.25471279031717,0.21934582843719197,2695.981289170299,-1167.712169982473,2.396749093503606,-1.0,0.21934582843719197,2.308772108807229,0.15087040618955513,10,6,0.2755398001933613,9084.267145056307,18205.817495912037
620,11.22212123218686,10,30,0.5901329295098403,1.0560021168898828,9.460397587596898,3,72,150,0.0,0.12,True,True,False,11,6,6,0.07839723188914102,-1.0000000000000002,1.368574392206327,0.0,1.1955945284851133,-7.725530557207996,8.0,85,22,55,0.21818181818181817,1.2091671747461554,0.8433320458091532,66619699687871.95,0.725780902831696,9.689094969465353,9.30262367983762,9.643642781115428,4.230110324236693,176.1653630811877,0.1963522125759362,4667.612403130707,-1077.261717862864,4.483280974306375,-1.0,0.1963522125759362,4.332849042840392,0.10638297872340426,22,7,0.3980019336126329,5850.395990352637,11731.980048508953
127,-60.47824709334967,12,5,0.5548333800847891,1.7350695643417762,7.6783369450071,1,24,400,0.0005,0.12,True,True,False,11,2,2,-0.24086852835273465,-1.0,0.7811327740685673,0.0,-0.5398756271365591,-7.147961220678393,7.3803338598236925,84,63,59,0.423728813559322,1.4649223684352706,1.8715380571630524,1.5305729721234653,1.5372784257056862,16.995972488038475,7.628956462294669,7.836596247196084,3.152232912711766,288.06733030573673,0.27863225708245326,2142.1021625466865,-1075.1935757537851,1.8998587809473246,-0.9134460692887756,0.27863225708245326,1.992294421071968,0.11411992263056092,13,5,0.2620045117628102,4958.5085538676385,9961.053731958193
114,-10.425482795926733,16,14,1.1372039263194347,3.185356499730795,12.990331863824533,2,168,50,0.003,0.12,False,True,True,11,3,3,-0.0562655430172706,-0.46212250046361375,0.9864544791879252,0.30852254269958457,-1.053762242282082,-6.781660896040995,8.405376676442978,156,39,84,0.35714285714285715,1.2220632648848693,1.0576802611675213,0.7976461202176298,0.7511899664346741,9.36074096403373,8.68728865175849,8.968680131931826,3.5578407660152953,111.43739242897266,0.11626426463973624,1717.1409343157834,-780.6201308414779,1.597916776559969,-0.706876019760393,0.11626426463973624,2.1997138767927655,0.16247582205029013,32,10,0.8865613922010958,4000.8472739496215,8048.607470684333
62,-23.068637915302105,8,75,0.8794879290386268,2.738123957792018,4.706341930057205,6,360,400,0.002,0.08,False,True,False,11,4,4,-0.11375946374131293,-0.8267630629380914,0.9978296816127621,0.07736017091531862,-0.918242162356398,-7.9792432000466516,9.0,92,49,52,0.4807692307692308,1.2096189038320981,1.0068412796153585,71259516494106.81,0.5588245610052325,5.88885652201419,7.382075225599054,7.566615482989876,4.516275545398434,113.24724080796557,0.11684431415047812,1359.280492505385,-1040.48725150446,1.3230361734329943,-1.0,0.11684431415047812,1.3063884161386659,0.10058027079303675,33,5,0.5546245568804383,2476.606207716761,4969.996682730653
