alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gate_pass,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,trades_per_week,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.0,-0.0007102293821006329,0.1863329445099049,8,-165.59479957798646,-0.15722921636390677,407.10438878205076,0.39406675288471904,0.02605525749661922,474.4807638832317,0.4589251022080867,0.02405578581250678,1645.490241129644,1.5943830922813298,0.0,0.35305195502487274,35.30519550248727,115.93660878230591,-1.4687455989155323e-06,407.1043887820508,0.39406675288471904,0.07040296433534043,False,331.1895991559729,8066.172986014937,2,1,9,-0.003045215473636961,658,0.3045215473636961,0.3045215473637004,355.7482530749697,0.3365995434930593,0.02427733949798577,2.8653119849924766,24.355151872436046,2,25.400446877478004,4.605650256856365,1.2953368306436541,2021-04-01,2021-01-01,288.8291809472672,3,0.07734983386858964,7.734983386858964,577.6669633740307,19,0.2111111111111111,1.4777777777777779,2021-01-01,2020-01-01,0.0012944439216003771,0.0,0.8947368421052632,1,17,0.0,-321.04087898203994,-0.3045215473637
0.0,-0.0008456053686517818,0.26491056648996036,8,-305.40499230460597,-0.29380743361095835,199.95622967157712,0.19541165371209554,0.015273645789481037,284.1831000009409,0.2769481682659378,0.014088028338446579,1354.272400275464,1.354272400275464,0.0,0.24440141415275285,24.440141415275285,52.76038834015926,-5.453502247999201e-06,199.95622967157703,0.19541165371209554,0.10321100917431193,False,1221.6199692184239,6820.394400022582,4,1,9,-0.004632289902360774,385,0.46322899023607744,0.4635905768404429,55.51446807490256,0.05313398819262048,0.004035587271760463,0.9305122940410263,5.5830737642461585,2,12.086407692123966,4.1661504627838575,1.930215594396561,2021-07-01,2021-04-01,361.2410745338314,3,0.05598774430804144,5.598774430804144,722.4888315719601,28,0.3076923076923077,2.153846153846154,2021-04-01,2020-04-01,0.001891050867680076,0.0,0.8571428571428571,2,24,0.0,-367.94555270424496,-0.34882303191568176
0.0,-0.0006338943504294465,0.23662722903360814,8,-363.0385259535382,-0.36182417534056405,458.48146339247126,0.4356330435728416,0.03309170226743681,491.3422629663117,0.46753133232937794,0.08607477943860586,2407.1575289158077,2.3308044591849773,0.0,0.5637843834239888,56.37843834239889,155.8172233498022,-1.6620311223728238e-06,458.48146339247137,0.4356330435728416,0.09441670449387199,False,363.0385259535382,12283.556574157792,1,1,24,-0.003618241753405655,507,0.3618241753405655,0.36182417534056405,327.3459004973362,0.3247319383026871,0.018432177575856454,1.353416312155239,33.83540780388097,2,32.9456096652031,5.205910540785848,0.0,2021-10-01,2021-07-01,436.4655687010659,3,0.11920518048204277,11.920518048204277,872.9443673300715,26,0.2826086956521739,1.9782608695652173,2021-07-01,2020-07-01,0.0014831112990478657,0.0,0.9615384615384616,3,25,0.0,-363.0385259535382,-0.36182417534056405
0.0,-0.0010036248224633605,0.19278577457521098,8,-205.9410501992987,-0.1984326857989019,254.02499934959258,0.24525132656128742,0.013359215323074195,336.16179391189456,0.3244806144827498,0.042345678733151315,1627.806477195449,1.539548441469218,0.0,0.37656541020230727,37.656541020230726,58.73562219945184,-4.551208389883115e-06,254.02499934959258,0.24525132656128742,0.11951109099139882,False,1029.7052509964935,9412.530229533051,5,1,17,-0.0064111930052189285,551,0.6411193005218928,0.6420205214189192,27.840371666000074,0.02634499150248622,0.0009960014999999681,1.6323204799945188,9.14099468796931,2,13.075296550443332,4.5385795926232735,2.1809184267174473,2022-01-01,2021-10-01,648.3645457513915,3,0.08382824978536547,8.382824978536547,1296.739419431651,33,0.358695652173913,2.510869565217391,2021-10-01,2020-10-01,0.0019104715914665168,0.0,0.8484848484848485,4,28,0.0,-349.56369721090886,-0.3426285436397013
0.0,-0.0023603396048944474,0.33471333630488337,8,-333.7657040999755,-0.33020727049046883,141.3581516632047,0.13998792238256158,0.006288699328307683,309.04892428550363,0.3059391669259841,0.020590268596646366,1337.7893503515097,1.316247601272116,0.0,0.13865358814935758,13.865358814935757,19.711226701530002,-9.245187227917855e-06,141.3581516632047,0.13998792238256158,0.08514576584914392,False,2002.5942245998529,5253.83171285356,6,2,7,-0.007034244506892874,1073,0.7034244506892874,0.7046658155996791,63.11869765684922,0.06260897322302134,0.0034174028594026584,0.9259457172775659,2.6235128656197695,2,4.622013757224107,2.673829302133642,3.3835526149709185,2022-04-01,2022-01-01,474.8699385789936,3,0.03251237488253697,3.251237488253697,949.7445530099053,23,0.25555555555555554,1.7888888888888888,2022-01-01,2021-01-01,0.003539681251113112,0.0,0.7391304347826086,5,17,0.0,-361.3529069509371,-0.354392416703876
0.0,-0.0019785781804942883,0.3780081058091406,8,-351.1274616055283,-0.3475535018616428,163.25248171816182,0.16259020262939236,0.009746992155500941,449.0191168979897,0.4460033717910786,0.009628583782353317,901.089946475865,0.9003323717383694,0.0,0.09494345166616958,9.494345166616958,13.355008217215401,-7.989735674980215e-06,163.2524817181619,0.16259020262939236,0.05125858123569794,False,1755.6373080276417,4041.172052081907,5,2,4,-0.007109202040308879,564,0.7109202040308878,0.7121882279016369,159.75911348245546,0.15791608793623232,0.01083535473872339,1.2787923645870716,2.3018262562567284,2,3.2148963147979144,2.084327025477356,6.012475480123116,2022-07-01,2022-04-01,254.65746776462254,3,0.02285534744054283,2.285534744054283,509.31798503941644,14,0.15384615384615385,1.076923076923077,2022-04-01,2021-04-01,0.002644799896323936,0.0,0.6428571428571429,6,9,0.0,-359.74622467863355,-0.356888416265161
0.0,-0.0023000015289961558,0.641342425019854,8,-373.5759401534209,-0.35542805032345914,328.64946351590953,0.3179496826466858,0.014873155920579695,469.09454424977565,0.45262522924071485,0.029635527395760697,1275.0632400779668,1.2186587800120465,0.0,0.3517623957458782,35.17623957458782,33.227073225342224,-6.497770572640925e-06,328.6494635159096,0.3179496826466858,0.0869171570846537,False,1494.3037606136836,9381.890884995513,4,3,9,-0.010586619933698816,634,1.0586619933698815,1.0624199286803275,200.26317006490927,0.1900267685079833,0.00931970139077593,1.255687248105772,6.27843624052886,2,7.450524505252573,4.525359062441085,78.29814917792383,2022-10-01,2022-07-01,556.6266946464609,3,0.0788758712438184,7.88758712438184,1113.262946769636,24,0.2608695652173913,1.826086956521739,2022-07-01,2021-07-01,0.004264553828712493,0.0,0.8333333333333334,7,20,0.0,-376.924037610649,-0.35929227261350916
0.0,-0.0029365526902197527,0.41457024895818745,8,-318.7571851890358,-0.31301805488645307,167.31992751470526,0.1676063014599935,0.0077502075662710624,653.3970402184463,0.6482306578064401,0.01113437109182791,1142.6222849767728,1.1346312080540693,0.0,0.06809663345180805,6.809663345180805,7.557900399112611,-7.104358939774153e-06,167.31992751470523,0.1676063014599935,0.0362154821186057,False,1593.7859259451789,3266.9852010922314,5,3,3,-0.00900999349763903,632,0.900999349763903,0.9036813289372367,-19.81618054822964,-0.017153204691162674,-0.0010494841393433995,2.0498268606273315,2.049826860627332,2,1.8570482604515879,1.5133085016948915,1.1999942416027716,2023-01-01,2022-10-01,277.9787859260289,3,0.01673199275147068,1.673199275147068,555.9600789901714,10,0.10869565217391304,0.7608695652173912,2022-10-01,2021-10-01,0.004844801083405276,0.0,0.5,8,5,0.0,-374.6419265751931,-0.36712381385376164
0.0,-0.00011906958227246318,0.35231547631303606,8,-376.73807055339563,-0.3523154763130363,887.6164944557595,0.8405277043909315,0.039305091299918174,966.6386547688314,0.9150804031849294,0.02942460863371732,6060.458714592792,6.021593374479965,0.0,0.7688985630964449,76.88985630964449,218.24149513467808,-1.6440292875083365e-06,887.6164944557593,0.8405277043909315,0.06296296296296296,False,376.73807055339563,15466.218476301303,1,1,11,-0.0035231547631304175,73,0.3523154763130418,0.35231547631303606,258.6771284650029,0.2329112194543568,0.01871841953095152,2.565810918309697,41.052974692955154,2,42.82945660990638,3.435495311349984,0.0,2023-04-01,2023-01-01,386.31311697437457,3,0.1508948040574792,15.08948040574792,772.6424823847051,17,0.18888888888888888,1.3222222222222222,2023-01-01,2022-01-01,0.000647688633470727,0.0,0.9411764705882353,9,16,0.0,-376.73807055339563,-0.3523154763130363
0.0,-0.0023786531193149816,0.41651314546517054,8,-318.24720944625574,-0.30405009164019453,361.4383830056061,0.3549925426159316,0.008746930490921125,701.281179231537,0.6845138597439947,0.01211814241662168,3447.114458602672,3.45258223001224,0.0,0.2878655595408264,28.786555954082637,40.413666908080955,-8.399173802215194e-06,361.43838300560606,0.3549925426159316,0.06590389016018307,False,1909.4832566775344,8415.374150778443,6,2,5,-0.007122975507161067,745,0.7122975507161067,0.7135703485079832,37.14470247788019,0.036100344015007106,0.0009960014999998966,2.2035736949642173,4.407147389928435,1,9.1336701741572,2.5291084808092847,3.680819693138673,2023-07-01,2023-04-01,541.4121081688276,3,0.06505890894100928,6.505890894100928,1082.8323464729654,18,0.1978021978021978,1.3846153846153846,2023-04-01,2022-04-01,0.0034971221912029585,0.0,0.6666666666666666,10,12,-0.004922226714470623,-381.5190207556455,-0.36077031918361685
