alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,selected,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.0,-0.00527108727970763,0.8790888475809819,8,-334.1865288589718,-0.3333333333333333,-72.78772183502018,-0.06853922768078803,-0.02162953796713629,798.5416349114853,0.8141077911610295,0.02083209276648379,1655.1125250132072,1.7057757711934232,0.0,-0.03784953199573626,-3.7849531995736263,-2.271454574621604,-6.229544291992205e-05,-72.78772183502016,-0.06853922768078803,0.21256931608133087,3341.865288589718,2395.624904734456,10,5,1,-0.016663125214397705,201,1.6663125214397705,1.6666666666666665,-333.3333333333333,-0.3333333333333333,-0.03341634206257791,2.3895087502119914,0.7168526250635974,1,0.5678648942982564,v3_edge_BTCUSDT_1d_20260608_192634|family_edge_ETHUSDT_4h_20260608_194104|v3_edge_SOLUSDT_4h_20260608_191748,-1.5186978114254215,-48.191200545581644,2021-04-01,2021-01-01,207.2666412241335,3,-0.009462403838552564,-0.9462403838552563,414.35686784974274,13,0.14444444444444443,2021-01-01,2020-01-01,0.0072282575070848065,0.0,0.23076923076923078,1,3,-0.016663125214397723,-340.68918102875125,-0.33333333333333337
0.0,-0.0006687203100167505,0.24271941068620717,10,-234.79549893219337,-0.2315237414451091,191.42618513319007,0.1877213935358321,0.033886262950173295,333.50007982165124,0.3274697718628125,0.010095440040065906,632.8220611898012,0.6135201104332144,0.0,0.0628998012111619,6.28998012111619,18.98299854050823,-8.609855295207368e-06,191.42618513319007,0.1877213935358321,0.1480804387568556,469.59099786438674,2001.0004789299076,2,1,4,-0.0033134808010936026,104,0.3313480801093603,0.33333333333333337,159.73935659009481,0.1556496273964572,0.0426523671284825,1.4203853197286493,4.261155959185949,2,4.62175450227477,v3_edge_BTCUSDT_1d_20260608_192634|v3_edge_ETHUSDT_4h_20260608_191748|v3_edge_SOLUSDT_4h_20260608_191748,4.781513887420419,1.5605188151628806,2021-07-01,2021-04-01,74.01229937973162,3,0.01531409481065537,1.531409481065537,150.11611293397223,8,0.08791208791208792,2021-04-01,2020-04-01,0.00126740846219306,0.0,0.75,2,6,0.0,-333.33333333333337,-0.33333333333333337
0.0,-0.009564136013407583,1.2952765466422496,16,-312.22441607252256,-0.3123876456227512,-73.59801442197586,-0.0711527158517019,-0.014067932825028207,483.196922762633,0.49172878694741273,0.0022687051266234715,1495.431838081995,1.5086111888686284,0.0,-0.05717329800172377,-5.717329800172378,-2.3894098645914124,-8.066625931502762e-05,-73.59801442197588,-0.0711527158517019,0.6112115732368897,4371.141825015316,2899.181536575798,14,5,2,-0.023927790225098267,322,2.392779022509827,2.3779910761477874,-307.2267374242731,-0.312268030400831,-0.05118820878961672,1.5475949281634573,0.6632549692129104,1,0.6151676667975771,v3_wf_edge_BTCUSDT_4h_20260608_192533|v3_edge_ETHUSDT_4h_20260608_191748|v3_edge_SOLUSDT_4h_20260608_191748,-2.235705687990708,-1.4719055759608428,2021-10-01,2021-07-01,226.1559740275026,3,-0.014719602884395572,-1.4719602884395573,451.8075768725501,20,0.21739130434782608,2021-07-01,2020-07-01,0.012484908553456027,0.0,0.3,3,6,-0.013222093916862465,-345.37562443946996,-0.33333333333333337
0.0,-0.004966955434927568,0.637892739829366,30,-266.85688970301663,-0.2683524881489086,4.732987833024758,0.005722411478892282,0.010968272994407618,303.4818531226703,0.3072048010694733,0.00760805547850385,695.9265094815191,0.7121407057220215,0.0,0.003951828233723864,0.3951828233723864,0.3221737502171131,-5.400345584151875e-05,4.732987833024765,0.005722411478892282,1.0,2935.425786733183,3034.8185312267033,11,6,3,-0.012266139718275386,424,1.2266139718275386,1.2516285601418573,-17.983279488630213,-0.01764664164709999,-0.006721653965889678,1.1372457104645617,1.0338597367859652,1,0.08103017475453506,v3_wf_edge_BTCUSDT_4h_20260608_192533|family_edge_ETHUSDT_4h_20260608_194104|family_edge_SOLUSDT_4h_20260608_194104,0.23276498212739238,0.13492400796168197,2022-01-01,2021-10-01,322.93000578165476,3,0.000993927444935398,0.0993927444935398,644.7133945268102,21,0.22826086956521738,2021-10-01,2020-10-01,0.006058318315574923,0.0,0.47619047619047616,4,10,-0.005493124569584618,-338.69830831428135,-0.33333333333333337
0.0,-0.0025605781218522726,0.8621711652981207,21,-203.19958911901904,-0.1962103874607889,95.9637016426402,0.09609328660786169,0.019556955417964574,303.07674909301966,0.29845736865538897,0.010416900070154167,958.5565401864017,0.9585565401864017,0.0,0.08848594423085898,8.848594423085899,5.719773691484207,-8.325525327476641e-06,95.96370164264022,0.09609328660786169,0.21795465062471078,1828.7963020711713,3939.9977382092557,9,3,4,-0.015470182738628253,585,1.5470182738628253,1.5354787724613828,47.29205393933349,0.04703065951684568,0.015345257715526509,1.4915224504489528,2.1544213173151543,1,1.3646906903475282,v3_edge_ETHUSDT_4h_20260608_191748|family_edge_SOLUSDT_4h_20260608_194104|family_edge_BTCUSDT_1h_20260608_194104,2.166773789209072,0.4597128485121347,2022-04-01,2022-01-01,266.3071716339003,3,0.021112014361381007,2.1112014361381006,530.7594798446407,22,0.24444444444444444,2022-01-01,2021-01-01,0.00511953195147851,0.0,0.5909090909090909,5,13,-0.008191137320156416,-352.99181987880786,-0.33333333333333337
0.0,-0.006380853170753147,1.3800893748011969,10,-338.27560388128103,-0.33333333333333326,106.93424580191258,0.10934342543956489,0.01979423358905784,524.3184798799066,0.5243528867891569,0.02779345668210298,2113.5800629133664,2.050974342289195,0.0,0.13984926755247784,13.984926755247784,4.80657133058928,-9.484194085723992e-05,106.93424580191257,0.10934342543956489,0.6124314442413162,5074.134058219215,8389.095678078505,15,4,3,-0.029095431635950044,136,2.9095431635950044,2.924012463875689,11.866516040085319,0.011866516040085321,0.003807585586883954,1.5499742631866469,1.6533058807324235,2,1.1393409320531782,v3_edge_BTCUSDT_4h_20260608_191403|v3_edge_ETHUSDT_4h_20260608_191748|v3_edge_SOLUSDT_4h_20260608_191748,2.715109765526628,5.545548057968843,2022-07-01,2022-04-01,574.6084350338022,3,0.03314961619859285,3.314961619859285,1131.678856465122,31,0.34065934065934067,2022-04-01,2021-04-01,0.010799908007307896,0.0,0.5161290322580645,6,16,-0.003517028130979427,-364.6440898900474,-0.33333333333333337
0.0,-0.00828145250785868,0.913455667277895,9,-324.7727341908316,-0.3257126968665878,-49.63578083740233,-0.04860974918587641,-0.004657586169555204,253.01486785136984,0.25620349326290615,0.0038976092173323984,638.1464656393539,0.6576802260327528,0.0,-0.040746277731476876,-4.074627773147688,-2.0913868118460077,-6.615211163521203e-05,-49.635780837402365,-0.04860974918587641,0.3779385171790235,3572.500076099148,2530.1486785136985,11,4,3,-0.01948289885959035,360,1.948289885959035,1.9608100050597361,-250.81822365929526,-0.24950633219913243,-0.015548578301516777,0.7790520607641345,0.7082291461492132,1,0.535008370724225,v3_edge_BTCUSDT_4h_20260608_191403|v3_edge_SOLUSDT_4h_20260608_191748|v3_edge_ETHUSDT_4h_20260608_191748,-2.005844054403501,-0.9458119619493647,2022-10-01,2022-07-01,310.52520027284424,3,-0.010423513975854294,-1.0423513975854293,614.0441506660793,21,0.22826086956521738,2022-07-01,2021-07-01,0.009212670786460356,0.0,0.47619047619047616,7,10,-0.004732163958630964,-337.34535340923765,-0.33333333333333337
0.0,-0.022609586262542964,2.4891276077636113,10,-299.1291853886327,-0.3041896890764998,-124.57654854509306,-0.12395234836019207,-0.015104602182287926,631.8182111102456,0.6570761280771412,-0.0006563433711533895,1909.927523422701,2.0083569997641266,0.0,-0.14913977530108402,-14.913977530108403,-2.9498472177253245,-0.00014474426267304232,-124.57654854509303,-0.12395234836019207,0.6075949367088608,7777.358820104451,3790.9092666614733,26,12,2,-0.05055847448807472,357,5.055847448807472,5.177809947838503,-324.2637907816492,-0.33333333333333326,-0.01750018979580736,2.112191795291986,0.4874288758366122,0,0.7884829583581011,v3_edge_BTCUSDT_4h_20260608_191403|family_edge_ETHUSDT_4h_20260608_194104|v3_edge_SOLUSDT_4h_20260608_191748,-4.702387920052947,-4.192188157489069,2023-01-01,2022-10-01,900.6073984474285,3,-0.039864495534429736,-3.9864495534429736,1811.6844323279854,32,0.34782608695652173,2022-10-01,2021-10-01,0.028144560807431232,0.0,0.1875,8,6,-0.03444173223254621,-336.095958534227,-0.33333333333333337
0.0,-0.009878014474807599,1.2285025933666636,14,-235.21245145504938,-0.23143152200518974,-22.496072177810024,-0.021002549258016433,-0.010738258006697815,372.5486321942058,0.36979411441530535,0.0,867.1899280924636,0.863683181797133,0.0,-0.018134074299406833,-1.8134074299406833,-1.022563889085379,-5.7180908809809165e-05,-22.49607217781005,-0.021002549258016433,0.5231053604436229,3057.7618689156416,2607.840425359441,13,5,4,-0.01773392791684308,410,1.773392791684308,1.7642796903419797,-112.22772676908082,-0.11194650081764088,-0.024496525619321054,1.5838814224739386,0.852859227485967,0,0.25370659318450706,family_edge_BTCUSDT_4h_20260608_193935|v3_edge_ETHUSDT_4h_20260608_191748|family_edge_SOLUSDT_4h_20260608_194104,-0.9691543429363744,-0.6000563806726558,2023-04-01,2023-01-01,306.91281858626127,3,-0.0044992144355618805,-0.44992144355618807,614.1600747595968,20,0.2222222222222222,2023-01-01,2022-01-01,0.011919597014484465,0.0,0.35,9,7,-0.004485714376554206,-344.32137463725735,-0.3333333333333333
0.0,-0.01974625958902086,2.2905728251999835,11,-241.2244818240563,-0.24285341506589406,-31.76572738278013,-0.02933475515931743,0.0005567059420180355,456.97136631353095,0.4688754512893614,0.008130212442905682,1582.0968754318685,1.6831435571804656,0.0,-0.050031526140891014,-5.003152614089101,-1.0232110183985499,-0.00012763744393251835,-31.765727382780142,-0.02933475515931743,0.8574040219378428,6754.285491073577,5483.656395762371,28,8,3,-0.048896586570379645,442,4.889658657037964,4.997147608428248,-144.38711048297318,-0.14455858272401056,-0.014669815007771533,1.8943822072207228,0.8118780888088812,1,0.25986049015554796,v3_edge_BTCUSDT_4h_20260608_191403|v3_edge_ETHUSDT_4h_20260608_191748|family_wf_edge_SOLUSDT_4h_20260608_194416,-1.5178248809042616,-1.2166250866535158,2023-07-01,2023-04-01,966.3938718885531,3,-0.01270629095311204,-1.2706290953112038,1937.600186286201,40,0.43956043956043955,2023-04-01,2022-04-01,0.02519261879599094,0.0,0.3,10,12,-0.027639447901882552,-344.7217181220376,-0.33333333333333337
