alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.10939948794197016,-0.008379224401775591,1.076715629707962,44,-792.8581031091512,-0.7433822963746288,1536.5033016155205,1.5140469213770584,0.08721076755793128,3865.864706340193,3.7714761391287457,0.04971767926060333,5403.199530575574,5.2139144771549795,-0.0018323601365762326,0.4303000852252503,43.03000852252503,35.04513500923598,-4.152973722763266e-05,1536.503301615521,1.5140469213770584,0.49353049907578556,2378.5743093274536,11597.59411902058,3,2,1,-0.012278454202326422,253,1.2278454202326423,1.2301468891238865,518.3605236059799,0.475872891702012,0.012223420864678715,4.8758594900908605,4.8758594900908605,2,7.50829026014234,4.107746906696796,2.9434419461374186,2021-04-01,2021-01-01,187.45662143890604,3,0.09219019809693127,9.219019809693126,393.7653967073884,6,0.06666666666666667,2021-01-01,2020-01-01,0.009581624031978072,0.0,0.5,1,3,-0.010000000000000009,-1090.3358231207217,-1.0
-0.026792495228668754,-0.017564510054844617,2.0,15,-990.0333333333334,-1.0,-990.0333333333334,-1.0,-0.051448538100149266,0.0,0.0,0.0,-980.1000000000001,-1.0,0.0006600226725411673,-0.11398215937464162,-11.398215937464162,-3.8376539299902834,-5.494505494505499e-05,-990.0333333333334,-1.0,0.08226691042047532,2970.1000000000004,0.0,3,3,0,-0.029701000000000057,530,2.9701000000000057,3.0,-989.9999999999999,-1.0,-0.0517209874574979,0.0,0.0,0,1.0,-5.7752200106009575,0.0,2021-07-01,2021-04-01,117.51358759296139,3,-0.029701000000000057,-2.9701000000000057,229.3115092614931,3,0.03296703296703297,2021-04-01,2020-04-01,0.01905450749127141,0.0,0.0,2,0,-0.010000000000000009,-1000.0,-1.0
0.07744201248014651,-0.00754068716094033,1.0,87,-1055.7516306859668,-1.0,3346.274291940455,3.424352234745218,0.13055674134160902,12150.326137193299,12.273056704235655,0.1115032613719329,12150.326137193299,12.273056704235655,0.006749063679745705,0.4619815150793025,46.19815150793025,46.198151507930056,-3.629764065335756e-05,3346.2742919404545,3.424352234745218,0.47377938517179025,2111.5032613719336,12150.326137193299,2,1,1,-0.010000000000000042,350,1.0000000000000042,1.0000000000000002,-1000.0000000000002,-1.0,-0.03852276809047625,11.508697485315475,5.754348742657737,1,10.038822875821324,2.751677178704904,0.0,2021-10-01,2021-07-01,158.83336137684972,3,0.10038822875821367,10.038822875821367,338.1041782697523,3,0.03260869565217391,2021-07-01,2020-07-01,0.008683713008235784,0.0,0.3333333333333333,3,1,0.0,-1111.5032613719334,-1.0000000000000002
0.06806413173903643,-0.00043399638336347136,1.0,131,-1062.8158074668916,-1.0000000000000002,2609.3824696111215,2.6407903733445672,0.1515731510316924,6281.580746689135,6.2815807466891345,0.06281580746689142,6281.580746689135,6.2815807466891345,-0.012983728614446181,0.223805510433696,22.3805510433696,22.380551043369632,-1.814882032667878e-05,2609.3824696111215,2.6407903733445672,0.47377938517179025,1062.8158074668916,6281.580746689135,1,1,1,-0.009999999999999986,24,0.9999999999999987,1.0,2609.3824696111215,2.6407903733445672,0.1515731510316924,5.910319269394962,5.910319269394962,1,5.218764939222259,2.747731879509751,0.0,2022-01-01,2021-10-01,94.02894188880194,3,0.05218764939222252,5.218764939222252,198.7055175374212,2,0.021739130434782608,2021-10-01,2020-10-01,0.002083257985376441,0.0,0.5,4,1,-0.010000000000000009,-1062.8158074668916,-1.0000000000000002
-0.016141261632629435,-0.009915958782673028,1.899765212220651,49,-990.0333333333334,-1.0,-402.69253565248545,-0.3997652122206509,-0.023552656965341773,1359.3298573900586,1.4009391511173963,0.014009391511173863,1359.3298573900586,1.4009391511173963,0.000122584729149083,-0.0637779783894804,-6.377797838948041,-2.1473343789596404,-5.565862708719856e-05,-402.69253565248545,-0.3997652122206509,0.36229205175600737,2970.1000000000004,1359.3298573900586,3,3,1,-0.029701000000000057,249,2.9701000000000057,3.0,-985.0500000000002,-1.0,-0.05498181227476005,1.3730142325747199,0.4576714108582399,1,0.5423285891417625,-2.401169550714856,0.0,2022-04-01,2022-01-01,136.3605935453568,3,-0.01610770142609952,-1.6107701426099519,269.76754942458217,4,0.044444444444444446,2022-01-01,2021-01-01,0.015805815196688014,0.0,0.25,5,1,-0.01990000000000003,-1000.0,-1.0000000000000002
-0.045175299375768876,-0.016901028615019537,2.445880172750331,14,-932.5873357394739,-0.9458801727503314,-932.5873357394739,-0.9458801727503314,-0.03688138263002102,0.0,0.0,0.0,-760.2493429578951,-0.7835206910013255,-0.0009591335730042788,-0.14151879907344123,-14.151879907344123,-3.7937143699583675,-6.92952507509399e-05,-932.5873357394739,-0.9458801727503314,0.10420475319926874,3730.3493429578957,0.0,4,4,0,-0.037303493429578956,512,3.7303493429578958,3.7835206910013257,-985.0500000000002,-1.0,-0.0384400460452652,0.0,0.0,0,1.0,-6.642022759610107,-4.978780323997308,2022-07-01,2022-04-01,204.91453972793565,3,-0.037303493429578956,-3.7303493429578958,402.76571917307444,4,0.04395604395604396,2022-04-01,2021-04-01,0.020865556980599942,0.0,0.0,6,0,-0.027579286292503946,-999.9999999999999,-1.0000000000000002
-0.030006814954953245,-0.015122413448854944,1.7100038072749815,56,-670.1055306512644,-0.6764068964238628,-670.1055306512644,-0.6764068964238628,-0.031186876440071936,0.0,0.0,0.0,-272.92362630751893,-0.27686752798642766,0.009086511719674213,-0.10225379696156267,-10.225379696156267,-3.8148393157635896,-4.9014992494482936e-05,-670.1055306512644,-0.6764068964238628,0.4050632911392405,2680.4221226050577,0.0,4,4,0,-0.026804221226050577,493,2.6804221226050577,2.705627585695451,-703.7492481487693,-0.7143800288545117,-0.03085334193669523,0.0,0.0,0,1.0,-5.968798915252763,-1.0063905827948891,2022-10-01,2022-07-01,170.2404015296591,3,-0.026804221226050577,-2.6804221226050577,335.45174069724476,4,0.043478260869565216,2022-07-01,2021-07-01,0.016882555021065258,0.0,0.0,7,0,-0.010000000000000009,-1000.0000000000001,-1.0000000000000002
-0.027324674965269677,-0.016689858951175418,2.0,62,-990.0333333333333,-1.0,-990.0333333333333,-1.0,-0.029147807625530136,0.0,0.0,0.0,-980.1,-0.9999999999999999,0.0015696134794170248,-0.1128159112149949,-11.28159112149949,-3.798387637284761,-5.434782608695657e-05,-990.0333333333333,-1.0,0.33634719710669075,2970.1,0.0,3,3,0,-0.029701000000000057,514,2.9701000000000057,3.0,-990.0,-1.0,-0.026674551817203164,0.0,0.0,0,1.0,-5.7436320063507145,0.0,2023-01-01,2022-10-01,206.60557439414575,3,-0.029701000000000057,-2.9701000000000057,407.6747366583282,3,0.03260869565217391,2022-10-01,2021-10-01,0.018606034764074627,0.0,0.0,8,0,-0.010000000000000009,-1000.0,-1.0
0.30330763338227185,-0.004768946395563753,1.0,108,-1161.254089077517,-1.0,6037.240240801827,5.954425374235772,0.14141111092213396,9636.487405741498,9.431638061353658,0.1496415481867419,16125.408907751704,16.125408907751705,-0.01876951605457696,0.9651200101424036,96.51200101424035,96.51200101424072,-1.8587360594795556e-05,6037.240240801826,5.954425374235772,0.6025878003696857,1161.254089077517,19272.974811482996,1,1,1,-0.009999999999999962,258,0.9999999999999962,1.0,3147.565903731292,2.737867214955611,0.17041129112371306,8.29834529443645,16.5966905888729,2,18.11172072240554,3.6488319820175934,0.0,2023-04-01,2023-01-01,211.9537359647341,3,0.18111720722405472,18.111720722405472,460.6299580638832,3,0.03333333333333333,2023-01-01,2022-01-01,0.006905755856938279,0.0,0.6666666666666666,9,2,0.0,-1161.254089077517,-1.0
0.014536182456685084,-0.02554421599634373,2.5,25,-985.09975,-1.0,423.87584342303626,0.46167049499095486,-0.003465473131317892,6059.778217115181,6.308352474954774,0.06308352474954781,6059.778217115181,6.308352474954774,0.006985987638147538,0.0878218465727123,8.78218465727123,2.228755173593136,-7.33944954128441e-05,423.87584342303626,0.46167049499095486,0.23583180987202926,3940.399,6059.778217115181,4,4,1,-0.03940399000000005,534,3.9403990000000046,4.0,-980.1,-1.0,-0.03390868552055846,6.151436153663811,1.5378590384159527,1,0.5378590384159498,1.1599738810340177,0.0,2023-07-01,2023-04-01,299.136962520659,3,0.021193792171151728,2.119379217115173,603.1230439574856,5,0.054945054945054944,2023-04-01,2022-04-01,0.028560566533576786,0.0,0.2,10,1,-0.02970100000000009,-1000.0,-1.0000000000000002
