entry_time,exit_time,side,entry_price,exit_price,quantity,notional,stop_loss,take_profit,exit_reason,pnl,pnl_pct,fees,slippage,holding_bars,metadata
2022-07-03 19:00:00+00:00,2022-07-03 22:00:00+00:00,LONG,19242.501019,19264.125099607143,0.05196829658538682,1000.0,19269.90607142857,19936.667857142857,stop_loss,-0.876233365621645,-0.000876233365621645,2.0,0.6003372851595558,3,{}
2022-07-04 11:00:00+00:00,2022-07-04 14:00:00+00:00,LONG,19476.481192,19587.073186107144,0.05134352698561854,999.9912376663439,19592.95107142857,20233.567857142858,stop_loss,3.6782005585008406,0.0036782327884037976,1.9999824753326878,0.6016987626992838,3,{}
2022-07-04 22:00:00+00:00,2022-07-05 02:00:00+00:00,LONG,19964.747627999997,20167.817839,0.05008969000286372,1000.0280196719287,19767.5425,20955.925,signal_reversal,8.17166787846237,0.00817143891742472,2.0000560393438573,0.6030692987098167,4,{}
2022-07-05 00:00:00+00:00,2022-07-05 04:00:00+00:00,LONG,20242.781013,20266.298286,0.04940574794088019,1000.1097363507134,19994.582142857143,21197.605714285713,signal_reversal,-0.8383310106064954,-0.0008382390253148318,2.000219472701427,0.6004145669563585,4,{}
2022-07-05 12:00:00+00:00,2022-07-05 16:00:00+00:00,SHORT,19514.54388,19710.967588249998,0.051249025300846913,1000.1013530406074,19705.05607142857,18711.137857142858,stop_loss,-12.066726299871469,-0.012065503424412946,2.0002027060812146,0.6030799171924903,4,{}
2022-07-07 14:00:00+00:00,2022-07-07 18:00:00+00:00,LONG,20546.031960999997,21384.731226857144,0.048670258455537733,999.9806857776086,20682.880714285715,21391.148571428574,take_profit,38.81974866418189,0.03882049845192233,1.9999613715552174,0.6122380533525642,4,{}
2022-07-07 16:00:00+00:00,2022-07-07 19:00:00+00:00,LONG,20894.706531999997,21618.42895364286,0.047876665878613674,1000.3688832642505,20827.101785714287,21624.91642857143,take_profit,32.648678803327975,0.0326366396931438,2.000737766528501,0.6106193283325659,3,{}
2022-07-07 18:00:00+00:00,2022-07-07 22:00:00+00:00,LONG,20916.923195,21621.681548999997,0.04784142298191786,1000.6953700522837,21031.44392857143,22010.24214285714,signal_reversal,31.715251773649527,0.031693213262286295,2.0013907401045676,0.6105353042314532,4,{}
2022-07-08 01:00:00+00:00,2022-07-08 05:00:00+00:00,LONG,21731.257422000002,21836.777001000002,0.04606325824278481,1001.0125225700202,21658.929642857143,23093.77071428571,signal_reversal,2.858550572006883,0.002855659152662527,2.0020250451400403,0.6020661778649339,4,{}
2022-07-11 22:00:00+00:00,2022-07-12 02:00:00+00:00,SHORT,20233.348174,19977.051318,0.049474812545463216,1001.0411080757403,20312.11535714286,19397.519285714283,signal_reversal,10.678156690439959,0.010667051137356522,2.002082216151481,0.5968217881089164,4,{}
