entry_time,exit_time,side,entry_price,exit_price,quantity,notional,stop_loss,take_profit,exit_reason,pnl,pnl_pct,fees,holding_bars,metadata
2020-01-02 02:00:00+00:00,2020-01-02 06:00:00+00:00,SHORT,130.100958,129.42,7.686338481842694,1000.0,131.06464285714284,127.03071428571428,signal_reversal,4.034073679918668,0.004034073679918668,1.2,4,{}
2020-01-02 16:00:00+00:00,2020-01-02 20:00:00+00:00,SHORT,129.54112600000002,127.16,7.719867594302052,1000.0403407367992,128.935,124.92999999999999,signal_reversal,17.181929036466087,0.01718123593274944,1.200048408884159,4,{}
2020-01-03 01:00:00+00:00,2020-01-03 04:00:00+00:00,SHORT,127.031879,127.44429325,7.873709874252618,1000.2121600271638,127.40607142857144,123.30785714285715,stop_loss,-4.447484744540065,-0.004446541366203027,1.2002545920325964,3,{}
2020-01-03 08:00:00+00:00,2020-01-03 12:00:00+00:00,LONG,128.898658,132.23,7.759333578009155,1000.1676851797184,130.29107142857143,135.86785714285716,signal_reversal,24.648792618216344,0.02464466007396274,1.200201222215662,4,{}
2020-01-03 17:00:00+00:00,2020-01-03 21:00:00+00:00,LONG,133.480032,132.5,7.494860153359123,1000.4141731059005,131.3932142857143,139.12357142857144,signal_reversal,-8.545699793543886,-0.008542161859835293,1.2004970077270805,4,{}
2020-01-05 15:00:00+00:00,2020-01-05 19:00:00+00:00,LONG,135.610671,137.97,7.376474939114233,1000.3287161079652,135.86071428571427,140.05857142857144,signal_reversal,16.203136782295903,0.01619781230047894,1.2003944593295581,4,{}
2020-01-06 02:00:00+00:00,2020-01-06 06:00:00+00:00,LONG,137.251163,138.9,7.289488304560218,1000.4907474757881,136.99642857142857,143.45714285714286,signal_reversal,10.818589130655317,0.010813282539544052,1.2005888969709457,4,{}
2020-01-06 08:00:00+00:00,2020-01-06 12:00:00+00:00,LONG,138.911661,142.3,7.20313130059754,1000.5989333670946,138.64642857142857,144.65714285714287,signal_reversal,23.205931987894868,0.023192041500389244,1.2007187200405134,4,{}
2020-01-06 10:00:00+00:00,2020-01-06 13:00:00+00:00,LONG,140.882252,139.72735492857143,7.104024662290134,1000.8309926869734,139.7692857142857,146.37142857142857,stop_loss,-9.40541446905954,-0.009397605127923172,1.200997191224368,3,{}
2020-01-06 23:00:00+00:00,2020-01-07 03:00:00+00:00,LONG,143.092915,143.5,6.993616270535008,1000.7369385422829,141.60964285714286,149.23071428571427,signal_reversal,1.6461119532399695,0.0016448997632062708,1.2008843262507394,4,{}
