alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gate_pass,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,selected,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,trades_per_week,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.0,-0.002221063487046589,1.0365903266224337,8,-537.6437787790301,-0.5277064517472542,242.41250506613872,0.23937825836065682,0.0097234124179713,688.1589529776638,0.6777123784223203,0.02517235604620227,2442.465803202874,2.382946507154882,0.0,0.23473946904277043,23.473946904277042,12.529976877268373,-1.9690539244300555e-05,242.41250506613875,0.23937825836065682,0.08707735062528948,False,4301.150230232241,9634.225341687294,8,3,5,-0.018734230026284403,276,1.8734230026284402,1.8858831150731084,83.97694568745536,0.08208591442067592,0.003461097269572164,1.2799533448344709,2.239918353460324,2,2.8467009874292266,partial_highwin_SOLUSDT_1h_20260608_232410#r5,2.3368775404390134,1.8922221752246196,2021-04-01,2021-01-01,1144.0988567969077,3,0.05333075111455007,5.333075111455007,1144.106478077303,22,0.24444444444444444,1.711111111111111,2021-01-01,2020-01-01,0.004997435417745998,0.0,0.6363636363636364,1,14,0.0,-629.1052223466652,-0.6165063087005265
0.0,-0.00012548207142013085,0.2654375600925767,8,-524.6900781129507,-0.5168127583642137,215.3281379146974,0.2153889821980711,0.01212321114497152,338.66450725263877,0.3374226056251186,0.014854242820651509,1347.579895671657,1.3452038398911088,0.0,0.0618869915287803,6.18869915287803,11.974741437239548,-2.3783375902633027e-06,215.32813791469735,0.2153889821980711,0.025688073394495414,False,524.6900781129507,2031.9870435158325,1,1,5,-0.005168127583642146,291,0.5168127583642146,0.5168127583642137,12.121332495666733,0.012120189415850085,0.0010070040000000325,0.6454562824413349,3.872737694648009,2,2.916524294356972,partial_highwin_SOLUSDT_1h_20260608_232410#r8,1.6383627675476213,0.0,2021-07-01,2021-04-01,202.38914512152607,3,0.015072969654028712,1.5072969654028712,202.39105719868147,7,0.07692307692307693,0.5384615384615385,2021-04-01,2020-04-01,0.0007446314939874935,0.0,0.8571428571428571,2,6,0.0,-524.6900781129507,-0.5168127583642137
0.0,-0.006002085255099201,0.9127081853907018,13,-1034.4775273845219,-1.0009495908116697,307.71784895101206,0.31111035271035015,0.01077785923256768,499.46004557037406,0.49854748749921013,0.0014329006437616698,3257.789011433913,3.2548003273496393,0.0,0.10136494734052959,10.13649473405296,10.126878343427208,-4.560134810075907e-06,307.7178489510121,0.31111035271035015,0.04857013163867453,False,1034.4775273845219,3496.2203189926186,1,1,4,-0.010009495908116632,1505,1.0009495908116632,1.0009495908116697,27.497861324140093,0.027156784347730854,0.0010070040000000906,0.48281381890736963,3.379696732351588,1,2.459407360975987,partial_highwin_SOLUSDT_1h_20260608_232410#r9,1.2105236714871608,0.0,2021-10-01,2021-07-01,435.2229077790733,3,0.02461742791608107,2.461742791608107,435.22623997099254,8,0.08695652173913043,0.6086956521739131,2021-07-01,2020-07-01,0.007266722893414569,0.0,0.875,3,7,0.0,-1034.4775273845219,-1.0009495908116697
0.0,-0.006024241616440008,0.8734628095747283,13,-1043.2155958643782,-1.0002984544458824,235.93985524023645,0.23424853385230557,0.006728641771379251,437.9117685725441,0.4291770056888616,0.01832120185429864,2825.0507040057855,2.73408048344792,0.0,0.22250901150806368,22.250901150806367,22.230301933408096,-1.3708978361524121e-05,235.93985524023654,0.23424853385230557,0.13354459031235855,False,3129.646787593135,8320.323602878336,3,1,8,-0.010009266278730706,975,1.0009266278730706,1.0009266278730742,33.176767181843516,0.03155944682621163,0.0010000040000000762,0.4197711099302566,2.6585503628916247,1,5.185871442260671,partial_highwin_SOLUSDT_1h_20260608_232410#r9,1.9662468279238465,168.53605549594985,2022-01-01,2021-10-01,1479.71275664628,3,0.05190676815285231,5.190676815285231,1479.7209067566725,22,0.2391304347826087,1.673913043478261,2021-10-01,2020-10-01,0.007282016789118736,0.0,0.8636363636363636,4,19,-0.0068750770464565125,-1060.5199225469175,-1.0009266278730744
0.0,-0.0025761562116826636,0.6388217263570727,8,-351.97295204205494,-0.3529682212745671,396.0483952584331,0.3936983230680062,0.008706144154512666,770.0590689086772,0.7670315952392928,0.04123760419041811,2061.0856095646636,2.0305591989086103,0.0,0.15273600330634696,15.273600330634697,14.464748159407518,-4.9159919397572006e-06,396.04839525843306,0.3936983230680062,0.033317908375751965,False,1055.9188561261649,4620.354413452063,3,3,6,-0.01055918856126169,1072,1.055918856126169,1.0589046638237014,80.02145397216793,0.0808754329183262,0.002239739266390557,2.1878359244396366,4.375671848879273,1,3.375671848879242,partial_highwin_SOLUSDT_1h_20260608_232410#r2,2.0612180322477083,0.46557302874769946,2022-04-01,2022-01-01,657.1913740188688,3,0.0356443555732588,3.5644355573258797,657.1962528420208,9,0.1,0.7000000000000001,2022-01-01,2021-01-01,0.0038683122650591986,0.0,0.6666666666666666,5,6,-0.005371731288468129,-518.7457272793525,-0.5215473394410454
0.0,0.0,0.0,13,0.0,0.0,66.61020272422923,0.0664876038055037,0.0024023041479582026,66.61020272422923,0.0664876038055037,0.0017217658464354635,119.80304059617616,0.11977844850502296,0.0,0.018846809778790163,1.8846809778790163,0.0,0.0,66.61020272422923,0.0664876038055037,0.042105263157894736,False,0.0,466.2714190696046,0,0,7,0.0,0,0.0,0.0,36.224286017917514,0.036131296685857996,0.000993004000000034,0.0,inf,1,0.0,partial_highwin_SOLUSDT_1h_20260608_232410#r16,3.6488868644468577,0.0,2022-07-01,2022-04-01,391.6045155316823,3,0.004662714190695988,0.4662714190695988,391.6057650133573,7,0.07692307692307693,0.5384615384615385,2022-04-01,2021-04-01,0.0,0.0,1.0,6,7,0.0,20.531315491326186,0.020531315491326186
0.0,-0.023558844058599822,3.1088663479486742,13,-981.3908784124982,-0.9990750995823113,-250.57605725630944,-0.25310970372612035,-0.008090419437180352,187.91283543740383,0.19446953378759432,0.0,1486.4398894381695,1.5426952427515537,0.0,-0.14994050857756824,-14.994050857756825,-3.611650461432458,-2.727229571198309e-05,-250.5760572563094,-0.25310970372612035,0.09506564056133997,False,5888.345270474989,1879.128354374038,6,3,7,-0.04151578625305247,1726,4.1515786253052465,4.198246414527151,28.208550241001213,0.029301790437282357,0.0009930039999999606,0.19147603627758633,0.31912672712931056,0,0.9657090176887044,partial_highwin_SOLUSDT_1h_20260608_232410#r16,-2.3140181258375185,-6102.246051385616,2022-10-01,2022-07-01,1157.875827199827,3,-0.040092169161009515,-4.009216916100952,1157.8741337328056,16,0.17391304347826086,1.2173913043478262,2022-07-01,2021-07-01,0.02764473560489146,0.0,0.625,7,10,-0.018775920284141434,-1000.220425768803,-0.9991174921733325
0.0,-0.010232795685507882,1.6674543747699646,6,-769.8640647681772,-0.7960345440283879,-160.21651897099008,-0.16936169036001406,-0.003571953819501097,652.6468754252593,0.6662021145311511,0.0,1667.1722926688233,1.6799649531463208,0.0,-0.08612793314366185,-8.612793314366185,-2.760105370472528,-0.00011304271808491054,-160.21651897099014,-0.16936169036001406,0.1518987341772152,False,6158.912518145417,3915.8812525515555,8,3,2,-0.031204581558752886,423,3.120458155875289,3.2969728567291248,-384.36433197328984,-0.3869278975462753,-0.004857405061046533,0.8477430046326236,0.6358072534744676,0,0.7188147232067932,partial_highwin_BTCUSDT_4h_20260608_232410#r5,-2.264882056721642,-1.116271697729283,2023-01-01,2022-10-01,2071.2247930333187,3,-0.02243031265593876,-2.243031265593876,2071.22669245346,14,0.15217391304347827,1.065217391304348,2022-10-01,2021-10-01,0.012873799549949596,0.0,0.42857142857142855,8,6,-0.01741064473720677,-1006.6842769508262,-1.000910016103834
0.0,-0.007987000126257467,1.838627857675526,8,-799.209598935035,-0.8980961240034608,256.66165377388086,0.2514139877503864,0.0024717369855554294,640.614836577123,0.6694176647517854,0.042348395436552666,2231.891400140628,2.4460683240731136,0.0,0.16568651702066672,16.568651702066674,5.317016972803668,-1.5044687829821713e-05,256.6616537738808,0.2514139877503864,0.05555555555555555,False,3196.83839574014,7046.763202348353,4,3,9,-0.03116155503511588,1350,3.116155503511588,3.513103120751801,100.39867114823889,0.11224148372070068,0.0010070040000001535,0.8015604885511346,2.20429134351562,2,1.2354726207564808,partial_highwin_ETHUSDT_1h_20260608_232410#r2,1.8313003245239832,1.0454581402885603,2023-04-01,2023-01-01,2726.6699388434567,3,0.038499248066081924,3.8499248066081924,2726.6792421173013,15,0.16666666666666666,1.1666666666666665,2023-01-01,2022-01-01,0.0120408227913777,0.0,0.7333333333333333,9,11,0.0,-906.5660752040072,-0.9254349987734976
0.0,-0.005983854940899686,1.0583065549589914,8,-722.3931138727863,-0.7164922805051828,310.3106578849374,0.359720188477668,0.0030990387640137734,667.7850404164572,0.7322552738948086,0.07798377128210587,2010.2880127644858,2.3673447351813546,0.0,0.5126145157213904,51.26145157213904,27.91339690747446,-2.7698472360603524e-05,310.3106578849374,0.359720188477668,0.12814645308924486,True,6501.538024855077,17362.411050827886,9,3,11,-0.01836446196142204,637,1.836446196142204,2.0520055890410696,112.54040070934118,0.12779040048876586,0.0010070040000001556,0.9244067081930328,2.670508268113206,2,5.914070909775691,partial_highwin_ETHUSDT_1h_20260608_232410#r2,3.4936587133647086,1.3799924033337423,2023-07-01,2023-04-01,7277.398225175348,3,0.10860873025972832,10.860873025972833,7277.423640869871,35,0.38461538461538464,2.6923076923076925,2023-04-01,2022-04-01,0.008151710627975336,0.0,0.7428571428571429,10,26,0.0,-1009.8287743057482,-0.9083390320857946
