alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gate_pass,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,trades_per_week,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2021-04-01,2021-01-01,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2021-01-01,2020-01-01,0.0,0.0,0.0,1,0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2021-07-01,2021-04-01,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2021-04-01,2020-04-01,0.0,0.0,0.0,2,0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2021-10-01,2021-07-01,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2021-07-01,2020-07-01,0.0,0.0,0.0,3,0,0.0,0.0,0.0
0.0,-0.009529976976641773,1.0590537698028357,12,-458.2827508310309,-0.4617545305395998,-224.17838548099624,-0.22560845795729087,-0.014879374066006526,244.03034521907307,0.246683687207327,0.0,444.9163987878361,0.45039628929600256,0.0,-0.21976129040055692,-21.976129040055692,-10.89218351859688,-3.7643032380945546e-05,-224.1783854809963,-0.22560845795729087,0.1472972972972973,False,2749.6965049861856,732.0910356572192,6,3,2,-0.02017605469328948,688,2.017605469328948,2.0304761216156177,-387.6701665886098,-0.3876701665886098,-0.024826304558775835,0.5324886105282352,0.2662443052641176,0,1.0,-4.672878839630413,-3.3608146125978156,2022-01-01,2021-10-01,301.6335393422712,1,-0.02017605469328948,-2.017605469328948,1508.162501475627,9,0.2922868741542625,2.0460081190798376,2021-10-01,2020-10-01,0.011165649109162219,0.0,0.3333333333333333,4,3,0.0,-515.1424287736191,-0.5186411592796557
0.0,-0.003044457953787174,1.2252692164043635,12,-433.9576100977247,-0.4280730836075273,51.2981913464753,0.052860189598199,0.0011369961997061207,342.4516722129953,0.3414201535216348,0.0008963812167546159,2028.8159578924028,2.0333394739578563,0.0,0.03373005269558904,3.373005269558904,1.7867842556720905,-1.1979657190509216e-05,51.29819134647528,0.052860189598199,0.08909512761020881,False,2603.745660586348,3424.516722129952,6,4,7,-0.01887751841808212,692,1.887751841808212,1.9011519864733106,85.85076653733586,0.08475695924959188,0.0050670600000001075,0.7891362295406622,1.315227049234437,2,0.4347875834979482,0.5923636298359737,0.305579492799491,2022-04-01,2022-01-01,603.4201869410365,3,0.008207710615435935,0.8207710615435935,3017.2119697856097,16,0.17777777777777778,1.2444444444444445,2022-01-01,2021-01-01,0.00586686410686063,0.0,0.625,5,10,-0.01609950226735546,-530.5888859850226,-0.522165835996949
0.0,-0.0008834583124600568,0.36467728230554075,12,-524.3898454774694,-0.5118659954582085,176.66523777449862,0.17559046961807157,0.012476134317694818,304.12979836576557,0.30058255417739527,0.015476978572582789,1056.320760994146,1.0556205323487486,0.0,0.09542102743232173,9.542102743232173,18.535075869034173,-4.711145839468113e-06,176.66523777449862,0.17559046961807157,0.07139588100686499,False,1048.7796909549388,3345.427782023421,2,1,6,-0.005148132551846626,280,0.5148132551846626,0.5148132551846611,188.92403749828986,0.1854717061504831,0.012767198059261861,0.5799688933504198,3.189828913427309,2,4.461128512016796,2.4480300904633725,19.501326002084003,2022-07-01,2022-04-01,342.9948977161683,3,0.022966480910684768,2.296648091068477,1715.083356739463,13,0.14285714285714285,1.0,2022-04-01,2021-04-01,0.0020074070042831412,0.0,0.8461538461538461,6,11,0.0,-527.1095105204133,-0.514813255184661
0.0,-0.0125000089950345,1.4953029961720292,12,-473.59663737367197,-0.4765431365466841,-57.38749162002044,-0.056541492834894375,-0.005326970797710038,312.57619349433645,0.3167933015755853,0.004778484573809694,1182.0962765019926,1.2072653717821547,0.0,-0.0381743175669208,-3.81743175669208,-1.4966691928798603,-1.7336721656996176e-05,-57.387491620020455,-0.056541492834894375,0.09234947940244455,False,3788.773098989376,2813.185741449028,8,3,3,-0.025506182494119865,1806,2.5506182494119867,2.5739033767779014,66.04429783215784,0.06669303870672431,0.004933059999999924,0.6600050946892831,0.7425057315254433,1,0.3824905423480162,-0.8114939805471946,-0.802916899775333,2022-10-01,2022-07-01,588.5220727248937,3,-0.009755873575403385,-0.9755873575403384,2942.674253848659,17,0.18478260869565216,1.2934782608695652,2022-07-01,2021-07-01,0.014305859736245468,0.0,0.5294117647058824,7,9,-0.0007354531127985453,-517.6571334767577,-0.5200958398156418
0.0,-0.0036637093746932233,0.5615906663035602,12,-401.8261020812009,-0.40133473718913815,96.54507311716229,0.09685147389064865,0.003396487079770973,345.73066071634395,0.345944579430542,0.014469751918797069,899.3794443119375,0.909429279364289,0.0,0.05874244677832552,5.874244677832552,5.3157191897600455,-9.12954361212781e-06,96.54507311716233,0.09685147389064865,0.08148483476686283,False,2009.1305104060043,3457.3066071634394,5,3,5,-0.011050705404356995,1059,1.1050705404356995,1.1084660153581831,117.20965077977503,0.11594679640265305,0.0050670600000001995,0.8603987120938172,1.7207974241876345,1,1.310482945447501,1.387305230479435,0.25921731859710023,2023-01-01,2022-10-01,636.4508999514982,3,0.014481760967574373,1.4481760967574373,3182.386175086755,15,0.16304347826086957,1.141304347826087,2022-10-01,2021-10-01,0.005071224695908458,0.0,0.6666666666666666,8,10,-0.00440161488796742,-521.6932857387192,-0.522445598234538
0.0,-0.002109524774822337,0.5414429539429049,12,-398.8011287168277,-0.39941262901032937,-22.61616347929965,-0.022044184246620666,-0.0018600103233519939,228.17381334571903,0.22953477892918517,0.0015954991822473286,535.1334231086076,0.5395417088041731,0.0,-0.00914669979063687,-0.914669979063687,-1.002935017410732,-7.4205783373957484e-06,-22.616163479299672,-0.022044184246620666,0.05555555555555555,False,1595.2045148673108,1369.042880074314,4,2,2,-0.009119932629584335,1098,0.9119932629584335,0.9117132716443759,73.43372781726535,0.07379756752027863,0.004933059999999996,0.5721493669786875,0.8582240504680312,1,0.2479860805762374,-0.3374479614069324,-0.08523299243483042,2023-04-01,2023-01-01,374.31928766895896,3,-0.0022616163479299576,-0.22616163479299575,1871.646933459428,10,0.1111111111111111,0.7777777777777777,2023-01-01,2022-01-01,0.00345033046220422,0.0,0.6,9,6,-0.0048046129077542465,-515.8968499156924,-0.5154029672909242
0.0,-0.008602098885845502,1.0442994221418382,12,-392.59188350580604,-0.39297547225861285,245.7575172552929,0.25159590764609524,0.013851502750337754,884.1069180163919,0.8961672875508031,0.05357609579008016,5161.581977358958,5.240577842481443,0.0,0.1454232970828857,14.54232970828857,6.9980271610175775,-1.2635867275196622e-05,245.75751725529292,0.25159590764609524,0.07688787185354691,False,2748.1431845406423,6188.748426114743,7,5,4,-0.02078061341244349,1522,2.0780613412443487,2.094830184662378,-67.994897934286,-0.06855719668275503,-0.0032900916843243877,2.2519745189875198,2.2519745189875193,1,1.655680308028752,1.0913183753967024,1.070025740526547,2023-07-01,2023-04-01,635.5488403617499,3,0.03440605241574085,3.440605241574085,3177.925553799616,14,0.15384615384615385,1.076923076923077,2023-04-01,2022-04-01,0.0112938263616822,0.0,0.5,10,7,-0.00544957618402242,-528.4980235597407,-0.5284980235597406
