entry_time,exit_time,side,entry_price,exit_price,quantity,notional,stop_loss,take_profit,exit_reason,pnl,pnl_pct,risk_amount,r_multiple,fees,slippage,holding_bars,metadata
2020-09-27 23:00:00+00:00,2020-09-28 02:00:00+00:00,LONG,3.1693661999999994,3.1483485,315.52049744204385,1000.0,3.1015642857142858,3.275071428571429,signal_reversal,-8.631515159087444,-0.008631515159087444,24.371500829228182,-0.3541642847344003,2.0,1.9933638466894195,3,{}
2020-10-04 17:00:00+00:00,2020-10-04 19:00:00+00:00,SHORT,2.4298677,2.4954179249999995,411.50951751340585,999.9136848484092,2.4929249999999996,2.31945,stop_loss,-28.974368832341813,-0.028976869975266356,28.974368832341813,-1.0,1.9998273696968183,2.026776963394978,2,{}
2020-10-12 06:00:00+00:00,2020-10-12 09:00:00+00:00,LONG,2.5542516999999996,2.5521453,391.3568663417493,999.6239411600858,2.4977214285714284,2.6524571428571435,signal_reversal,-2.823601985582327,-0.0028246642255341284,25.10025819333469,-0.11249294584276935,1.9992478823201716,1.9984247022874477,3,{}
2020-10-18 22:00:00+00:00,2020-10-19 01:00:00+00:00,SHORT,2.1812166,2.219406475,458.2743892285755,999.59570514023,2.217189285714286,2.1155214285714288,stop_loss,-19.500633050621122,-0.019508520245077925,19.500633050621122,-1.0,1.9991914102804602,2.0166773671563796,3,{}
2020-10-19 04:00:00+00:00,2020-10-19 07:00:00+00:00,SHORT,2.1083895,2.1105083999999996,474.0114190521836,999.4006988097238,2.1584785714285712,2.022642857142857,signal_reversal,-3.0031841934489782,-0.0030049850845869333,26.76473671511922,-0.11220675269159287,1.9988013976194476,1.9998067758391116,3,{}
2020-10-20 02:00:00+00:00,2020-10-20 05:00:00+00:00,SHORT,2.0420559,2.0474453999999995,489.3943730765595,999.3706669677894,2.081157142857143,1.9741857142857142,signal_reversal,-4.636332307631556,-0.004639251942123482,22.153176163723824,-0.20928521821731474,1.9987413339355788,2.0013782886964115,3,{}
2020-10-25 22:00:00+00:00,2020-10-26 00:00:00+00:00,SHORT,1.7799183,1.8232714499999998,561.4439177599966,999.3243036447129,1.82145,1.7022000000000002,stop_loss,-26.33901099052607,-0.02635682019787073,26.33901099052607,-1.0,1.9986486072894258,2.0229666522768066,2,{}
2020-12-01 06:00:00+00:00,2020-12-01 09:00:00+00:00,LONG,2.0527507,2.0896083,486.6937390569677,999.0609135348077,2.004682142857143,2.1409357142857144,signal_reversal,15.940241329596608,0.015955224665128734,26.368453881728087,0.6045193776280654,1.9981218270696155,2.016080144669416,3,{}
2020-12-07 19:00:00+00:00,2020-12-07 22:00:00+00:00,SHORT,1.8180801,1.8282264,549.6019212509414,999.2203159481036,1.846682142857143,1.7543357142857143,signal_reversal,-7.574866605484601,-0.0075807772165813496,18.73311839153769,-0.40435694939644407,1.9984406318962071,2.0040134854573024,3,{}
2020-12-08 04:00:00+00:00,2020-12-08 07:00:00+00:00,SHORT,1.7893089,1.7959941999999998,558.3969136251704,999.1445672820487,1.8246964285714287,1.725407142857143,signal_reversal,-5.731340021222328,-0.005736246994579742,22.777480723689497,-0.25162308732683963,1.9982891345640974,2.002020454420145,3,{}
2020-12-20 20:00:00+00:00,2020-12-20 23:00:00+00:00,SHORT,1.5609375,1.5987113999999996,640.0558983827581,999.0872538818365,1.5971142857142855,1.4956714285714285,stop_loss,-26.175582007683797,-0.02619949549549515,26.175582007683797,-1.0,1.9981745077636732,2.022329760185661,3,{}
2020-12-27 09:00:00+00:00,2020-12-27 12:00:00+00:00,SHORT,1.2929058,1.3190033999999997,772.5431335072979,998.8254980617597,1.3176857142857141,1.2310285714285714,stop_loss,-22.15917267714336,-0.02218522927192354,22.15917267714336,-1.0,1.9976509961235196,2.0177943740771527,3,{}
2021-01-30 15:00:00+00:00,2021-01-30 17:00:00+00:00,LONG,3.9775735999999995,4.160777914285714,251.05856151473563,998.6039063349883,3.8786785714285714,4.164942857142857,take_profit,43.9978037951951,0.04405931472536794,27.799426889492295,1.582687440647401,1.9972078126699766,2.0432508625402352,2,{}
2021-03-06 13:00:00+00:00,2021-03-06 15:00:00+00:00,SHORT,11.969518500000001,12.243502699999999,83.46567026676472,999.0438843729403,12.231271428571429,11.481957142857144,stop_loss,-24.86636266424899,-0.024890160535697193,24.866362664248985,-1.0000000000000002,1.9980877687458807,2.0209351963015125,2,{}
2021-03-08 13:00:00+00:00,2021-03-08 15:00:00+00:00,SHORT,13.0594275,13.381443074999998,76.4807814696546,998.7952207462978,13.368075,12.48135,stop_loss,-26.625593262892632,-0.02665770991875396,26.62559326289263,-1.0000000000000002,1.9975904414925956,2.0221958385069168,2,{}
2021-03-16 06:00:00+00:00,2021-03-16 08:00:00+00:00,SHORT,13.340446199999999,13.685457499999997,74.84974264306608,998.5289648136687,13.671785714285713,12.724728571428571,stop_loss,-27.82106494357683,-0.0278620510009626,27.82106494357683,-1.0,1.9970579296273374,2.0228581354923003,2,{}
2021-03-17 10:00:00+00:00,2021-03-17 12:00:00+00:00,SHORT,13.1487381,13.43755985,75.91989030219052,998.250754164233,13.424135714285715,12.637728571428573,stop_loss,-23.923817085215184,-0.023965739054457272,23.923817085215184,-1.0,1.9965015083284658,2.018408914998626,2,{}
2021-03-18 18:00:00+00:00,2021-03-18 20:00:00+00:00,LONG,14.67466,14.37585975,68.00917472659542,998.0115159933807,14.39025,15.1908,stop_loss,-22.317181442587106,-0.022361647220446628,22.31718144258711,-0.9999999999999999,1.9960230319867616,1.975683528101222,2,{}
2021-03-20 12:00:00+00:00,2021-03-20 15:00:00+00:00,LONG,14.822607799999998,14.6734119,67.31530359853109,997.7883441789548,14.607942857142858,15.186514285714287,signal_reversal,-12.03874399251391,-0.012065428567839376,17.429150597126263,-0.6907246526688955,1.9955766883579098,1.9855254634118322,3,{}
2021-03-21 10:00:00+00:00,2021-03-21 13:00:00+00:00,SHORT,13.766219999999999,13.909595699999999,72.47217876359886,997.6679567390298,14.058867857142857,13.222864285714287,signal_reversal,-12.38608527423418,-0.012415037679188622,24.223040515675997,-0.5113348700473211,1.9953359134780597,2.0057182778077065,3,{}
2021-03-22 03:00:00+00:00,2021-03-22 05:00:00+00:00,LONG,14.798683899999997,15.377314435714286,67.40762236878967,997.5440958862874,14.479496428571428,15.392707142857143,take_profit,37.0090204507067,0.037100134824441335,24.486785158025704,1.5113874774442064,1.995088191772575,2.0341333386568365,2,{}
