allow_long,allow_short,atr_stop_mult,atr_tp_mult,deploy_score,ema_fast,ema_slow,family,max_holding_bars,min_holding_bars,slope_bars,slope_min,sma_period,trial,use_take_profit,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_win_rate,volatility_max,volatility_min,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_return_pct,wf_min_exp_r,wf_min_pf,wf_min_return_pct,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,2.0,24.0,307.10927898599914,20,300,sma_state,360,3,18,0.0025,200,351,False,2.2482969735316733,46,-674.1676177176269,-0.6279018625411553,0.6073467995657525,4464.263410565062,4.313092785886477,3.111745996041882,610.4401393530454,0.6073467995657525,0.5407669996777312,8,4.8419695558496745,4.943956451002612,6.6218894133163575,2.2072964711054524,1.467055938050833,1.7027793849387256,1399.8898829720106,21.975845016709584,2846.6361252274787,36,0.06963249516441006,0.25,1.0,0.001,8.325788315743878,4.228473264122028,2.6486509652723624,9.98347162719627,-0.6102788617790265,0.0,-7.935729172657273,6,6,1,429.85944609097487,89,11
True,True,2.0,8.0,171.28429354544335,50,100,sma_slope_state,360,6,24,0.0,400,235,False,3.505795870692521,63,-721.3659181116406,-0.6762486467729812,0.578496264615669,3955.9287721313212,3.785066593719997,1.5490965949651154,594.1232135191925,0.578496264615669,0.6538833387044796,11,8.446553156099897,8.786688792290025,5.483941884150799,2.1458903024937905,1.6972108163800543,1.3176820137848055,1278.1643369105934,19.011942832614135,2592.7229631621676,32,0.061895551257253385,0.28125,1.0,0.003,6.410406913530541,2.1447213709372086,3.463821571514716,5.0350435629793955,-0.7077597874595601,0.0,-6.19711567272208,6,6,2,163.27315801990017,63,11
True,True,2.5,24.0,70.28226908434091,100,150,ema_state,120,1,18,0.0,200,81,False,3.819242346199566,73,-897.0693165917995,-0.9250987431848733,0.025299831100576115,2052.001518486305,2.163696623242837,0.013356060229958092,10.337094201463401,0.025299831100576115,0.308411214953271,5,7.1068562116754626,7.327735779323333,2.287450345846622,1.0166445981540546,0.07286318350552241,0.036695660755408845,299.19990839785737,0.13438222461902477,597.6399727239348,13,0.025145067698259187,0.3076923076923077,1.0,0.0,2.019347722981153,0.9338528853227988,3.767988552087493,2.320467286031209,-1.0,0.0,-1.9900000000000002,8,8,3,144.7661556977381,33,11
True,True,4.0,12.0,45.79933022284525,100,150,sma_slope_state,240,1,6,0.0025,200,129,True,4.734712056967263,29,-398.5140668652098,-0.4169589720183316,-0.060226126788476525,1071.9040688254645,1.1471773493741102,-0.2816030355092236,-63.155544690143756,-0.060226126788476525,0.543989687399291,10,9.079737140806115,9.412836450086427,2.6897521516800476,0.7946994993600143,-0.697873591876753,-0.24588004951209247,1023.464633847438,-3.5998660473382045,2068.5631401932806,57,0.1102514506769826,0.22807017543859648,1.0,0.003,3.476142460858986,0.27124781408345755,2.558936026860255,1.7895106893606758,-0.26739557391222973,0.05056953690820421,-3.4257334558096915,9,9,4,138.8917328437086,111,11
True,True,6.0,12.0,93.6854151596758,80,200,sma_state,360,4,12,0.0025,300,361,False,1.077507023317494,65,-215.5633530605167,-0.21504955160389622,0.06310949223309739,1131.9446448223707,1.1409757871014476,0.8440533827452172,60.84854394110121,0.06310949223309739,0.8256525942636158,7,1.9794507696128858,1.9949367379405538,5.251099636145442,1.355122486747211,0.7073261755984935,0.3888685620601309,464.7269971890509,2.373093213702945,940.6768787077833,39,0.07543520309477757,0.20512820512820512,0.2,0.0005,3.231139338943843,0.3141075361542656,3.359107008064221,1.4699333114532451,-0.194675387136777,0.08760350548089553,-3.074139118767125,8,8,5,136.12068739370676,95,11
True,True,5.0,6.0,83.74206045589926,10,200,ema_state,72,3,18,0.02,150,132,True,1.217939642977122,26,-468.7632515452044,-0.4582503908019336,0.06252949890266557,752.241186667777,0.7418076159086644,0.8217813791619869,61.10659900005169,0.06252949890266557,0.44892039961327745,5,2.771192273975701,2.7896435373587023,1.6047358324018193,1.2302974715080617,0.9177133722026218,0.2874736052515235,767.2162593312161,3.2386497470027393,1535.9501758674585,53,0.10251450676982592,0.4339622641509434,0.12,0.0005,2.857175827181942,0.10139739863079952,2.0222510888760175,0.8496896029577964,-0.1781165272716948,0.5285567082899107,-2.317125449670755,9,8,6,125.23929584439942,124,11
True,False,6.0,12.0,139.86609203125968,30,150,sma_state,168,4,24,0.005,200,218,False,0.9557696095098451,43,-287.7212263020951,-0.27728544758446394,0.28620612638144194,1756.9290719289465,1.7262401487387566,3.705585646188536,287.3366700753853,0.28620612638144194,0.4440863680309378,5,1.7302434926378147,1.7373297472293612,6.106358903406888,2.389444788289652,1.4740726421637105,1.133471974979069,436.56836658102605,9.19477344241232,892.4415119133217,32,0.061895551257253385,0.28125,1.0,0.002,3.161113939665144,0.42286446652808823,3.014599173047162,1.1076064373555523,-0.3074036667973699,0.0,-3.0821907356380542,7,7,7,122.12451900342688,84,11
True,True,1.5,4.0,43.347947652570625,10,200,sma_slope_state,72,1,36,0.0,100,233,False,4.486434434606328,15,-735.9204371134731,-0.7281767458487883,0.01720364431692939,1903.0007260992745,1.925377443141167,0.028366961536772213,5.349552553029071,0.01720364431692939,0.456332581372865,9,11.849264211005995,12.55105066334987,2.5858783506046956,1.0101087307049592,0.1453566890736969,0.11944156055632063,4152.893305124488,0.47611017721959803,8323.010410541847,89,0.172147001934236,0.2808988764044944,0.12,0.002,9.39758560773658,0.2622266603767247,1.7348617972631457,2.8083877525060537,-0.4475040765588848,0.29944100964656534,-9.054527993868208,10,10,8,120.07116371831187,147,11
True,True,2.0,16.0,56.626269156510475,100,150,sma_slope_state,168,2,36,0.0,300,68,True,4.837808306808678,28,-705.9223655870602,-0.6918061950814229,0.06881315037442311,1828.6134281148534,1.8435916231047307,0.15335521420287196,54.43837252351386,0.06881315037442311,0.37028681920721884,12,9.99974787169051,10.485998629087272,2.590388854720787,1.1101666520231948,0.345523322333763,0.21847149013049882,1393.8033994005061,2.177534900940562,2801.705103904042,40,0.07736943907156674,0.3,0.2,0.0,6.84059409020845,0.49183926806118133,2.3494373205395904,1.9729544031945248,-0.6376133881483107,0.0614801479572545,-6.209841989604145,9,8,9,116.9281987217101,89,11
True,True,3.0,6.0,90.736317832762,100,150,sma_state,168,4,36,0.01,300,193,False,2.143849694590691,38,-503.3979573565413,-0.5020940359659596,0.14645286671522564,1781.583607918715,1.7894383535075622,1.3069558647411856,143.2949384760783,0.14645286671522564,0.661617789236223,8,4.0609844067643275,4.132893400314999,3.53911568746568,1.3970193503154005,1.1425653428013052,0.5904330092812131,1194.9484587129255,7.594631739232121,2409.6952757428517,53,0.10251450676982592,0.2830188679245283,0.12,0.001,5.425315413491906,0.2786524222031566,2.6993754499834512,1.8866678873684513,-0.32244773181448705,0.3773693668589595,-3.5299191404748997,8,8,10,116.74471327494633,124,11
True,False,5.0,8.0,102.00859633021241,20,80,sma_state,168,1,6,0.0025,300,107,False,0.9764111933081951,36,-201.77322838812975,-0.20030096250057391,0.12802021215429202,1490.3410242489274,1.4960251065495667,1.3323630828580026,125.73275599323617,0.12802021215429202,0.3664195939413471,12,2.0551185029761223,2.074149977016634,7.386217865246803,1.7726922876592328,1.0187663912948643,0.5275641805994706,444.67847075852706,3.897715435790349,898.0626911565442,31,0.059961315280464215,0.1935483870967742,1.0,0.002,2.899695518164846,0.5841484081461593,4.340658048112811,1.4205011132721965,-0.37837392651997015,0.0,-2.8650612199802272,7,7,11,115.94301857177312,57,11
