allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,pullback_depth,rsi_high,rsi_low,slope_bars,slope_min,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_r_multiple,stress_avg_win,stress_avg_win_r,stress_calmar_ratio,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_max_consecutive_losses,stress_max_drawdown_pct,stress_max_drawdown_r,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_win_rate,trend_strength_max,trial,use_mid_target,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_win_rate,volatility_max,volatility_min,volume_lookback,volume_min,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_min_exp_r,wf_min_pf,wf_min_win_rate,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,4.0,8.0,30,1.5,45.07393392955723,16,30,150,False,trend_bb_reversion,72,8,0.0,76.83508553106768,34.72062597837258,36,0.001,5.826754194680866,48,-732.4824296526991,-0.7694429964019184,-0.19547592500745437,695.9058507239055,0.7409966651624607,-0.7167392735513958,-189.6948831095894,-0.19547592500745437,0.19429446369570472,5,9.484744155479435,9.809127666238478,False,0.9500649060672538,0.5822978456541236,-1.1031481650129145,-0.1672471449728827,1493.2956714457405,-9.484744155479435,7426.5069912711615,50,0.09671179883945841,0.6769825918762089,0.38,0.025,931,False,4.010078539844872,48,-809.0857358954274,-0.8365569654538587,-0.11548415885755946,765.0509864522709,0.8022448677195485,-0.5656129241766081,-116.46557806244022,-0.11548415885755946,0.19429446369570472,5,7.337352248806026,7.464363924590808,False,0.9455746807914953,0.7429515349076035,-0.5997092115349749,-0.1166876731388093,1688.696980149918,-5.823278903122002,3369.12173461314,50,0.09671179883945841,0.6769825918762089,0.44,1.0,0.003,50,1.0,0,4.0,0.12057054537747933,1.834751977573366,0.48676933583350696,-0.6650941671546794,0.07766082705146138,0.16666666666666666,6,6,1,147.16288735962831,106,11
False,True,4.0,6.0,55,2.2,39.3163061655221,30,8,80,False,trend_reclaim,72,1,0.0025,60.610607177943685,34.73941786976635,3,0.0,5.77238081970006,39,-787.5785224981463,-0.8224739535774778,-0.14084177572412265,762.3763590549313,0.7987052802359074,-0.622335452602667,-135.89294729969328,-0.14084177572412265,0.28060278829881535,6,13.826920645038038,14.550707563582305,False,0.9680004434817808,0.7022748315456054,-1.046557432549114,-0.23438233153408145,2460.227643452913,-11.958579362373072,12348.70123459692,88,0.1702127659574468,1.1914893617021276,0.42045454545454547,0.08,861,True,3.1295070307367543,39,-855.161453445592,-0.8591684658453761,-0.05596523355462275,896.4614898424206,0.9078786451942813,-0.4251664631175307,-58.9692064964953,-0.05596523355462275,0.28060278829881535,6,8.689990713748251,8.948884131337653,False,1.0482950163743041,0.8735791803119202,-0.3824311416370226,-0.10243520660617818,2842.159970019593,-5.189290171691581,5689.0275680319955,88,0.1702127659574468,1.1914893617021276,0.45454545454545453,0.08,0.002,100,0.5,0,4.934542188891546,0.07878127851758075,1.4198172552021646,0.49587358571315787,-0.13481695689866452,0.7011162336487434,0.3333333333333333,7,6,2,133.56130870203012,134,11
True,False,4.0,8.0,14,1.8,24.791847119384148,30,14,150,False,channel_reclaim,36,6,0.0025,74.76394249140212,37.5268696933903,48,0.01,8.629127873679387,28,-631.0340826273228,-0.6772439459895114,-0.18282550186289104,509.428602521556,0.5588021643270394,-0.66959678512518,-174.84900856777128,-0.18282550186289104,0.14924651462648078,7,12.201705660631356,12.876159652336334,False,0.8072917399335072,0.5381944932890047,-1.3804525137695491,-0.2020012668344636,1954.463628695624,-11.36518555690514,9725.27239759871,65,0.12572533849129594,0.8800773694390716,0.4,0.08,250,False,6.12142674600619,28,-666.3241433294904,-0.7014377326778762,-0.09695109810491602,609.7029288504948,0.6534461034339312,-0.4837977648318174,-97.01975727995853,-0.09695109810491602,0.14924651462648078,7,9.296568731843378,9.601591255819642,False,0.9150245191535901,0.737103084873725,-0.6752806050497202,-0.10731118632935711,2229.9724690389585,-6.306284223197305,4451.793816497843,65,0.12572533849129594,0.8800773694390716,0.4461538461538462,0.12,0.002,75,0.0,0,3.1533549698598,0.04972146893295166,1.3770063100779881,0.49740537240537236,-0.31543109904365796,0.3892768030821159,0.2857142857142857,7,7,3,130.16771935827316,124,11
True,True,2.5,8.0,14,1.5,-67.78568203907535,40,30,50,False,channel_reclaim,120,1,0.018,71.93033741616196,28.37670283223346,48,0.005,16.185425478647197,39,-827.8921560839577,-0.961478132805854,-0.2734307902602184,1204.4735027992765,1.4348246808875662,-0.6950112940702158,-244.34162036500925,-0.2734307902602184,0.3241195906197115,13,26.107349100665772,29.54661376670366,False,1.454867634568009,0.5859883528121148,-1.5996575995104119,-1.005927766607242,3946.9019388678503,-24.678503656865928,19679.454578683755,101,0.195357833655706,1.367504835589942,0.2871287128712871,0.015,59,False,12.297258219682856,39,-878.6857267633823,-0.9706916394598629,-0.1615337919460928,1551.5218171763192,1.7534731138364963,-0.5875639894352138,-156.84190183079767,-0.1615337919460928,0.3241195906197115,13,19.523189588882516,21.146623230397378,False,1.7657300783652337,0.7460831317036196,-0.8314070074996343,-0.6626162371232059,4876.249964869255,-15.84103208491049,9725.85713352809,101,0.195357833655706,1.367504835589942,0.297029702970297,1.0,0.002,100,0.25,0,16.142423186605942,0.16073145935029542,1.3877276572675106,0.38099600460113314,-0.5737159251609034,0.2884527519465213,0.15,7,7,4,121.37914530209562,201,11
True,True,1.0,12.0,14,1.5,-120.92786414288847,30,30,400,False,channel_reclaim,72,6,0.012,72.50267850324751,38.66591337547725,24,0.005,17.556974467160003,21,-905.2165108810038,-0.9963467553200441,-0.29926882669837573,3277.7454146368273,3.5782271512596546,-0.6057493041176776,-267.8127888973343,-0.29926882669837573,0.18003062293496655,14,34.34670870990446,41.23759446872596,False,3.620951866473088,0.6509576389165104,-1.2167884666497366,-5.714537968921952,8044.1926678486125,-28.12034283422002,40069.56312301597,105,0.20309477756286268,1.4216634429400388,0.1523809523809524,0.04,274,False,13.132967222452935,21,-1046.7592707559797,-0.9952074676482979,-0.05783856909542603,5292.7928972079535,5.156275929104924,-0.22916260812800948,-80.7322737329041,-0.05783856909542603,0.18003062293496655,14,26.470798863985088,29.419477303073187,False,5.056361137728875,0.9090087438613708,-0.17663349082841573,-0.8418813505499424,12479.590352906216,-8.476888741954912,24883.67527598867,105,0.20309477756286268,1.4216634429400388,0.1523809523809524,0.05,0.0005,50,0.5,0,12.0,0.7813704531221558,2.5872663636016964,0.28396358543417366,-0.370356148152124,0.5608745403796577,0.11764705882352941,7,7,5,109.76441574932772,136,11
True,False,5.0,6.0,55,2.0,-49.48025044977297,12,8,100,True,trend_state_tp,48,8,0.005,62.25739167237605,23.828210970884935,48,0.001,12.84748586630359,9,-313.7794153507008,-0.35263017141239883,-0.15830217497305546,295.42036761727667,0.33429669972202425,-0.7138513804389073,-141.44000306370714,-0.15830217497305546,0.11507776613748086,9,22.01937974446401,24.729309578264566,False,0.9414905923229386,0.3714137199072143,-3.1377409227713966,-0.6005384036337802,4364.939786491813,-21.49888046568344,21739.14435915488,152,0.2940038684719536,2.0580270793036752,0.28289473684210525,0.08,620,False,6.307299660724871,9,-325.7705269063901,-0.34227214871735084,-0.06758995083371443,345.61078040012137,0.3653836831184583,-0.6386064491687823,-65.16857209662581,-0.06758995083371443,0.11507776613748086,8,11.12495180352214,11.646949013524935,False,1.0609025429100047,0.6730456992654867,-1.2777510860958863,-0.25008195589499416,5157.705715858565,-9.905622958687134,10305.937829313838,152,0.2940038684719536,2.0580270793036752,0.3881578947368421,0.04,0.0005,75,0.75,0,4.265886861391635,0.025172724025162477,3.224633231965255,0.49801864801864804,-0.7995213988721885,0.0,0.0,6,6,6,90.34760319204753,142,11
True,True,4.0,6.0,30,1.5,60.94042283307291,30,50,300,False,channel_reclaim,48,1,0.0025,61.20663528109917,33.26976967139671,6,0.0025,2.857231979700104,37,-609.596817036575,-0.6242307987849375,-0.07239491743440005,640.3125459637372,0.6633862576996498,-0.39907362102882366,-73.92137575072695,-0.07239491743440005,0.12797163349182045,5,5.521628582293356,5.611490742903871,False,1.0503869575246148,0.7877902181434613,-0.44592646955940446,-0.05528650849040753,1128.2641110023446,-3.104697781530529,5660.34165805896,42,0.08123791102514506,0.5686653771760154,0.42857142857142855,0.04,99,False,1.5690278134533624,37,-588.5348767126744,-0.5948743772196184,0.018250428219579548,819.7286647305772,0.8357501688051767,0.10580229922979109,15.006641048719132,0.018250428219579548,0.12797163349182045,5,4.204714785732227,4.218610456339949,False,1.3928293753961716,1.0446220315471293,0.10168503727626832,0.012927897823840002,1258.5176610635506,0.6302789240461716,2529.047525331743,42,0.08123791102514506,0.5686653771760154,0.42857142857142855,0.12,0.003,75,0.0,0,7.562489389771199,0.006722333020114831,1.1702771615591656,0.5353540398994944,-0.5601741252607342,0.16175090153188418,0.3333333333333333,6,6,7,88.1687727418433,110,11
True,False,5.0,6.0,30,2.5,-12.465882777239187,30,30,80,False,range_bb_reversion,8,1,0.0025,66.20986475320679,38.447178386556374,3,0.005,6.35827963790102,6,-353.2017858732025,-0.37219784411336665,-0.1480591404982152,253.14348888459995,0.2640668629231923,-0.6307159601433885,-139.60288226534027,-0.1480591404982152,0.048835522604561206,8,14.02302629773978,15.041616642733924,False,0.7167106708103597,0.38979001394949386,-2.2984216327773512,-0.3041294793559617,2223.905166611984,-12.285053639349965,11069.245293116624,88,0.1702127659574468,1.1914893617021276,0.3522727272727273,0.04,1066,False,4.281033460590047,6,-353.2907877694371,-0.35994190211228294,-0.07717355724193976,307.4471556540966,0.3125882154171819,-0.4630803657409502,-75.48051610272407,-0.07717355724193976,0.048835522604561206,8,10.235257924055276,10.731602794383656,False,0.8702382465028815,0.6313493160903256,-1.1724453546137212,-0.1550272138094722,2495.247346092837,-6.642285417039733,4982.2039567073325,88,0.1702127659574468,1.1914893617021276,0.42045454545454547,0.12,0.003,100,1.5,0,4.80833860721625,-0.042026153226104916,1.6921835397806495,0.4674728027146069,-0.29427126211321186,0.08341406446266814,0.2727272727272727,4,4,8,81.1192108842112,164,11
True,True,5.0,8.0,40,2.2,-23.745648570031854,16,80,400,False,channel_reclaim,24,8,0.012,74.999936260423,35.455493082062205,36,0.001,9.015656525634023,20,-438.98989474601984,-0.47954829573085606,-0.15477994526534758,415.01428855881,0.4523956664745161,-0.7273919462563537,-141.38237632160943,-0.15477994526534758,0.22169393182367636,8,18.667217281528284,20.44767742521767,False,0.9453846057183592,0.5056708356167969,-2.1276836420833196,-0.36679098116268805,3811.447730612409,-18.662473674452457,19057.280997068556,132,0.2553191489361702,1.7872340425531914,0.3484848484848485,0.015,532,False,4.809874951855257,20,-462.79450327775544,-0.4774753849386463,-0.06774388208491577,505.662866292791,0.5240905109260281,-0.536775549284939,-66.60739754435005,-0.06774388208491577,0.22169393182367636,8,11.72714491781565,12.30434997559339,False,1.0926293694316143,0.7564357172988099,-0.864549387050429,-0.15168463997614898,4474.204524037806,-8.792176475854182,8951.192814039576,132,0.2553191489361702,1.7872340425531914,0.4090909090909091,0.04,0.0005,75,0.75,0,5.372208317219019,0.19287720564259148,2.649110288070049,0.5631745260087506,-0.2194511123327519,0.0,0.0,5,5,9,80.01655707583517,157,11
True,False,5.0,1.3,20,1.5,-4.2976985317546195,30,8,150,False,channel_reclaim,96,3,0.0,65.7423514101458,38.690114183343674,18,0.0,9.462950117792142,21,-615.1265784855274,-0.6692016069272757,-0.2235378806118092,75.957093607425,0.08285593123007405,-0.7251192368135262,-205.59551354155565,-0.2235378806118092,0.13901200741397374,7,16.653236596865987,18.106568329556552,False,0.12348205436746887,0.17961026089813653,-2.7119321381688577,-0.2510196435689564,2020.9910689343983,-16.653236596865987,10031.679102871607,81,0.15667311411992263,1.0967117988394584,0.5925925925925926,0.08,945,False,6.912975788167167,21,-886.6499257869428,-0.9418455974981497,-0.1590914295531715,141.41533700720234,0.15131108532156132,-0.7130112564811517,-150.50442897138214,-0.1590914295531715,0.13901200741397374,3,12.307520138911379,13.019813894150687,False,0.15949399294393407,0.40220224307600777,-1.8900367704133483,-0.40984117587858065,2266.9589592892594,-12.19085874668196,4514.048479598493,81,0.15667311411992263,1.0967117988394584,0.7160493827160493,1.0,0.003,150,0.25,0,3.40920668535217,-0.09995476010194106,0.7742333914894484,0.7513162268509862,-0.3978384704263069,0.2044413108805464,0.5,5,5,10,79.10990279681336,152,11
