entry_time,exit_time,side,entry_price,exit_price,quantity,notional,stop_loss,take_profit,exit_reason,pnl,pnl_pct,fees,slippage,holding_bars,metadata
2022-04-01 15:00:00+00:00,2022-04-01 19:00:00+00:00,LONG,46175.048919999994,45875.49929357143,0.021656717716369667,1000.0,45921.42071428572,47753.15857142856,stop_loss,-8.487261701607336,-0.008487261701607336,2.0,1.9935082445448629,4,{}
2022-04-02 00:00:00+00:00,2022-04-02 04:00:00+00:00,LONG,46329.77348999999,46483.18029,0.021582560242795267,999.915127382984,46170.23892857143,48344.28214285713,signal_reversal,1.3110812478885696,0.0013111925322301919,1.999830254765968,2.003146480326538,4,{}
2022-04-02 18:00:00+00:00,2022-04-02 21:00:00+00:00,SHORT,46312.7409,46332.69962749999,0.02159078082540053,999.9282381954628,46286.41321428571,44922.00357142857,stop_loss,-2.43078098739719,-0.0024309554371461095,1.9998564763909257,2.0002889702662694,3,{}
2022-04-04 00:00:00+00:00,2022-04-04 04:00:00+00:00,SHORT,46360.95264,46121.92584999999,0.021567803797087563,999.9039303855888,46458.46285714286,44669.31428571428,signal_reversal,3.155475048196707,0.003155778222593719,1.9998078607711776,1.9946597278046574,4,{}
2022-04-04 15:00:00+00:00,2022-04-04 19:00:00+00:00,SHORT,45851.083020000005,45971.68576,0.02180832859934637,999.9354851360708,46069.55714285714,44762.525714285715,signal_reversal,-4.630015154173563,-0.004630313878243367,1.9998709702721418,2.002500486812258,4,{}
2022-04-04 17:00:00+00:00,2022-04-04 20:00:00+00:00,SHORT,45654.30999,45894.62270249999,0.021901309760317088,999.889184984529,45848.77392857143,44428.262142857144,stop_loss,-7.262941525773325,-0.007263746457949439,1.9997783699690581,2.0050382749998046,3,{}
2022-04-06 00:00:00+00:00,2022-04-06 04:00:00+00:00,SHORT,45452.042460000004,45380.675339999994,0.02199717551635129,999.8165555692714,45670.78071428571,43676.07857142857,signal_reversal,-0.4297580464018209,-0.00042983689758680486,1.9996331111385428,1.998066804015553,4,{}
2022-04-06 13:00:00+00:00,2022-04-06 17:00:00+00:00,SHORT,44706.249,43859.095279999994,0.02236403814573679,999.8122579888072,44727.18928571429,43043.32142857143,signal_reversal,16.946153593405416,0.016949335695777324,1.9996245159776145,1.9806996643458223,4,{}
2022-04-07 00:00:00+00:00,2022-04-07 04:00:00+00:00,SHORT,43127.299530000004,43438.96556999999,0.023186745528296734,999.9817195247414,43750.114285714284,41182.67142857143,signal_reversal,-9.226484598341184,-0.009226653265947932,1.9999634390494827,2.0071847408721384,4,{}
2022-04-08 13:00:00+00:00,2022-04-08 16:00:00+00:00,SHORT,43108.59825,43330.11468499999,0.023194664064001613,999.8894546787579,43286.82785714285,42146.35428571428,stop_loss,-7.137778203837544,-0.007138567339057249,1.999778909357516,2.004913775566358,3,{}
2022-04-10 22:00:00+00:00,2022-04-11 02:00:00+00:00,SHORT,42664.00329,41971.26933999999,0.023434699038921803,999.8180768967196,42548.72178571429,41238.37642857143,signal_reversal,14.234375478500276,0.014236965511447415,1.9996361537934393,1.9834203595929902,4,{}
2022-04-11 09:00:00+00:00,2022-04-11 13:00:00+00:00,SHORT,42157.8,41182.271129999994,0.02371946402923076,999.9604206515046,42017.32035714286,40214.01928571429,signal_reversal,21.13910110013834,0.0211399378051039,1.9999208413030092,1.9768069351902886,4,{}
2022-04-11 11:00:00+00:00,2022-04-11 16:00:00+00:00,SHORT,41554.384020000005,40805.554789999995,0.024068984181816442,1000.171811662506,41690.91428571428,39821.061428571425,signal_reversal,16.023215268427023,0.016020462766085066,2.000343623325012,1.9823400703320306,5,{}
2022-04-11 15:00:00+00:00,2022-04-11 20:00:00+00:00,SHORT,40763.05614,39878.09826,0.024540163043211664,1000.3320438151903,41155.06392857143,39434.40214285714,signal_reversal,19.7163465739446,0.019709802056073256,2.0006640876303807,1.9789707729501615,5,{}
2022-04-11 17:00:00+00:00,2022-04-11 22:00:00+00:00,SHORT,40724.02521,39297.962275,0.02456852440596281,1000.5292072809298,41059.253214285716,39258.703571428574,take_profit,33.035203608424645,0.03301773038510507,2.0010584145618595,1.9660591548599682,5,{}
2022-04-11 19:00:00+00:00,2022-04-11 23:00:00+00:00,SHORT,40469.46003,39569.980449999995,0.02473123087323322,1000.8595593170139,40669.34071428572,38617.30857142858,signal_reversal,20.243518040104984,0.020226132479485084,2.001719118634028,1.9794981062104928,4,{}
2022-04-11 21:00:00+00:00,2022-04-12 01:00:00+00:00,SHORT,39798.421740000005,39544.044539999995,0.02515330886830828,1001.0619944974151,40190.21928571429,37805.431428571435,signal_reversal,4.396304291660848,0.004391640393728083,2.00212398899483,1.99573395487619,4,{}
2022-04-14 13:00:00+00:00,2022-04-14 16:00:00+00:00,SHORT,41108.83002,39896.159875000005,0.024352577221323984,1001.1059575403316,40980.27821428572,39856.30357142858,take_profit,27.529431435025902,0.027499018687956237,2.002211915080663,1.9727117760856456,3,{}
2022-04-16 15:00:00+00:00,2022-04-16 19:00:00+00:00,SHORT,40452.81669,40250.21,0.024754302265983495,1001.381251854682,40290.70678571428,39606.626428571435,signal_reversal,3.012624741661064,0.0030084692878774295,2.002762503709364,1.9977541296052976,4,{}
2022-04-17 23:00:00+00:00,2022-04-18 03:00:00+00:00,SHORT,39959.99001,39852.98316999999,0.025060351062437577,1001.4113781020985,40061.19535714286,38911.96928571429,signal_reversal,0.6788062202781191,0.0006778495183114563,2.002822756204197,2.000145809002265,4,{}
2022-04-18 04:00:00+00:00,2022-04-18 08:00:00+00:00,SHORT,39773.35683,38913.744869999995,0.02517811535105224,1001.4181661643014,39300.123928571425,37856.93214285714,signal_reversal,19.640572753695547,0.019612758603056082,2.0028363323286027,1.9812165478680523,4,{}
2022-04-18 18:00:00+00:00,2022-04-18 22:00:00+00:00,LONG,40251.24103,40882.81626,0.024884066832754705,1001.6145718918383,40047.12535714286,41843.779285714285,signal_reversal,13.712931089448801,0.01369082626618338,2.0032291437836767,2.018963039140105,4,{}
2022-04-19 13:00:00+00:00,2022-04-19 17:00:00+00:00,LONG,41016.09512,41304.284369999994,0.024423380584424902,1001.7517012027329,41042.12928571428,42270.30142857142,signal_reversal,5.035052330684406,0.0050262478462868325,2.0035034024054656,2.0105510072452706,4,{}
2022-04-20 10:00:00+00:00,2022-04-20 13:00:00+00:00,LONG,41581.55001,41484.84006214285,0.024092465323806232,1001.8020517260396,41526.366428571426,42411.40714285714,stop_loss,-4.333585168667507,-0.004325789871562972,2.003604103452079,2.001273793679581,3,{}
2022-04-21 10:00:00+00:00,2022-04-21 14:00:00+00:00,LONG,41845.503699999994,42455.91159,0.023939458897572142,1001.7587158743529,41833.88035714286,43094.62928571428,signal_reversal,12.60931716166026,0.012587179888576884,2.0035174317487057,2.0181468973235313,4,{}
2022-04-21 20:00:00+00:00,2022-04-22 00:00:00+00:00,SHORT,41177.60118,40467.65723,0.024330820162797296,1001.8848090459696,41246.243214285714,39335.26357142857,signal_reversal,15.269748955024037,0.015241022537874823,2.003769618091939,1.9865153595526526,4,{}
