allow_long,allow_short,atr_stop_mult,atr_tp_mult,deploy_score,ema_fast,ema_slow,family,max_holding_bars,min_holding_bars,slope_bars,slope_min,sma_period,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_r_multiple,stress_avg_win,stress_avg_win_r,stress_calmar_ratio,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_max_consecutive_losses,stress_max_drawdown_pct,stress_max_drawdown_r,stress_payoff_ratio,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_win_rate,trial,use_take_profit,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_win_rate,volatility_max,volatility_min,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_return_pct,wf_min_exp_r,wf_min_pf,wf_min_return_pct,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,True,3.0,12.0,83.78792362673425,50,400,ema_state,48,3,6,0.001,200,1.3592562719288743,37,-753.2431095696716,-0.744439765335485,0.13648869192892196,838.9643993837102,0.8338903872632439,1.14603384128428,135.43084891593685,0.13648869192892196,0.12998630026593602,3,3.560012850874311,3.594718189257005,1.1138029524930022,1.4069089926227398,0.6320264909248099,0.1075988263249848,2146.730233163676,5.823526503385278,10644.281974946563,43,0.08317214700193423,0.5581395348837209,551,True,1.3441582516055532,37,-826.3299536461728,-0.7742081035181331,0.4254213310235965,1295.1589740632471,1.209794422839343,4.544217050030141,456.4307933409182,0.4254213310235965,0.12998630026593602,3,2.9701000000000044,3.0,1.5673629744975004,2.3971433727608833,1.4698953865622317,0.33268494218662187,2886.608979130019,19.6265241136595,2862.610239816364,43,0.08317214700193423,0.6046511627906976,0.12,0.0005,7.221530718588428,-0.03618953773386839,1.8886170999601104,-0.5361470642098919,-0.7221530718588429,0.0,-6.996440996804071,5,5,29,4.812939105426162,107,11
True,True,5.0,6.0,76.31670870683612,30,400,ema_state,720,6,36,0.0025,400,3.368058577025337,228,-745.5761056174355,-0.6896853567807093,0.37463800369873407,3727.521810910291,3.567608085137065,1.5076408972032005,372.6983735144962,0.37463800369873407,0.8839551938109437,10,8.178344025717573,8.495825766665373,4.999518872487753,1.6665062908292512,0.69817017062845,0.34114588586304917,1722.544610165452,17.88952192869583,8638.30938143245,48,0.09284332688588008,0.25,325,False,2.974336702944876,228,-847.6248291737219,-0.740071295181931,0.6092961596940131,3636.3713458134303,3.308031069445901,2.759703460713535,647.040562488662,0.6092961596940131,0.8839551938109437,9,7.6297203203272375,7.9016230045548195,4.290071763657776,2.1450358818288877,0.9384693799655592,0.6530702924048158,2134.4368506720093,31.057946999455805,2138.964603899448,48,0.09284332688588008,0.3333333333333333,0.12,0.002,11.76336905900668,0.19779911723121335,1.7519997833983865,1.3539742866941775,-0.5770479357738992,0.020215471807858522,-10.93853698092232,7,7,3,54.770545870621646,128,11
True,True,3.0,12.0,26.391956731355563,30,400,ema_state,48,4,12,0.005,300,2.7719167938249463,37,-767.7035105356935,-0.7708875610821502,0.012851753446484065,889.5344124122993,0.9034646108653864,0.0511954524113395,8.024878929324416,0.012851753446484065,0.14110726085905392,5,5.201930794266009,5.286583773475698,1.158695251753628,1.0196518215431924,0.0623417581108341,0.011912460063558929,2348.6538814028872,0.3771693096782837,11668.271778687693,47,0.09090909090909091,0.46808510638297873,810,False,2.1048100264486425,37,-824.6234802464172,-0.7805421027183115,0.27151518579412764,1339.5124220456212,1.2797367539518818,1.979492399590883,280.4671932644108,0.27151518579412764,0.14110726085905392,5,4.6184311011664,4.705845219122257,1.6243927733483199,1.6950185461025944,1.0181937636435763,0.23551412320382012,3170.3076015123775,13.181958083427336,3151.1840235683726,47,0.09090909090909091,0.5106382978723404,0.2,0.001,12.071917813443497,-0.02517403370750383,1.7508525496236116,-1.2306417194062749,-0.5758038586797164,0.09404049959266493,-10.929434674010889,5,5,32,3.991676265316361,112,11
True,True,5.0,8.0,18.735836084712517,100,400,ema_state,720,1,36,0.001,50,5.63637218564126,204,-793.0731903764523,-0.7862664994175688,0.1605900251567907,2022.9353353581687,2.0543030743055097,0.43094551867204933,145.59631820175457,0.1605900251567907,0.8385848980578612,11,12.04442609874056,12.690438304517393,2.5507549112811785,1.2753774556405895,0.3907250048707664,0.16062603715402196,1456.3307389286886,7.425412228289526,7314.652883889409,51,0.09864603481624758,0.3333333333333333,861,False,4.023921088856977,204,-855.6508261584137,-0.816585713203132,0.33188913464781183,2320.018158449777,2.266162562607296,1.1307387356324723,327.44154065640237,0.33188913464781183,0.8385848980578612,6,10.194881786464133,10.574016205005247,2.7114076063782737,1.6098982662870995,0.6676880249944769,0.3671551018028271,1745.943717770015,16.699518573476528,1753.1371609748423,51,0.09864603481624758,0.37254901960784315,0.08,0.0,5.076576388184296,0.09800621308919939,1.4704843396631744,1.4917524705590068,-0.5850212346452591,0.07694706718996917,-4.596806938671478,7,6,2,57.10789795954121,124,11
True,True,2.0,24.0,12.536679713799135,80,300,ema_state,72,6,36,0.001,150,4.156637940810523,41,-923.9531980622012,-0.9312006100848745,0.07376632272080656,1595.9905097445355,1.6370482181963104,0.22531172387226783,62.11173107956529,0.07376632272080656,0.15424288822628737,5,8.921638759191323,9.292493396231894,1.7273499492093238,1.1104392530631368,0.21840974718652642,0.08413987443057414,3078.534767917297,2.85713962966,15394.380012590182,46,0.08897485493230174,0.391304347826087,1045,True,3.138102363022155,41,-1066.857837981752,-1.0,0.450425526899263,2469.9312228893514,2.335978711868305,1.8285381304759056,470.87653631003207,0.450425526899263,0.15424288822628737,5,8.124858682368545,8.417809926676357,2.3151455938702097,1.780881226054008,0.9526231701568783,24188458533085.676,4677.035358684535,21.66032067026147,4678.229510517659,46,0.08897485493230174,0.43478260869565216,1.0,0.0,7.301775735438121,-0.10956728293712219,0.9473552635263943,-0.8649875408531358,-0.6637977941307383,0.002519524394703422,-7.072773696692749,4,4,57,-14.33999874846351,84,11
True,True,6.0,6.0,11.036331033250113,30,400,ema_state,168,6,18,0.02,200,2.9004354450702574,111,-738.0646461433923,-0.737043071379955,0.017577437965365462,988.6688282485089,0.9985841001142821,0.059401048027402883,12.689038374825543,0.017577437965365462,0.4150213554678056,6,6.936188069956442,7.155219254384625,1.3395423197881082,1.030417169067776,0.08363312315456703,0.017960140099026096,1362.9564057147722,0.5836957652419514,6785.238212992203,46,0.08897485493230174,0.43478260869565216,580,False,2.34139433633076,111,-759.8822655837114,-0.7351953050389531,0.15610971629276682,1243.7554426684696,1.2171871226400521,0.7635919005287072,154.82190557489298,0.15610971629276682,0.4150213554678056,6,6.522300864087646,6.712210520894602,1.6367738780073595,1.374890057526182,0.6429118228635262,0.1605829823803721,1612.82001732248,7.1218076564450605,1606.2860298560545,46,0.08897485493230174,0.45652173913043476,0.2,0.002,10.083663199080846,0.018634747211618976,1.6005610832655615,-0.7636055904164954,-0.57265783181392,0.0,-9.446954646095561,4,4,40,-2.4930611196187513,111,11
True,False,6.0,12.0,9.609956329740113,80,400,sma_slope_state,168,2,48,0.02,300,2.45906589684311,31,-371.1267713063752,-0.3644852779907439,-0.019679878052076962,428.8331962067962,0.423641350440495,-0.14013445405789224,-21.14428551936271,-0.019679878052076962,0.12039648642114595,4,5.124343733852407,5.2201395955447065,1.1554897931434398,0.8987142835560088,-0.16943887128187476,-0.020874636966896187,1303.299011252478,-1.0149257049294247,6518.107084803719,48,0.09284332688588008,0.4375,1036,True,0.8980930129530611,31,-385.9098165043353,-0.36635525014776726,0.0957665028642582,503.5066940730424,0.4867926015667413,1.4242683126453402,95.85746005841091,0.0957665028642582,0.12039648642114595,4,2.2671982839912297,2.281717190751537,1.3047263182728237,1.5419492852315186,0.7212790405896663,0.09596213678366163,1507.52745597981,4.601158082803741,1513.6437638478076,48,0.09284332688588008,0.5416666666666666,0.04,0.0005,3.8554870140451523,-0.12237804536484367,0.5620458260071571,-1.2722824424849586,-0.27462318502150684,0.0,-3.807139807153217,2,2,64,-16.773059729746084,98,11
True,True,6.0,24.0,3.899711184568094,100,200,ema_state,48,6,12,0.0,400,2.8561314765884998,40,-535.2975310098586,-0.5320096563368077,-0.005531690808501566,538.7912546888035,0.5404454586282603,-0.05166978633001519,-8.017581666879039,-0.005531690808501566,0.17833830284470947,8,6.033240002416072,6.140079772500583,1.006526694924884,0.9705793129632807,-0.040382099055274165,-0.005581971299747183,1590.607580649642,-0.440966991678375,7917.065684637237,55,0.10638297872340426,0.4909090909090909,652,False,1.8416478904458229,40,-575.5231508815732,-0.5465028393819868,0.13286716698817305,725.2679189047109,0.6990088389633065,1.1553176769901639,133.99925082003625,0.13286716698817305,0.17833830284470947,8,4.459489343700191,4.5442648512181405,1.2601889564194977,1.5122267477033977,0.8100522342943189,0.13252351546806804,1906.9993044614218,7.369958795102037,1898.7317670074654,55,0.10638297872340426,0.5454545454545454,0.12,0.002,3.976248503047602,-0.09653228157379248,1.4682522212116533,-1.1347765453703718,-0.3614771366406911,0.09677037997829246,-3.917266748496171,3,3,38,0.5517874857774139,121,11
True,True,4.0,4.0,-15.532183685751168,10,400,ema_state,168,4,48,0.005,300,3.160818940666207,74,-732.2922702321555,-0.7217071766529114,0.13544860531834715,2133.492611270059,2.135478763251284,0.8633545591637899,127.44319421850889,0.13544860531834715,0.4802159722781852,12,8.223255021525054,8.544497310859738,2.913444123333006,1.2486189099998595,0.4963358706304105,0.30103549343538544,3517.2497169466383,10.195455537480754,17545.91371582809,80,0.15473887814313347,0.3,79,False,2.650244336251562,74,-738.3882128915075,-0.6651183670551382,0.3778859329677448,3098.3390814272498,2.8115626330211385,3.0326048678413384,412.6299754041196,0.3778859329677448,0.4802159722781852,12,7.3623482262001545,7.613176982168259,4.1960841564550995,1.7983217813378995,1.1212196189587547,0.7065690571901517,4769.361520963698,33.01039803232957,4759.415137455661,80,0.15473887814313347,0.3,1.0,0.002,15.398840545612476,0.020975475473162777,1.4872598414074005,-1.9306894600074607,-0.5829120576873248,0.09110727941081431,-13.619926992051056,4,4,74,-22.880772815500393,173,11
True,True,3.0,16.0,-17.164548888150307,50,300,ema_state,240,2,36,0.001,150,3.9880011121047945,113,-954.9464366079104,-0.9299678289534501,0.14966616570940056,2705.04160314693,2.6899814472690498,0.5684338783982406,136.62894366984892,0.14966616570940056,0.5190587476831332,11,9.57208112169611,10.01137641143147,2.8326631729791854,1.2038818485161535,0.40989652327289444,0.24537588387057754,2940.024440626724,7.787849789181375,14678.251344933698,57,0.1102514506769826,0.2982456140350877,617,False,3.625092405167026,113,-1064.7321790053616,-0.9450992429388535,0.4614843595007025,3854.7805883268074,3.5090821647864066,2.0077920236194813,488.79816857321816,0.4614843595007025,0.5190587476831332,9,9.444373051249901,9.870166104443742,3.620422735722911,1.67096433956442,0.9716911797429949,0.8750939310663504,4128.101776872598,27.861495608673387,4119.760147470649,57,0.1102514506769826,0.3157894736842105,0.12,0.0,14.119128989816401,0.010397626436388,1.1675674420151496,-0.6763146408366342,-0.7672310927820966,0.031005342645721194,-12.95893536545751,4,4,99,-27.80995612329745,122,11
