allow_long,allow_short,atr_stop_mult,atr_tp_mult,deploy_score,ema_fast,ema_slow,family,max_holding_bars,min_holding_bars,slope_bars,slope_min,sma_period,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_r_multiple,stress_avg_win,stress_avg_win_r,stress_calmar_ratio,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_max_consecutive_losses,stress_max_drawdown_pct,stress_max_drawdown_r,stress_payoff_ratio,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_win_rate,trial,use_take_profit,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_win_rate,volatility_max,volatility_min,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_return_pct,wf_min_exp_r,wf_min_pf,wf_min_return_pct,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,6.0,8.0,-22.837688549734615,10,300,sma_slope_state,240,1,36,0.005,300,4.366278653722578,64,-420.927131222341,-0.43725692201619903,-0.1348224587275374,887.3192052431343,0.9374451838413534,-0.5810802347987365,-133.11293719993648,-0.1348224587275374,0.25787734708679183,8,8.173362056455764,8.415912942290419,2.10801143339567,0.5945673273680095,-0.8663833674096499,-0.15175901398755076,1381.0692161324448,-6.655646859996836,6879.013303334312,50,0.09671179883945841,0.22,1014,False,2.68032233353238,64,-381.0682785250459,-0.38611457062713744,-0.028326338095829268,962.5604148423743,0.9899940160317401,-0.19065241959902318,-31.72481824951666,-0.028326338095829268,0.25787734708679183,8,5.891736545596705,6.0122728810899115,2.52595261554711,0.8874968649219576,-0.16253823917206395,-0.029451515035858595,1612.2504324068384,-1.5862409124758416,1612.2780802142815,50,0.09671179883945841,0.26,0.08,0.0005,3.1112333064868856,0.058552256453823934,1.209489901713469,0.8764316607059207,-0.17405760288525063,0.0,-0.5214727403247962,7,7,1,87.86031708824369,104,11
True,True,5.0,8.0,18.735836084712517,100,400,ema_state,720,1,36,0.001,50,5.63637218564126,204,-793.0731903764523,-0.7862664994175688,0.1605900251567907,2022.9353353581687,2.0543030743055097,0.43094551867204933,145.59631820175457,0.1605900251567907,0.8385848980578612,11,12.04442609874056,12.690438304517393,2.5507549112811785,1.2753774556405895,0.3907250048707664,0.16062603715402196,1456.3307389286886,7.425412228289526,7314.652883889409,51,0.09864603481624758,0.3333333333333333,861,False,4.023921088856977,204,-855.6508261584137,-0.816585713203132,0.33188913464781183,2320.018158449777,2.266162562607296,1.1307387356324723,327.44154065640237,0.33188913464781183,0.8385848980578612,6,10.194881786464133,10.574016205005247,2.7114076063782737,1.6098982662870995,0.6676880249944769,0.3671551018028271,1745.943717770015,16.699518573476528,1753.1371609748423,51,0.09864603481624758,0.37254901960784315,0.08,0.0,5.076576388184296,0.09800621308919939,1.4704843396631744,1.4917524705590068,-0.5850212346452591,0.07694706718996917,-4.596806938671478,7,6,2,57.10789795954121,124,11
True,True,5.0,6.0,76.31670870683612,30,400,ema_state,720,6,36,0.0025,400,3.368058577025337,228,-745.5761056174355,-0.6896853567807093,0.37463800369873407,3727.521810910291,3.567608085137065,1.5076408972032005,372.6983735144962,0.37463800369873407,0.8839551938109437,10,8.178344025717573,8.495825766665373,4.999518872487753,1.6665062908292512,0.69817017062845,0.34114588586304917,1722.544610165452,17.88952192869583,8638.30938143245,48,0.09284332688588008,0.25,325,False,2.974336702944876,228,-847.6248291737219,-0.740071295181931,0.6092961596940131,3636.3713458134303,3.308031069445901,2.759703460713535,647.040562488662,0.6092961596940131,0.8839551938109437,9,7.6297203203272375,7.9016230045548195,4.290071763657776,2.1450358818288877,0.9384693799655592,0.6530702924048158,2134.4368506720093,31.057946999455805,2138.964603899448,48,0.09284332688588008,0.3333333333333333,0.12,0.002,11.76336905900668,0.19779911723121335,1.7519997833983865,1.3539742866941775,-0.5770479357738992,0.020215471807858522,-10.93853698092232,7,7,3,54.770545870621646,128,11
True,True,5.0,4.0,-37.307920583455434,50,300,ema_state,540,2,24,0.001,400,8.001365562243222,143,-734.6895051768057,-0.7258761950490785,0.01642214318558118,2057.4619587906077,2.087043823524369,0.007361129103499215,2.128242259039439,0.01642214318558118,0.835442017890241,12,14.703177243634444,15.511335578078011,2.8004509990863036,1.0039352638233923,0.056512456655734934,0.024321240158454153,2282.0245068765257,0.15323344265084596,11416.473369863437,72,0.13926499032882012,0.2638888888888889,1042,False,4.975907453572918,143,-777.7657330976787,-0.7228816079971496,0.17011210940395954,2433.0409142717813,2.338811137378082,0.8160467527559854,158.71953905174723,0.17011210940395954,0.835442017890241,7,9.735194547025614,9.748179961619437,3.1282439052457183,1.2881004315717668,0.4944024446661239,0.2458681431414495,2831.5420492068934,11.427806811725794,2831.6240619823197,72,0.13926499032882012,0.2916666666666667,0.08,0.002,9.664941476085243,0.04268728925403973,1.3215651455923287,0.46136242190132104,-0.4969753227661342,0.2450254851490695,-9.09501440804069,7,7,4,48.967294962080054,161,11
True,False,6.0,6.0,-35.8843434699156,30,80,sma_slope_state,48,6,18,0.0025,300,5.607076711417913,24,-448.41222808911215,-0.4712009435798482,-0.16708063273326412,466.9763168807022,0.501984051129221,-0.6542122760952302,-162.35330778604518,-0.16708063273326412,0.09517285840921912,5,8.51520170211303,8.843508469890534,1.041399604267484,0.47336345648522005,-1.2929428892157158,-0.18107763942719335,1392.2488713747712,-7.792958773730206,6929.254020964985,48,0.09284332688588008,0.3125,1174,False,3.0004708919211005,24,-408.9418853170545,-0.41979056423438277,-0.05702244329155603,580.7056725568024,0.6044958948983047,-0.380999834524338,-58.44170857006347,-0.05702244329155603,0.09517285840921912,5,5.223302888418345,5.338485358544292,1.4200200405164627,0.7787206673799956,-0.409500013968908,-0.05591094474758811,1636.7855706124292,-2.805202011363072,1635.6176213727595,48,0.09284332688588008,0.3541666666666667,0.12,0.003,3.99554731316462,-0.05812110502044718,1.3514371012174946,-0.20441769851433425,-0.5638677638093216,0.0,-3.9283055668734015,6,6,5,38.18639581370306,98,11
True,False,4.0,4.0,-36.52405773735062,10,400,ema_state,240,3,36,0.0025,300,4.221839644557795,70,-713.0378075114126,-0.718231459684996,0.0424823782776795,3426.6987914306246,3.5607838788550543,0.06448951266792967,22.915365633838633,0.0424823782776795,0.2559432669836409,13,11.27963512489412,11.653569473743513,4.805774329681359,1.039086341552726,0.09830432268820409,0.04851564923861567,1968.00667853412,1.0311914535226971,9855.350747052762,45,0.08704061895551257,0.17777777777777778,934,False,3.2089970454089167,70,-707.6387082593952,-0.6808368916770344,0.26556847446540827,4075.1554598024845,4.051189939035179,0.8912593046612295,248.9201253529808,0.26556847446540827,0.2559432669836409,13,8.739746153668934,9.109109457873876,5.7588080078692885,1.439702001967322,0.4978431205382232,0.2771197133122692,2526.6241630359527,11.201405640884099,2540.368461238017,45,0.08704061895551257,0.2,1.0,0.001,9.673808708296278,0.30514198193856734,1.9729250884135516,0.6366027352605186,-0.8153505364212604,0.0,-8.505688006093886,6,6,6,37.65618304466928,94,11
True,False,1.5,16.0,-81.38875799088981,10,100,sma_slope_state,240,4,36,0.005,300,7.369471188821407,40,-835.5371963199623,-0.8839194416679101,-0.11992999565332785,3184.190813013487,3.5090198729159376,-0.3061490616505683,-136.4540642619711,-0.11992999565332785,0.14876299460069303,12,14.621931693699612,15.593629404595088,3.810950400578129,0.8023053474901327,-0.2719336494746729,-0.16160563153694094,3300.000955723747,-6.276886956050687,16485.45806291851,46,0.08897485493230174,0.17391304347826086,62,False,5.081440074101997,40,-872.3266163527031,-0.8577832531326403,0.2555438522451975,4730.375043845327,4.832555285465197,0.637569740404061,223.8541432512593,0.2555438522451975,0.14876299460069303,12,11.245041827355386,11.869913967734888,5.422710891963338,1.3190377845316228,0.40241892989160555,0.280770212170874,5179.568853853663,10.29729058955796,5195.066385222621,46,0.08897485493230174,0.1956521739130435,0.2,0.001,5.991932465475821,-0.013866098929424475,1.0757611036343837,1.176390511269881,-1.0,0.0,-5.8419736464157035,8,8,7,33.56031575808889,93,11
True,True,4.0,16.0,-999965,100,400,ema_state,48,6,48,0.02,400,4.622156924683184,42,-594.8246784423114,-0.5977505415778886,-0.07571647303109917,471.58291460542983,0.47702548190079563,-0.28095592855169765,-76.85527610483709,-0.07571647303109917,0.118462406317995,3,6.791011117330391,6.980010107022048,0.7928099349212961,0.74876493853678,-0.472542934323412,-0.043659602580944985,1352.7612114864244,-2.689934663669308,6729.443988665003,35,0.06769825918762089,0.4857142857142857,552,False,2.9164941503570647,42,-622.7533762910368,-0.6081849327083488,0.09204222919306074,690.7673278871489,0.681707207636353,0.4920677242622249,90.30072026283534,0.09204222919306074,0.118462406317995,3,4.516916217202498,4.572738662482315,1.1092149062301133,1.3171927011482598,0.4789552926768843,0.050447460901241796,1679.457571128474,3.1605252091992586,1671.6064760903475,35,0.06769825918762089,0.5428571428571428,0.12,0.0,5.558295124117663,0.0033250915255073066,2.562901174281569,0.054599748286901506,-0.6947868905147078,0.0,-5.428663029256655,6,6,8,32.960189539077234,81,11
True,False,5.0,6.0,-37.66598363700035,10,400,sma_slope_state,120,1,18,0.0025,300,3.6059821489455475,40,-455.03235397293537,-0.4700796392780006,-0.11301410167201294,1095.6331103415725,1.1529455316583066,-0.5373443823282112,-113.88595182374365,-0.11301410167201294,0.16165686195503265,8,7.550796898081928,7.71194964646801,2.40781364396506,0.6791269252209144,-0.6017083705384069,-0.11514540954041358,1685.4566396093155,-5.694297591187103,8407.348955988715,50,0.09671179883945841,0.22,286,False,2.3069946520000064,40,-425.0244988433946,-0.4244331635004003,0.019132897267700115,1142.311379036593,1.1597313392428155,0.09052325753412711,13.829546963001974,0.019132897267700115,0.16165686195503265,6,5.391105416091617,5.519220570302613,2.6876365530578306,1.045191992855823,0.09050325011554668,0.017824973786927406,2041.0710492932271,0.6914773481501033,2043.8083740473228,50,0.09671179883945841,0.28,0.12,0.002,5.91861608145322,-0.04337963005336936,1.138703861731872,0.17859268522876398,-0.538056007404838,0.0,-5.765858763759738,6,6,9,32.557507572850724,110,11
True,False,5.0,6.0,-100.77855459847238,30,80,sma_slope_state,360,2,36,0.0,300,7.176351301498946,53,-424.2680538801927,-0.4452341673180781,-0.10931555231975236,1460.5244012295855,1.570277522671876,-0.47422293652780917,-110.13597802856304,-0.10931555231975236,0.3380610846965912,16,12.965605818727271,13.717192664217222,3.442456691877199,0.6884913383754397,-0.6164875004556489,-0.21138020470073537,2723.6186759845755,-8.590606286227862,13588.951490968522,78,0.15087040618955513,0.16666666666666666,909,False,3.23867020794792,53,-365.71757209256776,-0.3622955551581571,0.043623096708942745,1722.9257073780764,1.748481434550762,0.2918342769120055,35.944597036402286,0.043623096708942745,0.3380610846965912,16,6.759619989053854,6.79202924123144,4.711082646425264,1.1216863443869678,0.20700541475459291,0.07491932656251096,3417.986213640673,2.803678568839343,3424.217524305255,78,0.15087040618955513,0.19230769230769232,0.08,0.0,7.168700550666061,-0.04175191492681373,1.0987046208783249,0.1620523478981049,-0.6393080940978787,0.0,-6.813718381877814,7,7,10,31.78831593496345,155,11
