entry_time,exit_time,side,entry_price,exit_price,quantity,notional,stop_loss,take_profit,exit_reason,pnl,pnl_pct,risk_amount,r_multiple,fees,slippage,holding_bars,metadata
2020-01-02 20:00:00+00:00,2020-01-03 04:00:00+00:00,SHORT,6968.66474,7117.05904,6.1602289289112635,42928.57012723189,7102.8533333333335,6744.1033333333335,stop_loss,-1000.0,-0.023294509857565614,1000.0,-1.0,85.85714025446379,173.53960381539434,2,{}
2020-01-27 16:00:00+00:00,2020-01-28 00:00:00+00:00,LONG,8797.23936,9032.509492857143,5.2681264816362825,46344.96963770902,8644.199642857144,9050.610714285714,take_profit,1146.7428779673878,0.024743632090640743,990.0000000000002,1.1583261393609976,92.68993927541804,187.86445337439858,2,{}
2020-01-28 04:00:00+00:00,2020-01-28 16:00:00+00:00,LONG,9129.813180000001,8914.819630000002,4.2934782042754485,39198.65389743673,8932.685000000001,9470.480000000001,stop_loss,-1001.467428779674,-0.025548515808731936,1001.4674287796739,-1.0000000000000002,78.39730779487346,154.94540284890644,3,{}
2020-02-05 20:00:00+00:00,2020-02-09 00:00:00+00:00,LONG,9675.24186,9994.653491428571,4.185074443250656,40491.607440554944,9476.64357142857,10014.682857142858,take_profit,1255.7782406876013,0.03101329683024287,991.4527544918772,1.2666042178996133,80.98321488110989,164.64595830301528,19,{}
2020-02-25 16:00:00+00:00,2020-02-26 16:00:00+00:00,SHORT,9376.39962,8918.018292857141,3.262513256994038,30590.62806312386,9646.09607142857,8900.217857142856,take_profit,1434.2939004358504,0.046886709794783564,1004.0105368987532,1.4285645894376584,61.18125612624772,119.37802135208312,6,{}
2020-04-29 08:00:00+00:00,2020-04-29 16:00:00+00:00,LONG,7960.89,8230.116067142859,5.1378846837950976,40902.13480037756,7794.195357142857,8246.609285714287,take_profit,1301.448217250928,0.031818589019928484,1018.3534759031116,1.2779926106667021,81.80426960075512,166.38124271012987,2,{}
2020-06-11 20:00:00+00:00,2020-06-12 08:00:00+00:00,SHORT,9262.36814,9512.801914285716,3.834673072461208,35518.15369368061,9493.814285714287,8855.16142857143,stop_loss,-1031.3679580756211,-0.029037769445181553,1031.3679580756211,-1.0,71.03630738736122,143.99001270954793,3,{}
2020-06-22 20:00:00+00:00,2020-06-24 08:00:00+00:00,LONG,9582.63702,9418.183384999998,5.560725111771722,53286.41031410734,9437.057499999999,9816.295,stop_loss,-1021.054278494865,-0.01916162624721871,1021.054278494865,-1.0,106.57282062821469,211.3138656703297,9,{}
2020-06-24 16:00:00+00:00,2020-06-27 16:00:00+00:00,SHORT,9231.47006,8913.949457142857,4.344670143779171,40107.69235287331,9426.816428571428,8896.157142857142,take_profit,1299.3068985624452,0.03239545389774495,1010.8437357099162,1.2853687000888827,80.21538470574662,157.67787364558362,18,{}
2020-06-27 20:00:00+00:00,2020-06-28 12:00:00+00:00,SHORT,8919.5751,9140.717445000002,4.284167708628228,38212.9556181044,9122.472500000002,8569.175000000001,stop_loss,-1023.8368046955405,-0.02679292371225194,1023.8368046955405,-1.0,76.4259112362088,154.7434735896614,4,{}
