run_id,validation_mode,symbol,timeframe,strategy_version,start,end,total_trades,win_rate,sharpe_ratio,sortino_ratio,calmar_ratio,profit_factor,max_drawdown_pct,max_drawdown_r,avg_drawdown_r,trades_per_day,avg_win,avg_loss,avg_win_r,avg_loss_r,avg_r_multiple,expectancy_r,payoff_ratio,expectancy,avg_holding_bars,avg_trade_return,total_return_pct,cagr_pct,max_consecutive_losses,exposure_pct,fee_rate,slippage_rate
candidate553_BTCUSDT_4h_v3_10bps_fee_20bps_exec_20200101_20250601,cost_stress,BTCUSDT,4h,v3,2020-01-01 16:00:00+00:00,2025-06-01 00:00:00+00:00,269,0.35687732342007433,0.11668014332108775,0.0965393874570566,0.009275774088311118,1.0068548155824284,21.15451332297597,23.408589014370108,9.302597365716178,0.13604180714767364,1632.111639420568,-899.5144416969596,1.6214555457101196,-0.8770832494193451,0.014588588247675787,0.014588588247675787,1.8144362822475013,3.9654980327158,6,0.000511093557831866,1.0667189708005316,0.1962244865320928,13,0.1500337154416723,0.001,0.002
corrected_hold_BTCUSDT_4h_v3_10bps_fee_10bps_exec_20200101_20250601,cost_stress,BTCUSDT,4h,v3,2020-01-01 16:00:00+00:00,2025-06-01 00:00:00+00:00,152,0.46710526315789475,0.9606429006152454,1.60652405500858,0.3519894509682936,1.2376992441034005,10.15246430572536,10.454349975417323,3.721976498374621,0.07687120701281187,1535.0491924552002,-1087.1275496720484,1.413806709398003,-0.9908779703470707,0.1323628997970099,0.1323628997970099,1.412023081301063,137.70500750581107,8,0.003128147433464959,20.93116114088324,3.5735603369474678,6,0.10552933243425489,0.001,0.001
corrected_hold_BTCUSDT_4h_v3_10bps_fee_20bps_exec_20200101_20250601,cost_stress,BTCUSDT,4h,v3,2020-01-01 16:00:00+00:00,2025-06-01 00:00:00+00:00,152,0.46710526315789475,0.2672796181207759,0.440454650887688,0.060326818719402237,1.051993725879161,12.822783264870917,13.483556637344016,5.257907780036993,0.07687120701281187,1213.7444024805643,-1011.317262021587,1.2030025613558386,-0.9915729019210435,0.03352484737276323,0.03352484737276323,1.2001618562846763,28.020752318233576,8,0.0011242445267002597,4.259154352371523,0.7735577214980527,6,0.10552933243425489,0.001,0.002
corrected_no_lookahead_BTCUSDT_1h_v3_20200101_20250601,full_period,BTCUSDT,1h,v3,2020-01-01 04:00:00+00:00,2025-06-01 00:00:00+00:00,1336,0.38997005988023953,-1.0561827633641319,-0.3904470024205085,-0.17184609320244978,0.8107486844729064,1.4330429819452122,128.34567423855447,41.287250936304396,0.6754866436336058,10.900977132533082,-8.595265387464678,0.775894677959222,-0.6431864046323839,-0.08978726987922016,-0.08978726987922016,1.2682537002791154,-0.9923145245014791,2,-0.0009981901779939027,-1.3257322047338675,-0.24626283783847347,12,0.07780682153547788,0.0006,0.0003
corrected_stress_BTCUSDT_1h_v2_20200101_20250601,cost_stress,BTCUSDT,1h,v2,2020-01-01 04:00:00+00:00,2025-06-01 00:00:00+00:00,648,0.3765432098765432,-3.2412483652182775,-0.6066560766729087,-0.30542445861621337,0.38532982795829285,77.84572469468944,151.21030202761455,77.96695700189979,0.3276312463133058,197.8205622969651,-310.0610865831642,0.37354079889674713,-0.5905132436358895,-0.22750523996619296,-0.22750523996619296,0.6380051249801253,-118.82170027644882,3,-0.003894860566139922,-76.99646177913883,-23.775988320462314,8,0.052763607234706356,0.001,0.001
corrected_stress_BTCUSDT_4h_v2_20200101_20250601,cost_stress,BTCUSDT,4h,v2,2020-01-01 16:00:00+00:00,2025-06-01 00:00:00+00:00,63,0.3492063492063492,-2.013907193632473,-0.25198637147689,-0.1719159071586687,0.40534091765458,16.52512307603918,17.92364135673351,9.594333650049146,0.03186109238031019,447.5234988900704,-592.4261527050512,0.4765889802393579,-0.6325407529405948,-0.24522560802061133,-0.24522560802061133,0.7554080738108081,-229.26913151310399,3,-0.005026152098130114,-14.443955285325515,-2.840931524525925,10,0.020987862440997977,0.001,0.001
corrected_stress_BTCUSDT_4h_v3_20200101_20250601,cost_stress,BTCUSDT,4h,v3,2020-01-01 16:00:00+00:00,2025-06-01 00:00:00+00:00,166,0.536144578313253,1.611954843234121,0.48189825927934643,1.0036585350126863,1.5420806999700385,0.10622343781177053,4.761101556617756,1.828079031276906,0.08395144976399191,18.488323721727514,-13.857654093932185,0.8320846254223314,-0.6514422798207615,0.14394262720716178,0.14394262720716178,1.3341597067156516,3.4844665421745216,2,0.003476396334258368,0.5784214460010116,0.1066120599781728,6,0.03843560350640594,0.001,0.001
corrected_stress_ETHUSDT_1h_v2_20200101_20250601,cost_stress,ETHUSDT,1h,v2,2020-01-01 04:00:00+00:00,2025-06-01 00:00:00+00:00,554,0.388086642599278,-2.8441658431143932,-0.495809127227193,-0.2808740678319553,0.4206957518952315,72.11566359695838,127.13658697492846,63.344747545581995,0.2801044914468695,238.56091078777817,-359.6415984732673,0.3889515964778011,-0.6062397140628561,-0.220019259611157,-0.220019259611157,0.6633295808952722,-127.48719505968468,3,-0.004326603684971775,-70.62790606306541,-20.25541978887856,14,0.04494287280239471,0.001,0.001
corrected_stress_ETHUSDT_1h_v3_20200101_20250601,cost_stress,ETHUSDT,1h,v3,2020-01-01 04:00:00+00:00,2025-06-01 00:00:00+00:00,1299,0.32255581216320245,-3.132073971911474,-1.0459849369274878,-0.18622887069907682,0.5410902293719488,4.482032654353625,263.7999310464931,110.97917484608051,0.6567793039521362,12.481626991662699,-10.983300317534551,0.680221344993352,-0.620197544652361,-0.20073987355031817,-0.20073987355031817,1.136418620160655,-3.4145516319659235,2,-0.0034915636318509635,-4.43550256992389,-0.8346838796566614,19,0.07639445170538386,0.001,0.001
corrected_stress_SOLUSDT_1h_v3_20200101_20250601,cost_stress,SOLUSDT,1h,v3,2020-08-11 10:00:00+00:00,2025-06-01 00:00:00+00:00,649,0.36363636363636365,-1.9888262864460617,-0.5233602576132227,-0.21019669869369964,0.5968576028321411,2.342286978882679,106.00061077279051,60.73235144943379,0.3698883875563999,14.69401089681528,-14.067974698622463,0.6799280283648753,-0.6451903764331742,-0.16332913832479265,-0.16332913832479265,1.0445008049562472,-3.60907084573601,2,-0.0036504382642023195,-2.342286978882679,-0.4923409903543785,10,0.04295353036206405,0.001,0.001
