slippage_bps_per_side,fee_bps_per_side,trades,win_rate,sharpe,profit_factor,expectancy_r,avg_win_r,avg_loss_r,payoff_ratio,max_drawdown_r,max_drawdown_pct,max_consecutive_losses,trades_per_week,total_return_pct,total_fees,total_slippage
0,5,245,0.7224489795918367,4.3074641330562695,5.333702308476802,0.44212191996289174,0.7535141904551887,-0.3684138429361754,2.0491059716182063,2.064230567863248,2.052138019780969,3,3.3172147001934236,190.95796398218786,20725.62076625254,0.0
2,5,245,0.8408163265306122,4.2068744200382495,5.117966996014797,0.41979075163753765,0.6208555889251324,-0.6422440299328348,0.9689354992455196,2.1007057081358766,2.0877540539494728,2,3.3172147001934236,175.7157396364403,19665.244207059295,7866.105812706206
5,5,245,0.8408163265306122,4.092293124283266,4.84263373813865,0.39208490209839497,0.5878324838230143,-0.641863862908569,0.9168092999388705,2.1529520038068455,2.138765469612996,2,3.3172147001934236,157.9069451326925,18381.941105810736,18381.98977352775
10,5,245,0.8244897959183674,3.8229223624081565,4.217970837650618,0.3438871937283446,0.5487542761485591,-0.6185116585712679,0.8978848812820626,2.2575130053540278,2.2440053995909834,2,3.3172147001934236,129.53729421518145,16341.726070025734,32683.63070270058
15,5,245,0.8122448979591836,3.6001892764566716,3.7565374058299197,0.30501558466282663,0.5140709401723832,-0.5993760619980809,0.8683453299908361,2.5408357324073663,2.524778542465216,2,3.3172147001934236,108.95816181684093,14799.834452538369,44399.88171284056
20,5,245,0.7918367346938775,3.3467890981319215,3.288989551246609,0.26836279384947187,0.49012654285746776,-0.5752091141417285,0.8646312737813251,3.5185909946614338,3.4739900696846444,5,3.3172147001934236,91.2158181517004,13456.656506112695,53827.2600233896
30,5,245,0.7428571428571429,2.915657757704958,2.6648652287223467,0.2114167218672042,0.46083894941794307,-0.5091363799460417,0.9224533484038892,3.9199251367672296,3.860606658843317,5,3.3172147001934236,66.59387509609029,11445.783970360777,68676.02426331327
50,5,245,0.7020408163265306,2.20449155741433,1.9056630884997432,0.13586197192886884,0.4124633407676108,-0.5158563217733725,0.8087988689562863,3.4909419880259733,3.4522858098653972,4,3.3172147001934236,38.73099994093593,8954.140625320817,89544.83700264645
