candidate,kind,symbol,timeframe,train_expectancy_r,train_max_drawdown_r,train_profit_factor,train_score,train_total_trades,window
v3_edge_BTCUSDT_4h_20260608_191650,v3,BTCUSDT,4h,-0.02111649589325527,20.303109002657713,0.9404703085807159,-70.28007506550142,45,2
v3_edge_BTCUSDT_4h_20260608_191932,v3,BTCUSDT,4h,0.07092533274888398,5.140936152396644,1.2461366787931616,0.3457012435975084,73,2
v3_edge_BTCUSDT_4h_20260608_192109,v3,BTCUSDT,4h,0.4997450069107902,9.431203241975757,1.6759946729149469,47.32831656440993,40,2
v3_edge_ETHUSDT_4h_20260608_191748,v3,ETHUSDT,4h,0.09580583772515748,5.058222127102031,1.2172419509409593,3.052121472649432,54,2
v3_edge_SOLUSDT_4h_20260608_191748,v3,SOLUSDT,4h,0.12250585301633234,2.0,1.3338250631001969,-999989,11,2
v3_wf_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,2.8320748901075152,1.0,6.59750828241288,-999998,2,2
v3_wf_edge_BTCUSDT_4h_20260608_192533,v3,BTCUSDT,4h,0.4951445120385416,8.41726982282864,2.048275923491324,60.6928690831449,38,2
family_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,0.9124182457387491,3.0,2.0954230993583294,-999991,9,3
family_edge_BTCUSDT_1h_20260608_194104,family:ema_momentum,BTCUSDT,1h,-0.05793240694223057,10.239661913932691,0.8861455251496168,-44.24304412676456,50,3
family_edge_BTCUSDT_4h_20260608_193935,family:squeeze_breakout,BTCUSDT,4h,0.24769563313256088,5.0,1.2800695873997152,21.422102404826077,13,3
family_edge_BTCUSDT_4h_20260608_194014,family:channel_breakout,BTCUSDT,4h,0.17030739850557108,7.0,1.309411086526433,5.065827882358633,17,3
family_edge_ETHUSDT_4h_20260608_194104,family:squeeze_breakout,ETHUSDT,4h,0.31888081908603116,5.951722535350919,1.4443828904225193,34.21625078062269,28,3
family_edge_SOLUSDT_4h_20260608_194104,family:squeeze_breakout,SOLUSDT,4h,0.26328666537248835,0.9999999999999999,2.892824351962418,-999991,9,3
family_wf_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-0.11094510093407696,4.0,0.8121044622182958,-32.93235602819091,21,3
family_wf_edge_BTCUSDT_4h_20260608_194317,family:ema_momentum,BTCUSDT,4h,-0.21607954735367677,8.895480074318487,0.582013309296219,-63.4129818815057,36,3
family_wf_edge_SOLUSDT_4h_20260608_194416,family:channel_breakout,SOLUSDT,4h,0.18545762174378785,1.1855467476127173,1.769651324755128,-999991,9,3
v3_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,0.9375403375225357,2.0,3.2659797236549934,-999990,10,3
v3_edge_BTCUSDT_1h_20260608_191157,v3,BTCUSDT,1h,-0.16282871551247255,8.565678993098139,0.4874847624528491,-58.09945670394933,50,3
v3_edge_BTCUSDT_1h_20260608_191205,v3,BTCUSDT,1h,0.018129319683878414,7.0,1.0226115816087953,-21.60051048248472,41,3
v3_edge_BTCUSDT_4h_20260608_191322,v3,BTCUSDT,4h,0.007663198068757897,11.573462036947275,0.9881186689800018,-40.43586026943598,43,3
v3_edge_BTCUSDT_4h_20260608_191403,v3,BTCUSDT,4h,-0.2632630208262964,12.0,0.6763211782409435,-83.99248442963588,37,3
v3_edge_BTCUSDT_4h_20260608_191650,v3,BTCUSDT,4h,0.1756866738140712,10.0,1.1882121380533688,-7.6436410908898935,38,3
v3_edge_BTCUSDT_4h_20260608_191932,v3,BTCUSDT,4h,0.0669834380137111,5.140936152396643,1.2261487450699193,-0.6464554813327794,64,3
v3_edge_BTCUSDT_4h_20260608_192109,v3,BTCUSDT,4h,0.19803703689319851,9.431203241975757,1.2204152240482764,-2.827626310677072,35,3
v3_edge_ETHUSDT_4h_20260608_191748,v3,ETHUSDT,4h,0.28621794841689685,5.05822212710203,1.8430421123519365,42.82489973643901,42,3
v3_edge_SOLUSDT_4h_20260608_191748,v3,SOLUSDT,4h,0.1460114872946559,2.0,1.4378915119961038,22.490889636211758,12,3
v3_wf_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,2.8320748901075152,1.0,6.59750828241288,-999998,2,3
