alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.0,-0.0001411654681147353,0.1190063854810712,10,-119.65323724686102,-0.1190063854810712,195.54520491730764,0.1953215045400389,0.0427262377405507,353.14442599939196,0.35248544955059397,0.003140103498723512,434.5169789287006,0.43319902603110466,0.0,0.024022059222249537,2.4022059222249537,20.130959242541547,-2.218009939883623e-06,195.54520491730761,0.1953215045400389,0.059149722735674676,119.65323724686102,706.2888519987839,1,1,1,-0.0011932893476573716,64,0.11932893476573715,0.1190063854810712,271.7718730700833,0.27177187307008327,0.07944404643494835,2.9513988432323535,5.902797686464707,2,4.916122111569924,3.733465785369841,0.0,2021-04-01,2021-01-01,23.899491176077007,3,0.005866356147519254,0.5866356147519254,49.022690795197704,3,0.03333333333333333,2021-01-01,2020-01-01,0.0004104281293459062,0.0,0.6666666666666666,1,2,0.0,-119.65323724686102,-0.1190063854810712
0.0,-0.013180863802559438,1.0,4,-495.0166666666667,-0.5,-495.0166666666667,-0.5,-0.017508981745076053,0.0,0.0,0.0,-490.0500000000001,-0.5,0.0,-0.058285388913756786,-5.828538891375679,-3.924809865914055,-2.7334476894661066e-05,-495.0166666666667,-0.5,0.025594149908592323,1485.0500000000002,0.0,3,3,0,-0.014850500000000029,515,1.4850500000000029,1.5,-495.00000000000006,-0.5,-0.017835414457630625,0.0,0.0,0,1.0,-5.775170638440099,-84.60785737152877,2021-07-01,2021-04-01,169.721662297807,3,-0.014850500000000029,-1.4850500000000029,336.8087538418757,3,0.03296703296703297,2021-04-01,2020-04-01,0.013829326294213646,0.0,0.0,2,0,0.0,-499.99999999999994,-0.5000000000000001
0.0,-0.005405657114979646,0.8805413922439772,10,-342.9068581875842,-0.3443819911213224,181.4859831800432,0.18905047906515365,-0.017053592197974938,1492.4680865991118,1.5226316545313436,0.02469901105823591,2935.9887674028223,2.99560123191799,0.0,0.051395838425019935,5.1395838425019935,3.085749466658545,-3.136280602531239e-05,181.48598318004318,0.18905047906515365,0.12839059674502712,1714.534290937921,2984.9361731982235,5,3,1,-0.016655868851425185,386,1.6655868851425184,1.6722478784619144,-175.38547609112834,-0.17731519313510427,-0.014944687870813515,4.352400807867978,1.7409603231471913,1,0.7627352818352712,1.3909906345974836,0.8419508642006349,2021-10-01,2021-07-01,210.96961432432312,3,0.012704018822603103,1.2704018822603103,414.84548874241216,7,0.07608695652173914,2021-07-01,2020-07-01,0.0070741486777041954,0.0,0.2857142857142857,3,2,-0.006298654758175148,-500.0,-0.5
0.0,-0.0013276565565164948,0.21128291501446722,13,-214.11523911625693,-0.2139469201954918,389.50676304321,0.38806473707062805,0.03960448418560414,751.6799643388902,0.7492717314302999,0.016304758238577133,1654.309220790553,1.6367990704965276,0.0,0.12955349267511407,12.955349267511407,26.07995866927312,-1.1676508300723138e-05,389.50676304321,0.38806473707062805,0.19529837251356238,642.3457173487708,3758.399821694451,3,1,3,-0.004967549769461536,266,0.4967549769461536,0.5,315.9026234620112,0.3129046054363575,0.04835576877997067,3.5106327202182688,5.851054533697115,3,6.272819093835589,4.897505149970334,1.7428292649444068,2022-01-01,2021-10-01,215.23169527198417,3,0.031160541043456905,3.1160541043456904,429.4843139378904,8,0.08695652173913043,2021-10-01,2020-10-01,0.001958964908272344,0.0,0.625,4,5,0.001313821641415247,-500.0,-0.5
0.0,-0.010874299928710083,1.5816843904692337,7,-492.6410159469428,-0.5,-217.87706899935773,-0.22240305740992153,0.0006765813203044403,194.2688514220198,0.1939923564751961,0.0,450.95310670909424,0.4509531067090942,0.0,-0.08551961031362876,-8.551961031362875,-3.2667029047270066,-5.551711248408543e-05,-217.87706899935773,-0.22240305740992153,0.133086876155268,2955.8460956816566,777.0754056880792,6,5,2,-0.02617918213189194,434,2.6179182131891943,2.6749836808083094,-482.72375249999993,-0.49999999999999994,-0.015153919532595561,0.39434161008417223,0.2628944067227815,0,0.8322531540583753,-5.599968909001887,-41.48164419465725,2022-04-01,2022-01-01,354.81122877336895,3,-0.02178770689993573,-2.178770689993573,707.4618480083992,10,0.1111111111111111,2022-01-01,2021-01-01,0.012948714209769207,0.0,0.4,5,4,-0.012403655996083174,-505.34859068165673,-0.5
0.0,-0.005661149480928525,0.8168482068608677,9,-448.5836632874878,-0.4498017607332801,9.144854691836539,0.01190977971167344,0.018213279906884452,543.1614590010482,0.5505732435641192,0.00948667907786005,1266.4559151177468,1.2995157555157846,0.0,0.00478020935858714,0.47802093585871397,0.2895674385325122,-5.832339799185844e-05,9.144854691836514,0.01190977971167344,0.2340036563071298,3140.085643012415,3258.9687540062896,7,3,2,-0.016508103890453225,440,1.6508103890453225,1.6583591068511967,-148.56984029221954,-0.1486123251329606,-0.014063526271694937,1.2108364692116473,1.0378598307528406,1,0.07201500050084014,0.2262566352773469,0.15051221896677489,2022-07-01,2022-04-01,474.8194344572755,3,0.0011888311099389102,0.11888311099389103,946.7416360741089,13,0.14285714285714285,2022-04-01,2021-04-01,0.007739009773487004,0.0,0.46153846153846156,6,6,-0.0002811207855175635,-502.1956516507637,-0.5000000000000001
0.0,-0.005547783052434639,0.7393356931214731,10,-315.4584054134005,-0.3116951393044166,39.399376614455974,0.042872375247298235,-0.0062735703324661996,749.114940670169,0.752007404350728,0.01487645353819067,1974.0253426626657,1.993964992588551,0.0,0.018902577639611007,1.8902577639611007,1.2923354878226534,-4.5949154971865144e-05,39.399376614455946,0.042872375247298235,0.22603978300180833,2523.667243307204,2996.459762680676,8,6,2,-0.01462668000509555,266,1.462668000509555,1.4679768042291492,-51.514428708658755,-0.05164496723344674,-0.010515428281463183,2.374686893153068,1.187343446576534,1,0.3232398050745261,0.6976465382368361,0.29854244841591987,2022-10-01,2022-07-01,368.15643428880304,3,0.0047279251937345545,0.47279251937345546,731.8081635908762,12,0.13043478260869565,2022-07-01,2021-07-01,0.006853274951493945,0.0,0.3333333333333333,7,4,-0.005351362256765579,-520.4402058497689,-0.5
0.0,-0.03389912482409404,4.30982860968849,8,-430.2669848948071,-0.4557655140546341,-250.6844690476842,-0.26557889345391095,-0.009891443474028207,437.7151750329535,0.4634698188488613,0.0,1024.3401164574163,1.1580720320525257,0.0,-0.25892243685231464,-25.892243685231463,-3.288800997726347,-0.0001871375155178775,-250.68446904768422,-0.26557889345391095,0.45207956600361665,9896.140652580563,2626.291050197721,23,8,2,-0.07872852052505334,475,7.872852052505334,8.356320763461113,-453.8230824726958,-0.5,-0.011888637932748724,1.0173106243323953,0.26538538026062486,0,0.9234073692607193,-9.442328799643876,-8.547566522420409,2023-01-01,2022-10-01,1805.3625783499276,3,-0.07269849602382805,-7.269849602382806,3614.7023914311376,29,0.31521739130434784,2022-10-01,2021-10-01,0.041593459543092334,0.0,0.20689655172413793,8,6,-0.03500208062115617,-504.9567485672341,-0.5000000000000001
0.0,-0.008874398006578965,1.1836374585116232,11,-474.9223997728745,-0.4397381695594536,350.658160323846,0.349941343568763,0.0035729085835546296,2332.0515045559755,2.245172175076483,0.020138627343383897,4727.7609202597505,4.425244391392031,0.0,0.26489415309391484,26.489415309391482,11.096048871978399,-0.00010183283676752343,350.6581603238461,0.349941343568763,0.36414048059149723,5699.0687972744945,11660.257522779877,12,5,2,-0.023872835831038015,222,2.3872835831038013,2.3272953271472208,-500.00000000000006,-0.4999999999999999,-0.013881249535059481,4.910384318935575,2.0459934662231563,1,2.497059322024496,3.1467126563687677,5.663688389226917,2023-04-01,2023-01-01,1080.074634619185,3,0.05961188725505388,5.961188725505388,2183.762814079988,17,0.18888888888888888,2023-01-01,2022-01-01,0.011506576083520011,0.0,0.29411764705882354,9,5,-0.006540315477803205,-581.4583800382346,-0.5
0.0,-0.027772283341960774,2.985969284496133,9,-400.2843954387439,-0.41283802852888113,-44.268565877109275,-0.037747684120338444,-0.003158648965489133,1320.4587807758232,1.4000986361124081,0.026146792900442195,2863.7457390697173,3.0740494173552326,0.0,-0.050539636109432684,-5.053963610943269,-0.8650534503026924,-0.00017384138162958255,-44.268565877109324,-0.037747684120338444,0.5137111517367459,9206.541095091108,7922.75268465494,23,11,2,-0.05842371484877411,393,5.842371484877411,6.0616181754178164,-462.5504073748094,-0.49999999999999994,-0.013190049853861534,3.298801541660134,0.8605569239113396,1,0.21973755242356183,-0.9067340991856887,-1.0748270939981768,2023-07-01,2023-04-01,1659.0754904886417,3,-0.012837884104361728,-1.2837884104361728,3328.8787148668753,29,0.31868131868131866,2023-04-01,2022-04-01,0.03444794493606322,0.0,0.20689655172413793,10,6,-0.0377373705889098,-504.3476229304703,-0.5000000000000001
