allow_long,allow_short,atr_stop_mult,atr_tp_mult,break_even_atr,channel_lookback,daily_ema,deploy_score,ema_fast,ema_slow,exit_on_flat_signal,family,htf_ema_fast,htf_ema_slow,htf_macd_min,max_holding_bars,min_holding_bars,move_stop_after_partial,partial_exit_atr,partial_exit_fraction,pullback_atr,rsi_high,rsi_low,slope_bars,slope_min,stress_alpha,stress_avg_drawdown,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_pnl,stress_avg_r_multiple,stress_avg_trade_return,stress_avg_win,stress_avg_win_r,stress_best_month,stress_best_trade,stress_best_trade_r,stress_beta,stress_cagr,stress_cagr_pct,stress_calmar_ratio,stress_cvar_95,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_gross_loss,stress_gross_profit,stress_losing_trades,stress_max_consecutive_losses,stress_max_consecutive_wins,stress_max_drawdown,stress_max_drawdown_duration,stress_max_drawdown_pct,stress_max_drawdown_r,stress_median_pnl,stress_median_r_multiple,stress_median_trade_return,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_profitable_months,stress_recovery_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_months,stress_total_return,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_ulcer_index,stress_var_95,stress_win_rate,stress_winning_trades,stress_worst_month,stress_worst_trade,stress_worst_trade_r,trail_atr_mult,trial,use_break_even,use_partial_exit,use_trailing_stop,validation_alpha,validation_avg_drawdown,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_pnl,validation_avg_r_multiple,validation_avg_trade_return,validation_avg_win,validation_avg_win_r,validation_best_month,validation_best_trade,validation_best_trade_r,validation_beta,validation_cagr,validation_cagr_pct,validation_calmar_ratio,validation_cvar_95,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_gross_loss,validation_gross_profit,validation_losing_trades,validation_max_consecutive_losses,validation_max_consecutive_wins,validation_max_drawdown,validation_max_drawdown_duration,validation_max_drawdown_pct,validation_max_drawdown_r,validation_median_pnl,validation_median_r_multiple,validation_median_trade_return,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_profitable_months,validation_recovery_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_months,validation_total_return,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_ulcer_index,validation_var_95,validation_win_rate,validation_winning_trades,validation_worst_month,validation_worst_trade,validation_worst_trade_r,volatility_max,volatility_min,volume_lookback,volume_min,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_positive_exp,wf_rank,wf_score,wf_total_trades,wf_windows
True,True,4.0,16.0,0.5,72,80,205.95391491568233,50,80,True,mtf_momentum_breakout,20,200,0.0025,120,12,True,1.2,0.5,1.5,66.07499993467555,31.82105777781134,18,0.001,0.0,-0.01003477312274178,1.205817710881724,12,-405.4159014112206,-0.38853348307713836,115.78476182200764,0.11243213832631174,0.006045984728197485,411.13180432083715,0.3963126571216001,0.07385323548436151,4977.899026860994,4.969333682567857,0.0,0.07571769443716359,7.5717694437163585,2.6016698881861386,-1.0698200862182313e-05,115.78476182200777,0.11243213832631174,0.09106293819002337,13784.140647981498,24667.908259250224,34,4,11,-0.02910349801909469,4948,2.910349801909469,2.9365448153709037,92.93883430583094,0.08828822258916313,0.004933060000000008,False,1.0140988621554308,1.7895862273331133,9,3.739676792160136,1.0601299044107793,1.0533483881416754,3685.8477622315927,17,0.1088376761126869,10.88376761126869,18430.063803137204,94,0.18181818181818182,1.2727272727272727,0.013180566147394743,0.0,0.6382978723404256,60,-0.013946835786067258,-461.4988844983043,-0.4664111543190331,1.5,973,True,False,True,0.0,-0.0038015904643369054,0.49824298079695556,12,-400.0911240268134,-0.35613736079286296,314.39471118902617,0.28039211448629237,0.011552455794910849,545.8478690758473,0.4865918036612301,0.09722055370676341,6573.3705440553385,6.21291202065994,0.0,0.2007209835923205,20.07209835923205,10.814276060123035,-6.639506604714135e-06,314.39471118902605,0.28039211448629237,0.09098235151905874,9202.09585261671,38755.198704385155,23,2,11,-0.018560741604559786,2859,1.8560741604559787,1.8698865517006351,26.591956907357623,0.02482891374477317,0.0009930040000000937,False,1.3643088693946268,4.211562162044282,12,15.922371789556221,1.8813854058260153,1.775330252580178,4741.643018141172,17,0.2955310285176852,29.55310285176852,4741.682054568819,94,0.18181818181818182,1.2727272727272727,0.0059496172590208654,0.0,0.7553191489361702,71,-0.01050188925931883,-510.9953722046778,-0.4458076165947486,0.2,0.003,75,0.5,0,2.2334322690603763,0.061674129603340004,1.688803207864693,0.6478785919962391,7,1,166.26621072294026,192,11
True,True,3.0,2.0,0.5,12,80,146.11290046087848,14,200,False,mtf_state_follow,20,200,0.0025,24,12,False,1.0,0.33,1.5,72.13180273318581,39.91300073317689,6,0.005,0.0,-0.007238681405474476,0.7388928367347021,13,-633.9097392942138,-0.6086599147953339,157.15181158282974,0.15815743433328608,0.003535435771595219,457.20964122584627,0.44901918745103847,0.054042091590678076,5797.240468304437,5.817349369318173,0.0,0.044010844771888546,4.401084477188855,2.826660102288458,-5.408562131633136e-06,157.15181158282977,0.15815743433328608,0.04279152228221452,6973.007132236351,13259.07959554954,11,2,6,-0.01556991048773691,4341,1.5569910487736909,1.5638416069588743,78.76036495525352,0.07683762787198234,0.004933060000000031,False,0.7212535364023546,1.9014865959698435,8,4.037320874942873,0.6417164267833254,0.5680756300068365,1382.9814672573316,17,0.06286072463313219,6.28607246331322,6915.27194443347,40,0.07736943907156674,0.5415860735009672,0.008156007894192194,0.0,0.725,29,-0.006526688779092682,-696.6434969606124,-0.6550170992705526,2.0,1643,True,True,True,0.0,-0.0051157351777763975,0.6895349142205863,13,-658.052890315394,-0.6042786324328273,293.38870527751476,0.2865137218757722,0.007568454650354007,569.6136846431979,0.5451308569976236,0.07140069523811099,7711.63937940307,7.62824234839331,0.0,0.08154904958647835,8.154904958647835,5.7106611438441846,-4.394043541969316e-06,293.38870527751476,0.2865137218757722,0.042952695624143764,5922.476012838546,17658.02422393913,9,2,8,-0.014280141568964264,2687,1.4280141568964264,1.432965206527827,29.734491976376145,0.02827103233776988,0.0010070040000000834,False,0.8656047151015343,2.9815273520163954,9,8.218089543738179,0.918736566944507,0.7573171079046589,1695.8726660809132,17,0.11735548211100613,11.735548211100614,1695.8877933895003,40,0.07736943907156674,0.5415860735009672,0.006597585100939592,0.0,0.775,31,-0.006726468490045434,-752.9247428076475,-0.6733885109357723,0.2,0.001,30,1.5,0,3.8437788370821053,-0.02616100319280891,1.7511739506610242,0.6858539188084642,4,146,-122.38866915463844,120,11
True,True,5.0,4.0,0.5,12,80,141.2252595788168,14,150,True,mtf_momentum_breakout,20,80,0.0,168,12,True,1.5,0.67,1.0,59.13632731675505,38.26673842283832,12,0.0025,0.0,-0.013026351030489271,1.506973867224851,12,-389.72067811998613,-0.3827422980705473,48.929726156495825,0.050051731522802935,0.0031029456970284343,277.7908066485733,0.27585731218020304,0.046516948478738884,4438.304779633648,4.466116850996497,0.0,0.02407762976720451,2.407762976720451,0.6990473186464302,-7.4306869064011756e-06,48.9297261564958,0.050051731522802935,0.06769280361028286,9353.296274879667,12778.377105834374,24,5,10,-0.03444349062639448,5586,3.4443490626394477,3.494492452025919,84.36548149674621,0.08373029534947127,0.004933060000000005,False,0.7127946302173062,1.3661897079165035,9,0.9944058423422654,0.46415375041167345,0.23798450619080727,2604.3772212304652,17,0.03425080830954772,3.425080830954772,13022.362401663546,70,0.13539651837524178,0.9477756286266924,0.016789341361944123,0.0,0.6571428571428571,46,-0.015588646642562765,-473.10056922213215,-0.46843423542990514,2.0,1027,True,True,True,0.0,-0.0031261049343738164,0.483361800774511,12,-347.3314530691149,-0.3290514520761798,176.47212925527737,0.16913553251968566,0.008148332249823524,319.3276517073843,0.3050047101367399,0.05811736844434434,5553.467995102569,5.436933217485978,0.0,0.0857683509143532,8.57683509143532,5.405937724136233,-3.9956057485167126e-06,176.4721292552773,0.16913553251968566,0.06769280361028286,5209.971796036723,17563.020843906135,15,4,12,-0.015865582493009085,2348,1.5865582493009085,1.5959784638668635,28.159936956918024,0.025949490501700548,0.0010070040000000726,False,0.9193744156646874,3.3710395241038538,12,7.786067138293005,1.3158334134999055,0.5470198124416146,3203.546841139405,17,0.12353049047869484,12.353049047869485,3203.5656013006956,70,0.13539651837524178,0.9477756286266924,0.005202879735299087,0.0,0.7857142857142857,55,-0.01155522118545338,-475.38861852171954,-0.45689053055745266,0.04,0.0005,20,0.0,0,1.9175903198421957,0.03690394048666316,1.4933590339508505,0.6317030117832257,5,2,122.42536267976128,111,11
True,False,5.0,12.0,0.5,72,80,126.80402868206546,10,150,True,mtf_state_follow,20,200,0.0,36,12,True,1.5,0.25,0.25,68.15177547845487,22.62982885562926,6,0.0025,0.0,-0.006741330630253462,0.7682206503792846,12,-322.86525799804537,-0.3222049807499265,26.03832806496993,0.026134856738523504,0.0017415888302516522,155.26187845867932,0.15514961136387534,0.010207329197287729,944.3490378526618,0.9464264480936107,0.0,0.01357452889527,1.357452889527,0.8738026691401218,-5.216204966001754e-06,26.03832806496993,0.026134856738523504,0.07180272382947861,6457.305159960905,8384.141436768685,20,4,11,-0.015535005069998482,9826,1.5535005069998482,1.5612873738320143,77.45075740265946,0.07683635188651275,0.004933060000000013,False,0.48088753624776587,1.2983963478689684,6,1.2403190524404388,0.5979760087674016,0.0985026062483926,2542.8515712649273,17,0.019268362768077932,1.9268362768077931,12714.68746570735,74,0.14313346228239845,1.001934235976789,0.008325365766552763,0.0,0.7297297297297297,54,-0.004363699997057102,-454.1814783649727,-0.4563549822123699,2.0,1479,True,True,True,0.0,-0.0013446873243643646,0.24300062954386684,12,-323.4204848742641,-0.3160279798134885,96.29424754520973,0.09354350268340604,0.0052869738163640115,178.86108015231935,0.17411494186312304,0.023811939909983204,1349.6262914068104,1.334214209939526,0.0,0.04916444399252451,4.916444399252451,10.87628114232091,-3.071463317212188e-06,96.29424754520974,0.09354350268340604,0.07099685711983238,3881.0458184911695,10910.525889291484,12,1,14,-0.004520335889555097,2755,0.45203358895550966,0.4511611220714937,23.925190515267168,0.02367680219580907,0.0009930040000000343,False,0.5530295343594424,2.8112334663271663,8,15.55079145123478,1.7922471589724693,0.30887959199161785,2998.052481248046,17,0.07029480070800316,7.029480070800316,2998.0655068459455,73,0.14119922630560927,0.988394584139265,0.0020392824002769113,0.0,0.8356164383561644,61,-0.004237165769357842,-443.57237995693583,-0.4298830117123094,0.05,0.002,30,1.0,0,1.7502347984416775,-0.06018479180345718,1.1232226344033227,0.5738377783832329,3,6,39.74896271339549,145,11
True,False,3.0,3.0,0.5,48,80,101.57538333620349,30,80,False,mtf_state_follow,20,80,0.0,168,12,True,2.0,0.67,1.5,74.78307923647202,32.62297491778407,12,0.001,0.0,-0.015401342986043561,1.5073056524549884,14,-996.9995444570766,-0.999050176038112,-42.98479250342169,-0.042246008966526784,-0.0018725440963471328,189.70173236332343,0.191120861050933,0.009283642358212774,666.3945390649293,0.6876560719540729,0.0,-0.015537925787904028,-1.5537925787904028,-0.38206057594408266,-8.078355106639523e-06,-42.98479250342163,-0.042246008966526784,0.05786122975259892,9969.995444570766,7777.77102689626,10,2,9,-0.04066874931942236,4615,4.066874931942236,4.126217662157259,120.41308079188919,0.1209766643919743,0.0049330600000000065,False,0.19027263695153132,0.7801178115012782,5,0.5390439721802753,-0.4279755481167988,-783.8228943940678,2600.3172050442936,17,-0.0219222441767453,-2.19222441767453,13001.92127557293,51,0.09864603481624758,0.690522243713733,0.02143149947819075,0.0,0.803921568627451,41,-0.01851431444746887,-1009.1881547911082,-0.9990759439525535,2.5,684,True,False,False,0.0,-0.011384383984021262,1.5343840627863274,14,-1019.0479991237124,-0.9990613349184698,35.71459498951609,0.036795775222375315,0.0009344130452600714,227.48961210101223,0.2251334316116199,0.015289075472988412,886.4994269225558,0.8836425371951898,0.0,0.013084973373856057,1.3084973373856057,0.43186790746577497,-6.464324392872674e-06,35.714594989516115,0.036795775222375315,0.058908856475139014,8152.383992989699,10009.54293244454,8,1,17,-0.030298554598880506,4615,3.0298554598880507,3.0537456514802597,33.29197673036717,0.03271448829544975,0.0009930039999999892,False,0.2232373865574854,1.2278056260661698,7,0.6129529820948755,0.34922833420368826,457.81598237718634,3482.6737909237036,17,0.01857158939454821,1.857158939454821,3482.682613438888,52,0.10058027079303675,0.7040618955512572,0.016231592153533907,0.0,0.8461538461538461,44,-0.010911395940150781,-1033.0316202485699,-0.9991025815292871,0.05,0.0,100,0.0,0,3.6175201732004565,0.06884961412100574,6.075614023257888,0.9010675598910893,8,3,99.47900359566471,100,11
True,True,5.0,16.0,0.5,48,200,94.85477303626702,20,100,False,mtf_state_follow,20,200,0.001,96,8,False,1.0,0.67,0.25,62.82539200949609,27.888654825737106,36,0.0,0.0,-0.020858163475466863,2.3639963345039576,21,-810.4995400350925,-0.8116538283346452,0.28924034779883667,0.0008833916399564295,0.00033315880049371164,108.39441106551766,0.10922168763656999,0.014400819833351841,838.7070637951928,0.8563155178625345,0.0,0.00024315521176165866,0.024315521176165866,0.006258020995951532,-9.236083554161617e-06,0.2892403477987955,0.0008833916399564295,0.21081473124345235,11346.993560491295,11381.413161879349,14,3,22,-0.03885496899402571,10731,3.8854968994025714,3.91831598357118,71.65454470224,0.07255711669165806,0.004933060000000035,False,0.133737782332146,1.0030333674910945,9,0.008858481239122994,0.01955345817827178,0.0019978130175634413,3855.9950311888715,17,0.0003441960138802824,0.03441960138802824,19280.55443017075,119,0.23017408123791103,1.6112185686653773,0.023292176258113105,0.0,0.8823529411764706,105,-0.016857560004088223,-1014.8593273203021,-1.0009755768435322,2.5,958,True,True,False,0.0,-0.0053870542225800235,0.9319077532318674,22,-846.739408349027,-0.8197727017384435,64.67207115798534,0.06301000121295104,0.00348297234331134,124.85962169146725,0.12130697216257144,0.018887837747795233,1111.0653389158801,1.093307025440126,0.0,0.0510921605004544,5.10921605004544,2.564976925931541,-4.664614625401652e-06,64.67207115798533,0.06301000121295104,0.20759126440486744,5927.175858443189,13235.11989929553,7,2,24,-0.01991915014280251,3543,1.9919150142802509,2.001934367307452,26.035542850709653,0.025466873074343144,0.0010070040000001272,False,0.14745932510088153,2.2329554943847776,13,3.668803130887072,1.3585010163928202,0.14309137354654672,4449.3235453427915,17,0.07307944040852352,7.307944040852352,4449.339751949903,113,0.218568665377176,1.5299806576402322,0.008046131260231707,0.0,0.9380530973451328,106,-0.017785663477804192,-1040.9945513487705,-1.0009727091951848,1.0,0.003,75,0.5,0,6.971709125544565,-0.0927680466622725,0.6510331000958061,0.7975829545708261,1,14,-3.90950554741112,259,11
True,False,6.0,4.0,0.5,12,80,86.2903836196671,10,200,False,mtf_state_follow,20,200,0.0,36,12,True,3.0,0.5,0.25,63.76108367362905,22.044714198062813,12,0.001,0.0,-0.02032941346539016,2.2131443728615836,17,-647.8880072349643,-0.6439496455557729,-3.444154623874334,-0.0029437809936718263,0.00043910633866597133,113.02160187210582,0.1129006523609248,0.016467794184735762,452.0558944520725,0.4563503462560399,0.0,-0.002385743714300448,-0.23857437143004478,-0.0662407616880793,-7.837115361733566e-06,-3.444154623874269,-0.0029437809936718263,0.13699734063985816,9718.320108524465,9380.79295538478,15,1,23,-0.036016248205820174,10211,3.6016248205820176,3.6450716392712432,70.9940000545178,0.07139505240226665,0.004933059999999997,False,0.1744462015193888,0.9652689817406178,6,0.09371524518901922,-0.06409036689819866,-0.005023960059996464,2945.005226069187,17,-0.003375271531397011,-0.3375271531397011,14725.459453783944,98,0.1895551257253385,1.3268858800773695,0.023477327939899567,0.0,0.8469387755102041,83,-0.016892027556025813,-1023.1784234952426,-0.99904281097556,2.0,1430,True,True,False,0.0,-0.005695620492090329,0.7448043483875136,16,-651.8076799239084,-0.6347876306780669,52.834182377728865,0.05201584528750385,0.004247938264479856,139.92474962849303,0.13690166815965302,0.023591166693404553,550.6658232094109,0.5353707942537901,0.0,0.03704325091709748,3.704325091709748,1.7538024617614971,-5.668206784202207e-06,52.834182377728894,0.05201584528750385,0.13256507373680393,7169.884479162994,12453.302716935876,11,2,22,-0.021121678025181757,4366,2.112167802518176,2.12100105681012,18.19715647784755,0.017891396522146677,0.000993004000000019,False,0.21467183333100304,1.7368902878599328,8,2.50141974111808,1.1163989649207589,0.09240725700258412,3517.2749956437224,17,0.05283418237772959,5.283418237772959,3517.287313624076,100,0.19342359767891681,1.3539651837524178,0.007149689212178424,0.0,0.89,89,-0.013680253789908559,-1033.7741725684464,-0.9990737738033975,0.08,0.002,50,1.0,0,3.8129455244106927,-0.06250184361572152,0.7647949896683596,0.6909052818518541,3,44,-46.143078760328024,208,11
True,True,2.5,6.0,0.5,36,200,78.03079113768638,50,80,True,mtf_momentum_breakout,20,80,0.001,96,12,True,0.8,0.5,0.25,68.2676795104977,41.43334704890446,24,0.0025,0.0,-0.017491185636903005,2.1549850231341727,12,-668.1995185860101,-0.6655692266778178,66.61578305308055,0.07101199558142195,0.0022440514963695127,444.52079532461283,0.4498251956004595,0.067921111908958,6376.271757706165,6.624792592288491,0.0,0.02481591339190703,2.481591339190703,0.5692039597388203,-9.682571793583381e-06,66.61578305308049,0.07101199558142195,0.0513337094044645,12027.591334548184,15558.227836361451,18,5,10,-0.043597576874366495,5167,4.35975768743665,4.426688257011249,133.79087698713192,0.13019004998324654,0.00493306,False,0.6652515947112202,1.2935447674940392,9,0.8098240211806748,0.3372864125024724,0.12704505282845668,3142.2871534192964,17,0.03530636501813307,3.5306365018133072,15711.995390072452,53,0.10251450676982592,0.7176015473887815,0.021914006705867503,0.0,0.660377358490566,35,-0.014501596047164389,-888.7606574791126,-0.8629924673681485,2.5,1151,True,True,True,0.0,-0.0049451784113079735,1.1694140037756124,12,-631.3695195800251,-0.6170738171910759,292.52417655145746,0.28135768832361124,0.007102871711839339,507.3831756518022,0.49029524774563155,0.09061684852007801,8997.437398511605,9.016096478364954,0.0,0.10719201668510703,10.719201668510703,4.8033741322397265,-4.9904878058315725e-06,292.5241765514575,0.28135768832361124,0.0513337094044645,6313.695195800251,21817.476553027496,10,3,17,-0.022315983251366123,3595,2.2315983251366123,2.2470685523043823,41.10478522495183,0.03967928986929367,0.00099300400000001,False,0.8036231714025469,3.4555796370309517,13,6.947388865905401,1.0180270334837045,0.2529607666372939,4350.764595039794,17,0.15503781357227242,15.503781357227242,4350.788800374284,53,0.10251450676982592,0.7176015473887815,0.00881520008345004,0.0,0.8113207547169812,43,-0.009520865571967296,-1066.7019126027499,-0.9656136401574102,0.04,0.0,50,0.0,0,2.6054688919398847,-0.09299904645376687,0.87917171937144,0.6355255855255856,4,47,-49.54068814676749,83,11
True,True,6.0,16.0,1.5,48,200,69.83944221432614,20,100,False,mtf_momentum_breakout,20,200,0.0025,96,6,True,1.5,0.33,1.0,66.21534358224451,42.86731621383069,6,0.0025,0.0,-0.019840524651105487,1.8168007729158477,37,-734.8566440933722,-0.7427493076455802,-29.203413332512643,-0.028255592165018755,-0.002744611630317024,156.49480528876614,0.15976906980355002,0.016496872253498385,1434.6656833446657,1.4802894660590042,0.0,-0.009923674093368695,-0.9923674093368695,-0.28613221034150765,-6.004440643860805e-06,-29.203413332512696,-0.028255592165018755,0.14360544765895722,7348.5664409337205,5946.802600973114,10,2,9,-0.034682128522071955,10885,3.4682128522071953,3.492350534698559,80.76484770783256,0.08256834633306945,0.005067060000000177,False,0.21295963851812386,0.8092466263688709,7,0.4041746858381299,-0.28447229035935545,-0.02431410320134815,1234.1751936465682,17,-0.014017638399606076,-1.4017638399606076,6171.026054167981,48,0.09284332688588008,0.6499032882011606,0.021934536691595494,0.0,0.7916666666666666,38,-0.015880963173292684,-999.7142534135479,-1.0009732646627967,4.0,0,True,True,False,0.0,-0.006858986612442409,0.7811915498025005,40,-710.2912155201215,-0.7061834582780304,85.03791506484437,0.08516370702396132,0.005691891335897712,259.62235836398327,0.2588740603829351,0.030595454583985937,1770.6321644029174,1.7577171331539965,0.0,0.02985469023482068,2.985469023482068,1.026738075123384,-5.1392020089773536e-06,85.03791506484438,0.08516370702396132,0.16431622209686517,6392.620939681092,10644.51669292331,9,2,9,-0.029077221307131335,3285,2.9077221307131333,2.935681431262271,72.08376401687711,0.07170874516663632,0.004262759934640346,False,0.36551537269663525,1.6651255867291157,10,1.4622771922843336,0.6829100998742341,0.07591266703817535,1529.8753112962656,17,0.04251895753242221,4.251895753242221,1529.8826229498638,50,0.09671179883945841,0.6769825918762089,0.00971386779870009,0.0,0.82,41,-0.010009698154449076,-1012.5243576777715,-1.0009698154448994,0.2,0.0005,30,0.75,0,4.220042326484659,-0.1778957074501723,1.30551527122346,0.6437938621093701,2,20,-15.786517873280312,108,11
True,False,6.0,4.0,1.0,18,80,53.935876493666875,14,80,True,mtf_trend_pullback,20,80,0.001,72,12,True,1.5,0.33,0.5,73.76980364139008,35.429539531902456,36,0.0025,0.0,-0.01303309890067468,1.0757393647406768,12,-239.96794504658158,-0.24096174042150748,-4.15958850382206,-0.0038366932025077163,-0.0005346874915667211,184.48709673038553,0.1858633445726921,0.010347570442387655,882.0986555164371,0.888048264764333,0.0,-0.002116769838089616,-0.2116769838089616,-0.10650895891592131,-6.234456414528005e-06,-4.159588503822064,-0.0038366932025077163,0.07002981706825691,7678.97424149061,7379.483869215423,32,5,7,-0.019874101292836826,10700,1.9874101292836825,2.003900198056295,58.78796799650594,0.05881926887803492,0.004933059999999953,False,0.7687989189330002,0.9609986486662505,5,0.15069379382862993,-0.08853709133791124,-0.01928646519082212,2114.833667749861,17,-0.00299490372275206,-0.29949037227520603,10574.478084283697,72,0.13926499032882012,0.9748549323017408,0.014210947498941239,0.0,0.5555555555555556,40,-0.006894286862207832,-360.8938820865106,-0.3614088661238237,1.5,1428,True,False,True,0.0,-0.0036819038932966066,0.3558198285407519,12,-215.77434737359374,-0.21002627091588386,96.77699193301629,0.09405540147646578,0.005644675183537677,253.05266158632128,0.24609623767264055,0.03552411900055463,1227.5235649217573,1.2067674008734504,0.0,0.048738247035653215,4.8738247035653215,4.7501778242251405,-4.078180017784144e-06,96.77699193301625,0.09405540147646578,0.07002981706825691,5178.584336966249,12146.527756143423,24,4,8,-0.01026029947491566,5350,1.026029947491566,1.0288595288572098,25.308403451391783,0.024121771243739005,0.0009930040000000338,False,1.1727652738450114,2.3455305476900237,6,6.7911696302943225,1.7571441006888542,0.5231801393815074,2504.3900462635697,17,0.06967943419177201,6.967943419177201,2504.402022998923,72,0.13926499032882012,0.9748549323017408,0.005321524575605091,0.0,0.6666666666666666,48,-0.005954716492520329,-332.4711481890188,-0.3207895189032425,0.2,0.002,30,1.0,0,2.1299841137261795,-0.06571614034364291,0.691527122866126,0.4495876744202103,2,17,-8.244206432877801,157,11
